date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,-9095105075,3881181706,-0.064,7.7389
2025-12-31,-11126697093,20937957451,0.1081,5.0786
2025-09-30,-10348933572,17220973895,0.2094,3.6742
2025-06-30,-11542326546,8246856682,0.0162,2.7995
2025-03-31,-12491128852,4144365411,-0.062,2.5568
2024-12-31,-11967684559,18897329323,0.3097,2.534
2024-09-30,-21060368220,14238842351,0.222,2.0438
2024-06-30,-26666357804,8118017542,0.1555,1.9386
2024-03-31,-26630781900,4420579677,0.1872,1.8022
2023-12-31,-26190245675,14417230797,-0.1423,1.7433
2023-09-30,-13855676106,11651857213,0.2196,2.495
2023-06-30,-10294422626,7025298072,0.2179,2.3348
2023-03-31,-9159497486,3743709073,1.2738,2.2065
2022-12-31,-10843844240,16870904576,0.9105,2.0125
2022-09-30,-14454394800,9580583262,0.7344,1.4687
2022-06-30,-17956888097,5784231140,0.4904,1.2902
2022-03-31,-22296947677,1646487361,-0.1406,1.2125
2021-12-31,-21085578115,8817682708,-0.0177,1.4488
2021-09-30,-18793221744,5523736537,0.3502,2.0205
2021-06-30,-16111452956,3879560211,0.7742,2.0752
2021-03-31,-16645217379,1915810490,0.9322,2.2406
2020-12-31,-16223984108,9082072631,0.4835,2.3167
2020-09-30,,4090960431,,
2020-06-30,,2186642117,,
2020-03-31,,991507420,,
2019-12-31,-8147054977,6121870404,0.2071,2.0066
2018-12-31,-5542311626,5071519630,0.0815,1.7932
2017-12-31,-2199431550,4689303420,,1.8322
