date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,1040089057,-0.5749,0.0364,6948044201
2025-12-31,3714396619,-0.392,0.1298,28399420252
2025-09-30,4312889063,-0.1531,0.1508,21280343044
2025-06-30,3815195092,-0.0548,0.1333,14735816205
2025-03-31,2447138399,0.0116,0.0855,7628320609
2024-12-31,6111426750,-0.1481,0.2135,29717044358
2024-09-30,5093242110,-0.0631,0.1779,21759562596
2024-06-30,4038572329,-0.1058,0.1411,15058664581
2024-03-31,2421823922,0.001,0.0846,7899120373
2023-12-31,7181086737,0.0094,0.2509,26485472393
2023-09-30,5436184327,-0.1156,0.1899,19289043294
2023-06-30,4516621925,-0.101,0.1578,13703723335
2023-03-31,2433884516,0.075,0.085,6853129450
2022-12-31,7155475873,0.1107,0.2501,23812176258
2022-09-30,6169950079,0.3653,0.2157,17406286458
2022-06-30,5036975040,0.3662,0.1767,12129271830
2022-03-31,2571459986,0.5997,0.0792,5788736223
2021-12-31,5642366893,0.5626,0.2279,15484105844
2021-09-30,3998136616,0.4222,0.1699,11148009591
2021-06-30,3274494812,0.5755,0.1563,7885338091
2021-03-31,1494905519,0.5141,0.0747,3812417666
2020-12-31,3588860966,0.2638,0.1754,11314998781
2020-09-30,2811297730,,0.1406,8098241232
2020-06-30,2078332901,,0.1039,5635406775
2020-03-31,987334251,,,2664506371
2019-12-31,2839735824,0.0484,0.1421,8956644468
2018-12-31,2708569637,0.1148,,7382911880
2017-12-31,2429720972,,,6780849991
