代码,名称,权重(%),调整因子
002230,科大讯飞,8.50,1.00
000977,浪潮信息,7.20,1.00
300496,中科创达,6.50,1.00
002415,海康威视,5.80,1.00
600570,恒生电子,5.20,1.00
300454,深信服,4.80,1.00
002439,启明星辰,4.50,1.00
300033,同花顺,4.20,1.00
002410,广联达,3.80,1.00
300352,北信源,3.50,1.00
002049,紫光国微,3.20,1.00
300598,诚迈科技,2.80,1.00
300253,卫宁健康,2.50,1.00
603118,共进股份,2.20,1.00
300365,恒华科技,2.00,1.00
