日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-03,=34.0100,=34.0100,=34.0100,=34.0100,=199020566345.44,=189116024501.0,=60843080017.84,,=5.3292,,,,
2026-07-02,=33.5600,=33.5600,=33.5600,=33.5600,=196387245120.64,=186613754257.0,=60038040735.04,,=5.2587,,,,
2026-07-01,=33.4800,=33.4800,=33.4800,=33.4800,=195919099125.12,=186168906213.0,=59894922640.32,,=5.2462,,,,
2026-06-30,=33.1600,=33.1600,=33.1600,=33.1600,=194046515143.04,=184389514039.0,=59322450261.44,,=5.1960,,,,
2026-06-29,=34.0800,=34.0800,=34.0800,=34.0800,=199430194091.52,=189505266540.0,=60968308350.72,,=5.3402,,,,
2026-06-26,=32.9800,=32.9800,=32.9800,=32.9800,=192993186653.12,=183388605941.0,=59000434548.32,,=5.1678,,,,
2026-06-25,=33.9200,=33.9200,=33.9200,=33.9200,=198493902100.48,=188615570452.0,=60682072161.28,,=5.3151,,,,
2026-06-24,=35.0100,=35.0100,=35.0100,=35.0100,=204872391289.44,=194676625045.0,=62632056201.84,,=5.4859,,,,
2026-06-23,=34.1800,=34.1800,=34.1800,=34.1800,=200015376585.92,=190061326594.0,=61147205969.12,,=5.3558,,,,
2026-06-22,=33.0400,=33.0400,=33.0400,=33.0400,=193344296149.76,=183722241974.0,=59107773119.36,,=5.1772,,,,
2026-06-18,=32.4400,=32.4400,=32.4400,=32.4400,=189833201183.36,=180385881647.0,=58034387408.96,,=5.0832,,,,
2026-06-17,=33.3200,=33.3200,=33.3200,=33.3200,=194982807134.08,=185279210126.0,=59608686450.88,,=5.2211,,,,
2026-06-16,=33.7900,=33.7900,=33.7900,=33.7900,=197733164857.76,=187892692382.0,=60449505257.36,,=5.2947,,,,
2026-06-15,=34.1400,=34.1400,=34.1400,=34.1400,=199781303588.16,=189838902572.0,=61075646921.76,,=5.3496,,,,
2026-06-12,=35.5300,=35.5300,=35.5300,=35.5300,=207915340260.32,=197568137328.0,=63562323817.52,,=4.9477,,,,
2026-06-11,=35.1700,=35.1700,=35.1700,=35.1700,=205808683280.48,=195566321132.0,=62918292391.28,,=4.8976,,,,
2026-06-10,=35.1000,=35.1000,=35.1000,=35.1000,=205399055534.4,=195177079094.0,=62793064058.4,,=4.8878,,,,
2026-06-09,=34.8900,=34.8900,=34.8900,=34.8900,=204170172296.16,=194009352980.0,=62417379059.76,,=4.8586,,,,
2026-06-08,=34.0700,=34.0700,=34.0700,=34.0700,=199371675842.08,=189449660534.0,=60950418588.88,,=4.7444,,,,
2026-06-05,=34.0300,=34.0300,=34.0300,=34.0300,=199137602844.32,=189227236512.0,=60878859541.52,,=4.7388,,,,
2026-06-04,=33.8000,=33.8000,=33.8000,=33.8000,=197791683107.2,=187948298387.0,=60467395019.2,,=4.7068,,,,
2026-06-03,=34.4000,=34.4000,=34.4000,=34.4000,=201302778073.6,=191284658714.0,=61540780729.6,,=4.7904,,,,
2026-06-02,=34.6800,=34.6800,=34.6800,=34.6800,=202941289057.92,=192841626866.0,=62041694061.12,,=4.8294,,,,
2026-06-01,=35.7100,=35.7100,=35.7100,=35.7100,=208968668750.24,=198569045426.0,=63884339530.64,,=4.9728,,,,
2026-05-29,=35.9200,=35.9200,=35.9200,=35.9200,=210197551988.48,=199736771540.0,=64260024529.28,,=5.0020,,,,
2026-05-28,=35.2900,=35.2900,=35.2900,=35.2900,=206510902273.76,=196233593198.0,=63132969533.36,,=4.9143,,,,
2026-05-27,=35.8500,=35.8500,=35.8500,=35.8500,=209787924242.4,=199347529502.0,=64134796196.4,,=4.9923,,,,
2026-05-26,=35.6300,=35.6300,=35.6300,=35.6300,=208500522754.72,=198124197383.0,=63741221435.92,,=4.9616,,,,
2026-05-25,=35.6500,=35.6500,=35.6500,=35.6500,=208617559253.6,=198235409394.0,=63777000959.6,,=4.9644,,,,
2026-05-22,=35.2900,=35.2900,=35.2900,=35.2900,=206510902273.76,=196233593198.0,=63132969533.36,,=4.9143,,,,
2026-05-21,=35.3400,=35.3400,=35.3400,=35.3400,=206803493520.96,=196511623225.0,=63222418342.56,,=4.9213,,,,
2026-05-20,=35.8800,=35.8800,=35.8800,=35.8800,=209963478990.72,=199514347519.0,=64188465481.92,,=4.9965,,,,
2026-05-19,=36.1900,=36.1900,=36.1900,=36.1900,=211777544723.36,=201238133687.0,=64743048098.96,,=5.0396,,,,
2026-05-18,=36.3800,=36.3800,=36.3800,=36.3800,=212889391462.72,=202294647791.0,=65082953573.92,,=5.0661,,,,
2026-05-15,=36.8100,=36.8100,=36.8100,=36.8100,=215405676188.64,=204685706025.0,=65852213333.04,,=5.1260,,,,
2026-05-14,=37.3500,=37.3500,=37.3500,=37.3500,=218565661658.4,=207688430318.0,=66818260472.4,,=5.2012,,,,
2026-05-13,=37.7400,=37.7400,=37.7400,=37.7400,=220847873386.56,=209857064531.0,=67515961184.16,,=5.2555,,,,
2026-05-12,=37.8400,=37.8400,=37.8400,=37.8400,=221433055880.96,=210413124585.0,=67694858802.56,,=5.2694,,,,
2026-05-11,=38.1500,=38.1500,=38.1500,=38.1500,=223247121613.6,=212136910754.0,=68249441419.6,,=5.3126,,,,
2026-05-08,=38.1800,=38.1800,=38.1800,=38.1800,=223422676361.92,=212303728770.0,=68303110705.12,,=5.3167,,,,
2026-05-07,=38.7300,=38.7300,=38.7300,=38.7300,=226641180081.12,=215362059069.0,=69287047606.32,,=5.3933,,,,
2026-05-06,=38.7400,=38.7400,=38.7400,=38.7400,=226699698330.56,=215417665075.0,=69304937368.16,,=5.3947,,,,
2026-04-30,=38.6400,=38.6400,=38.6400,=38.6400,=226114515836.16,=214861605020.0,=69126039749.76,,=5.3808,,,,
2026-04-29,=39.2700,=39.2700,=39.2700,=39.2700,=229801165550.88,=218364783363.0,=70253094745.68,,=5.4685,,,,
2026-04-28,=39.2600,=39.2600,=39.2600,=39.2600,=229742647301.44,=218309177357.0,=70235204983.84,,=5.4671,,,,
2026-04-27,=39.8500,=39.8500,=39.8500,=39.8500,=233195224018.4,=221589931678.0,=71290700932.4,,=5.8924,,,,
2026-04-24,=39.9200,=39.9200,=39.9200,=39.9200,=233604851764.48,=221979173716.0,=71415929265.28,,=5.9027,,,,
2026-04-23,=39.5800,=39.5800,=39.5800,=39.5800,=231615231283.52,=220088569532.0,=70807677362.72,,=5.8525,,,,
2026-04-22,=39.8300,=39.8300,=39.8300,=39.8300,=233078187519.52,=221478719668.0,=71254921408.72,,=5.8894,,,,
2026-04-21,=40.6500,=40.6500,=40.6500,=40.6500,=237876683973.6,=226038412114.0,=72721881879.6,,=6.0107,,,,
2026-04-20,=40.2900,=40.2900,=40.2900,=40.2900,=235770026993.76,=224036595918.0,=72077850453.36,,=5.9575,,,,
2026-04-17,=39.9400,=39.9400,=39.9400,=39.9400,=233721888263.36,=222090385727.0,=71451708788.96,,=5.9057,,,,
