date,metric,value
2026-03-31,总资产收益率(ROA),0.0364
2026-03-31,资产合计,259915895047
2026-03-31,流动资产合计,0
2026-03-31,经营活动产生的现金流量净额,5508470361
2026-03-31,净资产收益率(ROE),0.0915
2026-03-31,应收账款,8339989673
2026-03-31,自由现金流量,-6693815993
2026-03-31,流动比率,1.2252
2026-03-31,长期负债合计,14789174737
2026-03-31,归属于母公司普通股股东的净利润,2817563002
2026-03-31,资产负债率,0.6247
2026-03-31,所有者权益合计,97545051403
2026-03-31,毛利率(GM),0.0456
2026-03-31,货币资金,148897364415
2026-03-31,营业收入,139124071797
2026-03-31,经营活动产生的现金流量净额对净利润的比率,-0.2288
2026-03-31,基本每股收益,0.82
2026-03-31,速动比率,0.6991
2026-03-31,资本回报率(ROIC),0.0557
2026-03-31,流动负债合计,4098289930
2026-03-31,负债合计,162370843644
2026-03-31,净利润率,0.015
2026-03-31,有息负债率,0.4061
