date,资产合计,货币资金,资产负债率,流动负债合计,速动比率,流动资产合计,应收账款,长期负债合计,流动比率,所有者权益合计,有息负债率,负债合计
2026-03-31,259915895047,148897364415,0.6247,4098289930,0.6991,0,8339989673,14789174737,1.2252,97545051403,0.4061,162370843644
2025-12-31,218691168900,190173098922.6,0.5695,3385861647,0.6168,0,6629834438,6639299469,1.2565,94140727545,0.3797,124550441355
2025-09-30,235502162341,122892266583.45,0.6088,5151044455,0.7787,0,6824974314,7089672734,1.2055,92127798253,0.4181,143374364088
2025-06-30,247857746909,81131749959.15,0.6372,4237486937,0.7697,0,6711127998,6936725175,1.1622,89912417061,0.4448,157945329848
2025-03-31,212137339520,79781285491.2,0.5759,4503595668,0.7632,0,7160456028,7363791163,1.2497,89960250232,0.4005,122177089288
2024-12-31,193127834940,71470734919.2,0.5454,4273710629,0.7691,0,6233407692,13915134362,1.3339,87802056818,0.3547,105325778122
2024-09-30,202913202013,84525224776.05,0.5769,5394611971,0.819,0,5950661468,16045887474,1.3522,85857921133,0.3945,117055280880
2024-06-30,226358513809,81997432310.4,0.6281,4130531172,0.8125,0,6210580894,14547391994,1.2861,84187877030,0.4282,142170636779
2024-03-31,194835394983,80612340548.4,0.5822,2246809760,0.8159,0,5126491181,15481653797,1.3661,81403745082,0.4152,113431649901
2023-12-31,168150905428,61844347173.3,0.5436,1397394903,0.8611,0,3971108921,13589186121,1.4512,76748665687,0.3447,91402239741
2023-09-30,202199471671,66692168340.3,0.5552,3035922445,0.9044,0,5008083237,15342361602,1.3865,89943000809,0.3516,112256470862
2023-06-30,213236377789,65722604106.9,0.5868,2604748427,0.905,0,4677762563,14239963583,1.3098,88116439334,0.4026,125119938455
2023-03-31,190144637002,68527414924.95,0.5499,2106896525,0.8524,0,5410439279,15120579188,1.3931,85580491055,0.3681,104564145947
2022-12-31,167330538537,60355373529.15,0.5102,1115288325,0.7859,0,4465150503,6256716059,1.3207,81950157848,0.3241,85380380689
2022-09-30,176149585303,52771996132.2,0.5583,4212717055,0.9162,0,5260447356,9323599576,1.3831,77807712850,0.3619,98341872453
2022-06-30,183963437266,61740465291.15,0.5804,2652085282,0.8903,0,5140792306,14579093624,1.3631,77193425960,0.3824,106770011306
2022-03-31,189380147369,66761422928.4,0.5346,3207691426,0.8573,0,6428488560,15973595491,1.4224,88145318062,0.3603,101234829307
2021-12-31,161034644301,77322747613.65,0.5168,2192493955,0.8111,0,4958727680,11856035207,1.3869,77809926686,0.331,83224717615
2021-09-30,166139823325,84698361246.3,0.5695,3833119258,0.9196,0,4683454199,18258285399,1.4412,71531059971,0.3896,94608763354
2021-06-30,167244064960,77495884083.9,0.5574,2746465010,0.8011,0,5473389549,17578254243,1.3934,74023423807,0.3829,93220641153
2021-03-31,153016773384,76595574438.6,0.5537,3543905365,0.7744,0,4862615900,16836129914,1.4014,68297314217,0.3587,84719459167
2020-12-31,140881552897,69081451629.75,0.5254,1484500195,0.7858,0,4372904933,14076716799,1.388,66859304935,0.3581,74022247962
2020-09-30,145868297542,49066875668.85,0.5934,1845660563,0.9043,0,5042252977,13388154547,1.3279,59309463038,0.417,86558834504
2020-06-30,152244405337,46608337858.6,0.6198,1294339011,0.8841,0,6298135239,9837201773,1.2336,57881176641,0.4377,94363228696
2020-03-31,134170367846,43734272448.3,0.5891,3492406111,0.8493,0,4969799730,7953137364,1.2807,55131876571,0.4193,79038491275
2019-12-31,134913915434,58624008911.3,0.5624,2357188893,0.8107,0,4930446539,5257859073,1.229,59032602430,0.3903,75881313004
2019-09-30,133017865066,49759421621.7,0.5714,3918469980,0.94,0,7294014561,2098562304,1.2897,57012077976,0.3931,76005787090
2019-06-30,133106720782,54503360913.4,0.5779,1795394000,0.898,0,5856283689,344348500,1.2379,56183228094,0.4143,76923492688
2019-03-31,108230801740,54018578796,0.5123,3182620554,1.0589,0,6703600727,3307000000,1.4739,52781875671,0.35,55448926069
2018-12-31,102865826951,45569519035.6,0.4942,3311246333,1.0818,0,10900292351,3282000000,1.507,52026690328,0.3294,50839136623
2018-09-30,106225806680,50105694562.7,0.5126,3610149742,1.1068,0,7224911283,3308750000,1.5016,51773376323,0.3509,54452430357
2018-06-30,99875860331,54884261148.5,0.4888,1597633127,1.0678,0,0,3308750000,1.532,51054552764,0.3132,48821307567
2018-03-31,94146522245,59870591498.9,0.4604,0,0.9887,0,11938164377,2208750000,1.5283,50797255585,0.2917,43349266660
2017-12-31,97468655222,69843252199.7,0.4872,0,0.9012,0,11831963111,8750000,1.3753,49983229863,0.3062,47485425359
2017-09-30,96571438401,63921984908.6,0.482,0,1.0639,0,13856118359,10500000,1.4591,50025771536,0.2887,46545666865
2017-06-30,94193780728,58381617852.6,0.4777,0,1.011,0,11973717925,10500000,1.4365,49194610990,0.2802,44999169738
2017-03-31,89740106693,59732082322.5,0.4492,0,0.9594,0,12553213036,204850000,1.436,49431817961,0.2059,40308288732
2016-12-31,87384092258,57931463029.3,0.4413,0,0.9677,0,13542788474,228100000,1.4428,48822847220,0.2113,38561245038
2016-09-30,86304607302,48270447975.4,0.4305,0,1.0341,0,12001292460,169099347,1.5295,49147905285,0.2,37156702017
