date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,149866928648.4001,0.2619,,,,,18.7443,,,,,1.8102,,,,,0.0231,15.2955,,,,,1.7818,,,,
2026-07-02,145157616657.6001,0.2537,,,,,18.1553,,,,,1.7533,,,,,0.0239,14.8149,,,,,1.7258,,,,
2026-07-01,148135563945.9001,0.2589,,,,,18.5278,,,,,1.7892,,,,,0.0234,15.1188,,,,,1.7612,,,,
2026-06-30,149936183236.5,0.2621,,,,,18.7530,,,,,1.8110,,,,,0.0231,15.3026,,,,,1.7826,,,,
2026-06-29,154056831228.4501,0.2693,,,,,19.2684,,,,,1.8608,,,,,0.0225,15.7231,,,,,1.8316,,,,
2026-06-26,146785099477.9501,0.2566,,,,,18.3589,,,,,1.7729,,,,,0.0236,14.9810,,,,,1.7452,,,,
2026-06-25,157311796869.1501,0.2750,,,,,19.6755,,,,,1.9001,,,,,0.0220,16.0553,,,,,1.8703,,,,
2026-06-24,163890982738.65,0.2865,,,,,20.4984,,,,,1.9795,,,,,0.0211,16.7268,,,,,1.9485,,,,
2026-06-23,170954950724.8501,0.2988,,,,,21.3819,,,,,2.0649,,,,,0.0203,17.4478,,,,,2.0325,,,,
2026-06-22,189965335158.3001,0.3320,,,,,23.7596,,,,,2.2945,,,,,0.0182,19.3880,,,,,2.2585,,,,
2026-06-18,184598104580.5501,0.3226,,,,,23.0883,,,,,2.2297,,,,,0.0188,18.8402,,,,,2.1947,,,,
2026-06-17,167803866966.3001,0.2933,,,,,20.9878,,,,,2.0268,,,,,0.0206,17.1262,,,,,1.9950,,,,
2026-06-16,161016917332.5,0.2814,,,,,20.1389,,,,,1.9448,,,,,0.0215,16.4335,,,,,1.9144,,,,
2026-06-15,163994864620.8001,0.2866,,,,,20.5113,,,,,1.9808,,,,,0.0211,16.7374,,,,,1.9498,,,,
2026-06-12,149070500885.25,0.2606,,,,,18.6447,,,,,1.8005,,,,,0.0232,15.2142,,,,,1.7723,,,,
2026-06-11,138993958316.7001,0.2429,,,,,17.3844,,,,,1.6788,,,,,0.0249,14.1858,,,,,1.6525,,,,
2026-06-10,140205913608.4501,0.2451,,,,,17.5360,,,,,1.6935,,,,,0.0247,14.3095,,,,,1.6669,,,,
2026-06-09,143218488190.8001,0.2503,,,,,17.9128,,,,,1.7299,,,,,0.0242,14.6170,,,,,1.7027,,,,
2026-06-08,141521750782.3501,0.2474,,,,,17.7006,,,,,1.7094,,,,,0.0245,14.4438,,,,,1.6826,,,,
