date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,139124071797,0.2539,0.82,2817563002
2025-12-31,544623484060,0.0542,2.07,7130191864
2025-09-30,396046714556,0.0098,1.74,6023392762
2025-06-30,256958886885,-0.0494,1.21,4174546475
2025-03-31,111610579687,-0.089,0.57,1952431637
2024-12-31,520928245943,-0.0018,2.01,6962197980
2024-09-30,396365383922,-0.008,1.44,4984199890
2024-06-30,273091475940,0.0208,1.05,3616701998
2024-03-31,122516634600,-0.0408,0.5,1714868346
2023-12-31,521892512166,0.0874,1.88,6505109122
2023-09-30,399555490758,0.0853,1.43,4942949691
2023-06-30,267526335667,0.0481,0.97,3359462882
2023-03-31,127733316672,0.0457,0.51,1755051995
2022-12-31,479938045193,0.084,1.73,5993964274
2022-09-30,368158520080,0.0916,1.37,4728482695
2022-06-30,255247861204,0.1255,1,3466559258
2022-03-31,122154074980,0.1972,0.43,1473560664
2021-12-31,442767670161,0.3899,1.63,5635567528
2021-09-30,337256574727,0.4839,1.3,4506785272
2021-06-30,226794311017,0.543,0.88,3043066457
2021-03-31,102036174286,0.8154,0.25,859445869
2020-12-31,318563174838,0.3254,0.67,2320394755
2020-09-30,227282961945,0.3273,0.44,1532497535
2020-06-30,146985402360,0.3993,0.22,745301824
2020-03-31,56206439242,0.1504,0.05,160258204
2019-12-31,240360335134,0.1164,0.71,2466407085
2019-09-30,171239924994,0.0532,0.6,2065256336
2019-06-30,105042933126,0.0051,0.38,1300277340
2019-03-31,48859365421,-0.0346,0.21,742346402
2018-12-31,215289866760,0.0499,0.71,2447475745
2018-09-30,162597360444,0.0466,0.59,2044980235
2018-06-30,104505429936,0.0633,0.37,1277630707
2018-03-31,50611607557,0.1327,0.22,765958582
2017-12-31,205046854771,0.0135,0.46,1604107754
2017-09-30,155355400938,0.1058,0.46,1580662908
2017-06-30,98285807570,0.0896,0.24,830212763
2017-03-31,44684133049,0.1502,0.16,541250886
2016-12-31,202308220227,0.089,0.23,787538113
2016-09-30,140488741087,0.2229,0.29,988293615
