date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,283822394015.2,14.4190,,,,,9.0007,,,,,70.7223,,,,,9.1369,,,,,74.2564,,,,,0.0051
2026-07-02,271492732892.96,13.7926,,,,,8.6097,,,,,67.6501,,,,,8.7400,,,,,71.0306,,,,,0.0053
2026-07-01,281300417876.56,14.2909,,,,,8.9207,,,,,70.0939,,,,,9.0557,,,,,73.5966,,,,,0.0051
2026-06-30,291748604736.64,14.8217,,,,,9.2521,,,,,72.6974,,,,,9.3921,,,,,76.3301,,,,,0.0049
2026-06-29,284142644953.44,14.4353,,,,,9.0109,,,,,70.8021,,,,,9.1472,,,,,74.3402,,,,,0.0050
2026-06-26,296712494279.3601,15.0739,,,,,9.4095,,,,,73.9343,,,,,9.5519,,,,,77.6288,,,,,0.0048
2026-06-25,283422080342.4,14.3987,,,,,8.9880,,,,,70.6226,,,,,9.1240,,,,,74.1517,,,,,0.0051
2026-06-24,259483322708.96,13.1825,,,,,8.2289,,,,,64.6576,,,,,8.3534,,,,,67.8886,,,,,0.0055
2026-06-23,235904847381.04,11.9847,,,,,7.4811,,,,,58.7823,,,,,7.5943,,,,,61.7197,,,,,0.0061
2026-06-22,233703122180.64,11.8728,,,,,7.4113,,,,,58.2337,,,,,7.5234,,,,,61.1437,,,,,0.0061
2026-06-18,214167814948.0,10.8804,,,,,6.7918,,,,,53.3659,,,,,6.8946,,,,,56.0327,,,,,0.0067
2026-06-17,218571265348.8,11.1041,,,,,6.9314,,,,,54.4632,,,,,7.0363,,,,,57.1848,,,,,0.0066
