date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,283822394015.2,74.2564,,,,,9.0007,,,,,0.0051,70.7223,,,,,14.4190,,,,,9.1369,,,,
2026-07-02,271492732892.96,71.0306,,,,,8.6097,,,,,0.0053,67.6501,,,,,13.7926,,,,,8.7400,,,,
2026-07-01,281300417876.56,73.5966,,,,,8.9207,,,,,0.0051,70.0939,,,,,14.2909,,,,,9.0557,,,,
2026-06-30,291748604736.64,76.3301,,,,,9.2521,,,,,0.0049,72.6974,,,,,14.8217,,,,,9.3921,,,,
2026-06-29,284142644953.44,74.3402,,,,,9.0109,,,,,0.0050,70.8021,,,,,14.4353,,,,,9.1472,,,,
2026-06-26,296712494279.3601,77.6288,,,,,9.4095,,,,,0.0048,73.9343,,,,,15.0739,,,,,9.5519,,,,
2026-06-25,283422080342.4,74.1517,,,,,8.9880,,,,,0.0051,70.6226,,,,,14.3987,,,,,9.1240,,,,
2026-06-24,259483322708.96,67.8886,,,,,8.2289,,,,,0.0055,64.6576,,,,,13.1825,,,,,8.3534,,,,
2026-06-23,235904847381.04,61.7197,,,,,7.4811,,,,,0.0061,58.7823,,,,,11.9847,,,,,7.5943,,,,
2026-06-22,233703122180.64,61.1437,,,,,7.4113,,,,,0.0061,58.2337,,,,,11.8728,,,,,7.5234,,,,
2026-06-18,214167814948.0,56.0327,,,,,6.7918,,,,,0.0067,53.3659,,,,,10.8804,,,,,6.8946,,,,
2026-06-17,218571265348.8,57.1848,,,,,6.9314,,,,,0.0066,54.4632,,,,,11.1041,,,,,7.0363,,,,
2026-06-16,198715707177.92,51.9899,,,,,6.3018,,,,,0.0072,49.5156,,,,,10.0953,,,,,6.3971,,,,
2026-06-15,183223568040.56,47.9367,,,,,5.8105,,,,,0.0078,45.6553,,,,,9.3083,,,,,5.8984,,,,
2026-06-12,166570519252.08,43.5798,,,,,5.2824,,,,,0.0086,41.5057,,,,,8.4623,,,,,5.3623,,,,
2026-06-11,164408825418.96,43.0142,,,,,5.2138,,,,,0.0087,40.9671,,,,,8.3525,,,,,5.2927,,,,
2026-06-10,157603492981.36,41.2338,,,,,4.9980,,,,,0.0091,39.2714,,,,,8.0067,,,,,5.0736,,,,
2026-06-09,156602708799.36,40.9719,,,,,4.9663,,,,,0.0092,39.0220,,,,,7.9559,,,,,5.0414,,,,
2026-06-08,142351542047.68,37.2434,,,,,4.5143,,,,,0.0101,35.4709,,,,,7.2319,,,,,4.5826,,,,
