date,负债合计,有息负债率,流动资产合计,长期负债合计,流动比率,流动负债合计,速动比率,资产合计,资产负债率,所有者权益合计
2026-03-31,726428000000,0.0475,19051000000,9474000000,0.8549,58958000000,0.7887,2153534000000,0.3373,1427106000000
2025-12-31,695331000000,0.0484,20178000000,9748000000,0.8111,49615000000,0.7385,2092882000000,0.3322,1397551000000
2025-09-30,704171000000,0.0478,18295000000,10000000,0.8104,41174000000,0.7434,2073824000000,0.3396,1369653000000
2025-06-30,693546000000,0.0439,21813000000,0,0.8838,40365000000,0.8137,2092440000000,0.3315,1398894000000
2025-03-31,695466000000,0.0454,17302000000,0,0.9292,62417000000,0.8614,2090272000000,0.3327,1394806000000
2024-12-31,711588000000,0.0427,20665000000,0,0.8982,54964000000,0.8347,2072827000000,0.3433,1361239000000
2024-09-30,653755000000,0.0467,18451000000,0,0.8964,47661000000,0.8221,1983343000000,0.3296,1329588000000
2024-06-30,637738000000,0.0482,20726000000,0,0.9638,45408000000,0.889,1986307000000,0.3211,1348569000000
2024-03-31,653771000000,0.0496,17929000000,0,0.9856,74949000000,0.9135,1995601000000,0.3276,1341830000000
2023-12-31,646672000000,0.0526,19407000000,0,0.8918,66193000000,0.822,1957357000000,0.3304,1310685000000
2023-09-30,665247000000,0.0545,15292000000,0,0.8953,58615000000,0.8263,1949176000000,0.3413,1283929000000
2023-06-30,654711000000,0.0574,14585000000,0,0.9132,54631000000,0.8487,1956296000000,0.3347,1301585000000
2023-03-31,663636000000,0.059,13048000000,0,0.8898,88915000000,0.8223,1957557000000,0.339,1293921000000
2022-12-31,634115000000,0.0593,13657000000,0,0.8557,75255000000,0.795,1900238000000,0.3337,1266123000000
2022-09-30,619128000000,0.0317,9917000000,0,0.9823,72882000000,0.9205,1858447000000,0.3331,1239319000000
2022-06-30,622933000000,0.0323,8685000000,0,1.1037,59327000000,1.0448,1875081000000,0.3322,1252148000000
2022-03-31,594671000000,0.0331,7522000000,0,1.1754,91639000000,1.1091,1845500000000,0.3222,1250829000000
2021-12-31,631035000000,0.0316,6551000000,0,1.0227,79068000000,0.9779,1806027000000,0.3494,1174992000000
2021-09-30,623926000000,0.0342,5845000000,0,1.1012,81328000000,1.0512,1770947000000,0.3523,1147021000000
2021-06-30,618614000000,0.0358,4808000000,0,1.1228,68027000000,1.081,1765153000000,0.3505,1146539000000
2021-03-31,,,0,0,,0,,,,
2020-12-31,575110000000,0.0394,3841000000,0,1.1208,79028000000,1.0816,1692582000000,0.3398,1117472000000
2020-09-30,,,0,0,,0,,,,
2019-12-31,521951000000,0.0466,5003000000,0,1.1492,56835000000,1.1061,1593940000000,0.3275,1071989000000
2018-12-31,480101000000,0,5022000000,0,1.1301,62279000000,1.0816,1500610000000,0.3199,1020509000000
