date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,122955000000,71447000000,1.2814,2.0079
2025-12-31,76728000000,232919000000,-0.2623,1.6969
2025-09-30,97644000000,161047000000,-0.2813,1.7677
2025-06-30,111024000000,83832000000,-0.3619,1.8815
2025-03-31,133284000000,31317000000,-0.4497,2.0796
2024-12-31,160725000000,315741000000,0.0394,2.2793
2024-09-30,113722000000,224075000000,-0.0572,2.1133
2024-06-30,100406000000,131377000000,-0.1816,2.0201
2024-03-31,107722000000,56904000000,-0.2433,2.1387
2023-12-31,123270000000,303780000000,0.082,2.3025
2023-09-30,117305000000,237678000000,0.0443,2.1938
2023-06-30,114932000000,160525000000,0.09,2.2358
2023-03-31,92755000000,75205000000,-0.033,2.173
2022-12-31,91687000000,280750000000,-0.1081,2.2354
2022-09-30,77749000000,227592000000,-0.0864,2.2974
2022-06-30,91623000000,147272000000,-0.0888,2.3609
2022-03-31,102300000000,77770000000,0.0196,2.6878
2021-12-31,107958000000,314764000000,0.0228,2.7113
2021-09-30,129707000000,249116000000,-0.029,2.6457
2021-06-30,,161618000000,,
2021-03-31,,76272000000,,
2020-12-31,117578000000,307761000000,0.243,2.8461
2020-09-30,,256544000000,,
2019-12-31,43049000000,247591000000,0.201,2.3253
2018-12-31,10995000000,206151000000,,1.7639
