date,所有者权益合计,速动比率,资产负债率,流动负债合计,资产合计,负债合计,流动比率,流动资产合计,有息负债率,长期负债合计
2026-03-31,33286304527,1.5475,0.3763,5879530127,53368249646,20081945119,1.7057,0,0.0019,0
2025-12-31,31512195877,1.2549,0.3955,7674071543,52131585698,20619389821,1.458,0,0.0022,0
2025-09-30,32198283742,1.4539,0.3735,5701262186,51390464744,19192181002,1.5867,0,0.0022,0
2025-06-30,30770403936,1.3003,0.4124,5439176353,52369000017,21598596081,1.4312,0,0.0023,0
2025-03-31,31557663335,1.4074,0.3847,5659574089,51291152685,19733489350,1.5672,0,0.0021,0
2024-12-31,29859542011,1.2196,0.4193,8312560682,51420385832,21560843821,1.4375,0,0.0021,0
2024-09-30,30672244788,1.7256,0.3911,5444130602,50371239687,19698994899,1.8673,0,0.0022,0
2024-06-30,29215608926,1.5082,0.4467,5560277517,52805909965,23590301039,1.6324,0,0.0023,0
2024-03-31,29845324302,1.6625,0.4085,5936296349,50459434299,20614109997,1.8286,0,0.0024,0
2023-12-31,28254747175,1.5286,0.4264,7691295634,49256011349,21001264174,1.7503,0,0.0023,0
2023-09-30,28924250806,1.6793,0.4186,5825475344,49750529611,20826278805,1.8197,0,0.0025,0
2023-06-30,27338625653,1.475,0.4776,5753508818,52331125266,24992499613,1.6017,0,0.0026,0
2023-03-31,27769675415,1.6073,0.4461,6191964504,50136236052,22366560637,1.7666,0,0.0073,0
2022-12-31,26272312535,1.4014,0.4778,8909252504,50311699796,24039387261,1.6268,0,0.0074,0
2022-09-30,26876478638,1.5938,0.455,5976535618,49318248328,22441769690,1.7247,0,0.0083,0
2022-06-30,25303003195,1.4402,0.4947,5946220902,50077006806,24774003611,1.5675,0,0.008,0
2022-03-31,24975734326,1.491,0.4685,5993637031,46988567972,22012833646,1.6527,0,0.0191,0
2021-12-31,23793691342,1.3822,0.489,8123275272,46563004491,22769313149,1.586,0,0.0087,0
2021-09-30,24213834920,1.5641,0.4658,5365264721,45328578511,21114743591,1.6848,0,0.0312,0
2021-06-30,22956466099,1.4276,0.4925,5244815963,45236910933,22280444834,1.5629,0,0.0135,0
2021-03-31,22477877823,1.4535,0.477,5390702856,42978389188,20500511365,1.6229,0,0.0189,0
2020-12-31,21368052166,1.3609,0.4853,6567320256,41514185835,20146133669,1.5879,0,0.0207,0
2020-09-30,22064020909,1.5049,0.4608,5011727220,40921522405,18857501496,1.6606,0,0.0102,0
2020-06-30,20823902637,1.3711,0.4859,3171954571,40504793818,19680891181,1.5303,0,0.0524,0
2020-03-31,20222484230,1.428,0.4524,4959657988,36927689734,16705205504,1.6312,0,0.0201,0
2019-12-31,19913370856,1.3257,0.4663,6275719703,37312383547,17399012691,1.5727,0,0.0089,209180
2019-09-30,20722906003,1.4601,0.4335,3981404765,36578469070,15855563067,1.6106,0,0.0144,207860
2019-06-30,19728389555,1.3002,0.4733,4125343897,37456413023,17728023468,1.4531,0,0.014,418880
2019-03-31,19536949278,1.3365,0.4453,4232570457,35217612873,15680663595,1.5412,0,0.0099,405120
2018-12-31,18689951387,1.2357,0.4515,5237538511,34075265005,15385313618,1.4694,0,0.0087,630480
2018-09-30,19404152190,1.3559,0.4388,3863806028,34575778365,15171626175,1.504,0,0.0086,644580
2018-06-30,18557718851,1.1991,0.4591,4007867450,34311983268,15754264417,1.3527,0,0.0083,821600
2018-03-31,18485012122,1.218,0.4347,0,32698603094,14213590972,1.4028,0,0.0083,830080
2017-12-31,17774504701,1.1063,0.4262,0,30974711779,13200207078,1.3464,0,0.0092,1047900
2017-09-30,18361553840,1.1979,0.436,0,32553153855,14191600015,1.3526,0,0.0089,1051400
2017-06-30,17590792601,1.0931,0.4614,0,32661150452,15070357851,1.2536,0,0.0102,1250520
2017-03-31,17485980725,1.0933,0.4335,0,30868477412,13382496687,1.2938,0,0.0098,1189920
2016-12-31,16879139569,0.9864,0.4388,0,30077158487,13198018918,1.226,0,0.0101,1376480
2016-09-30,17728682975,1.1021,0.4385,0,31572707581,13844024606,1.2657,0,0.0104,1404480
2016-06-30,16664888691,1.0367,0.4589,0,30798299746,14133411055,1.1814,0,0.0116,1585920
