date,资本回报率(ROIC),净资产收益率(ROE),净利润率,毛利率(GM),总资产收益率(ROA)
2026-03-31,0.1484,0.1484,0.1489,0.422,0.092
2025-12-31,0.1536,0.1537,0.1453,0.4184,0.0911
2025-09-30,0.1515,0.1515,0.1464,0.4195,0.0936
2025-06-30,0.1581,0.1582,0.1457,0.4156,0.0902
2025-03-31,0.1501,0.15,0.142,0.4061,0.0905
2024-12-31,0.1547,0.1546,0.1398,0.4023,0.0892
2024-09-30,0.1506,0.1503,0.1403,0.4044,0.0895
2024-06-30,0.1624,0.1623,0.1415,0.4012,0.0873
2024-03-31,0.1556,0.1562,0.1348,0.3931,0.0894
2023-12-31,0.1588,0.1595,0.1281,0.3866,0.0873
2023-09-30,0.1581,0.1591,0.1304,0.3843,0.0896
2023-06-30,0.1652,0.1663,0.1269,0.3762,0.0855
2023-03-31,0.1533,0.1564,0.1225,0.3704,0.085
2022-12-31,0.1503,0.152,0.1183,0.3685,0.0785
2022-09-30,0.1483,0.1529,0.1201,0.3221,0.0825
2022-06-30,0.1501,0.1524,0.1181,0.3306,0.0772
2022-03-31,0.1374,0.1414,0.1102,0.3459,0.0746
2021-12-31,0.1413,0.1442,0.1079,0.3671,0.0739
2021-09-30,0.1228,0.1268,0.0974,0.4203,0.068
2021-06-30,0.1243,0.1313,0.0946,0.4212,0.067
2021-03-31,0.1284,0.1324,0.093,0.4187,0.0708
2020-12-31,0.1101,0.1127,0.0838,0.4042,0.059
2020-09-30,0.1054,0.1081,0.0841,0.4053,0.0597
2020-06-30,0.0989,0.1057,0.079,0.3988,0.055
2020-03-31,0.0799,0.0825,0.0623,0.3902,0.0455
2019-12-31,0.0979,0.0999,0.0689,0.3896,0.054
2019-09-30,0.1,0.1015,0.0732,0.3861,0.0573
2019-06-30,0.0974,0.0987,0.0676,0.3822,0.0527
2019-03-31,,0.0895,0.0624,0.3764,0.0501
2018-12-31,0.0848,0.0856,0.0587,0.377,0.048
2018-09-30,,0.0867,0.0617,0.3774,0.0488
2018-06-30,,0.086,0.0589,0.3907,0.0464
2018-03-31,,0.0823,0.0559,0.4032,0.0466
2017-12-31,,0.0798,0.0526,0.4055,0.0453
2017-09-30,,0.0653,0.0446,0.4113,0.0368
2017-06-30,,0.0733,0.0475,0.4217,0.0396
2017-03-31,,0.069,0.0449,0.4148,0.0392
2016-12-31,,0.0669,0.0424,0.4153,0.0378
2016-09-30,,0.1055,0.0682,0.4138,0.0587
2016-06-30,,0.0904,0.0558,0.3882,0.0478
