date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-06-08,57256083050.4,4.2818,0.0000,23.4989,11.7619,7.3561,1.3277,0.0000,4.1191,3.2311,2.1366,26.3175,0.2445,-58.8511,38.2828,25.1633,0.0204
2026-06-05,58823720265.6,4.3990,0.0004,23.4989,11.7552,7.3619,1.3640,0.0004,4.1191,3.2293,2.1372,27.0381,0.2642,-58.8511,38.2812,25.1349,0.0199
2026-06-04,58201642005.6,4.3525,0.0000,23.4989,11.7586,7.3803,1.3496,0.0000,4.1191,3.2304,2.1390,26.7521,0.2585,-58.8511,38.2812,25.1349,0.0201
2026-06-03,59196967221.6,4.4269,0.0000,23.4989,11.7619,7.3925,1.3727,0.0000,4.1191,3.2311,2.1397,27.2096,0.2706,-58.8511,38.2828,25.1349,0.0198
2026-06-02,60590422524.0,4.5311,0.0000,23.4989,11.7619,7.4288,1.4050,0.0000,4.1191,3.2311,2.1404,27.8501,0.2847,-58.8511,38.2828,25.1260,0.0193
2026-06-01,61809695913.6,4.6223,0.0000,23.4989,11.7619,7.4298,1.4332,0.0000,4.1191,3.2311,2.1404,28.4106,0.3017,-58.8511,38.2828,25.1222,0.0189
2026-05-29,62382007912.8,4.6651,0.0004,23.4989,11.7552,7.4350,1.4465,0.0004,4.1191,3.2293,2.1407,28.6736,0.3139,-58.8511,38.2812,25.1107,0.0187
2026-05-28,61909228435.2,4.6298,0.0000,23.4989,11.7586,7.4496,1.4356,0.0000,4.1191,3.2304,2.1407,28.4563,0.3045,-58.8511,38.2812,25.1107,0.0189
2026-05-27,63203151216.0,4.7265,0.0004,23.4989,11.7619,7.4579,1.4656,0.0004,4.1191,3.2311,2.1420,29.0511,0.3332,-58.8511,38.2828,25.1107,0.0185
2026-05-26,63725696954.4,4.7656,0.0017,23.4989,11.7619,7.4621,1.4777,0.0017,4.1191,3.2311,2.1420,29.2913,0.3407,-58.8511,38.2828,25.1058,0.0184
2026-05-25,63576398172.0,4.7544,0.0004,23.4989,11.7619,7.4684,1.4742,0.0004,4.1191,3.2311,2.1421,29.2226,0.3386,-58.8511,38.2828,25.1036,0.0184
2026-05-22,62705488608.0,4.6893,0.0000,23.4989,11.7552,7.4705,1.4540,0.0000,4.1191,3.2293,2.1432,28.8223,0.3234,-58.8511,38.2812,25.0844,0.0187
2026-05-21,63700813824.0,4.7637,0.0004,23.4989,11.7586,7.4751,1.4771,0.0004,4.1191,3.2304,2.1486,29.2798,0.3405,-58.8511,38.2812,25.0844,0.0184
2026-05-20,64074060780.0,4.7916,0.0008,23.4989,11.7619,7.4808,1.4857,0.0008,4.1191,3.2311,2.1500,29.4514,0.3473,-58.8511,38.2828,25.0844,0.0183
2026-05-19,63974528258.4,4.7842,0.0004,23.4989,11.7619,7.4950,1.4834,0.0004,4.1191,3.2311,2.1501,29.4056,0.3456,-58.8511,38.2828,25.0758,0.0183
2026-05-18,63626164432.8,4.7582,0.0000,23.4989,11.7619,7.4978,1.4754,0.0000,4.1191,3.2311,2.1505,29.2455,0.3407,-58.8511,38.2828,25.0735,0.0184
2026-05-15,64870320952.8,4.8512,0.0000,23.4989,11.7552,7.5120,1.5042,0.0000,4.1191,3.2293,2.1507,29.8174,0.3602,-58.8511,38.2812,25.0394,0.0180
2026-05-14,65990061820.8,4.9349,0.0000,23.4989,11.7586,7.5205,1.5302,0.0000,4.1191,3.2304,2.1507,30.3321,0.3670,-58.8511,38.2812,25.0394,0.0177
2026-05-13,66761438863.2,4.9926,0.0000,23.4989,11.7619,7.5205,1.5481,0.0000,4.1191,3.2311,2.1535,30.6866,0.3726,-58.8511,38.2828,25.0394,0.0175
2026-05-12,67209335210.4,5.0261,0.0000,23.4989,11.7619,7.5290,1.5584,0.0000,4.1191,3.2311,2.1538,30.8925,0.3780,-58.8511,38.2828,25.0377,0.0174
2026-05-11,67756764079.2,5.0671,0.0004,23.4989,11.7619,7.5347,1.5711,0.0004,4.1191,3.2311,2.1542,31.1441,0.3833,-58.8511,38.2828,25.0167,0.0173
2026-05-08,67657231557.6,5.0596,0.0000,23.4989,11.7552,7.5375,1.5688,0.0000,4.1191,3.2293,2.1548,31.0984,0.3834,-58.8511,38.2812,24.9656,0.0173
2026-05-07,67831413470.4,5.0726,0.0004,23.4989,11.7586,7.5375,1.5729,0.0004,4.1191,3.2304,2.1562,31.1784,0.3848,-58.8511,38.2812,24.9656,0.0172
2026-05-06,68130011035.2,5.0950,0.0004,23.4989,11.7619,7.5432,1.5798,0.0004,4.1191,3.2311,2.1603,31.3157,0.3858,-58.8511,38.2828,24.9656,0.0172
2026-04-30,67781647209.6,5.0689,0.0000,23.4989,11.7519,7.5460,1.5717,0.0000,4.1191,3.2283,2.1624,31.1556,0.3853,-58.8511,38.2812,24.9452,0.0173
2026-04-29,68154894165.6,5.2867,0.0033,23.4989,11.7552,7.5489,1.6209,0.0033,4.1191,3.2293,2.1631,28.8018,0.3275,-58.8511,38.2812,24.9452,0.0186
2026-04-28,67557699036.0,5.2403,0.0008,23.4989,11.7552,7.5574,1.6067,0.0008,4.1191,3.2293,2.1631,28.5495,0.3168,-58.8511,38.2812,24.9302,0.0188
2026-04-27,67532815905.6,5.2384,0.0004,23.4989,11.7552,7.5574,1.6061,0.0004,4.1191,3.2293,2.1641,28.5389,0.3168,-58.8511,38.2812,24.9302,0.0188
2026-04-24,67283984601.6,5.2191,0.0000,23.4989,11.7477,7.5602,1.6002,0.0000,4.1191,3.2279,2.1654,28.4338,0.3128,-58.8511,38.2752,24.9145,0.0189
2026-04-23,67731880948.8,5.2538,0.0000,23.4989,11.7519,7.5644,1.6108,0.0000,4.1191,3.2283,2.1668,28.6231,0.3191,-58.8511,38.2812,24.9145,0.0187
2026-04-22,68130011035.2,5.2847,0.0012,23.4989,11.7552,7.5659,1.6203,0.0012,4.1191,3.2293,2.1674,28.7913,0.3267,-58.8511,38.2812,24.9145,0.0186
2026-04-21,68204660426.4,5.2905,0.0017,23.4989,11.7552,7.5715,1.6221,0.0017,4.1191,3.2293,2.1676,28.8229,0.3292,-58.8511,38.2812,24.9116,0.0186
2026-04-20,68403725469.6,5.3060,0.0021,23.4989,11.7552,7.5715,1.6268,0.0021,4.1191,3.2293,2.1682,28.9070,0.3346,-58.8511,38.2812,24.9053,0.0186
2026-04-17,67806530340.0,5.2596,0.0000,23.4989,11.7477,7.5715,1.6126,0.0000,4.1191,3.2279,2.1708,28.6546,0.3227,-58.8511,38.2752,24.8950,0.0187
2026-04-16,68254426687.2,5.2944,0.0012,23.4989,11.7519,7.5715,1.6232,0.0012,4.1191,3.2283,2.1718,28.8439,0.3320,-58.8511,38.2812,24.8950,0.0186
2026-04-15,68179777296.0,5.2886,0.0008,23.4989,11.7552,7.5769,1.6215,0.0008,4.1191,3.2293,2.1719,28.8123,0.3292,-58.8511,38.2812,24.8950,0.0186
2026-04-14,68403725469.6,5.3060,0.0008,23.4989,11.7552,7.5800,1.6268,0.0008,4.1191,3.2293,2.1724,28.9070,0.3350,-58.8511,38.2812,24.8950,0.0186
2026-04-13,67930945992.0,5.2693,0.0000,23.4989,11.7552,7.5857,1.6156,0.0000,4.1191,3.2293,2.1725,28.7072,0.3255,-58.8511,38.2812,24.8860,0.0187
2026-04-10,68727206164.8,5.3311,0.0017,23.4989,11.7477,7.5886,1.6345,0.0017,4.1191,3.2279,2.1736,29.0437,0.3397,-58.8511,38.2752,24.8754,0.0185
2026-04-09,69075569990.4,5.3581,0.0033,23.4989,11.7519,7.5914,1.6428,0.0033,4.1191,3.2283,2.1737,29.1909,0.3444,-58.8511,38.2812,24.8754,0.0184
