date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,178846000000,0.0844,0.18,56631000000
2025-12-31,658310000000,0.0448,0.74,243021000000
2025-09-30,491204000000,0.0269,0.55,177660000000
2025-06-30,329003000000,0.0376,0.36,117591000000
2025-03-31,164929000000,0.0256,0.18,54364000000
2024-12-31,630090000000,0.0116,0.75,237841000000
2024-09-30,478348000000,0.0164,0.55,175763000000
2024-06-30,317076000000,-0.0067,0.36,118601000000
2024-03-31,160818000000,-0.0301,0.18,55989000000
2023-12-31,622889000000,0.0641,0.74,231904000000
2023-09-30,470626000000,0.0705,0.55,174858000000
2023-06-30,319207000000,0.0888,0.37,120095000000
2023-03-31,165813000000,0.1157,0.19,57663000000
2022-12-31,618009000000,0.0206,0.73,227439000000
2022-09-30,467818000000,0.0258,0.56,173081000000
2022-06-30,313254000000,0.0339,0.37,119924000000
2022-03-31,161118000000,0.0207,0.19,57751000000
2021-12-31,605559000000,0.0708,0.7,216559000000
2021-09-30,456074000000,0.0632,0.53,163523000000
2021-06-30,302988000000,0.0605,0.36,112813000000
2021-03-31,157855000000,0.0658,0.18,53989000000
2020-12-31,565531000000,0.0298,0.61,192870000000
2020-09-30,428956000000,0.0303,0.46,145711000000
2020-06-30,285710000000,0.0324,0.32,100917000000
2020-03-31,148106000000,0.0501,0.17,52583000000
2019-12-31,549182000000,0.0894,0.61,187405000000
2019-09-30,416333000000,0.1069,0.52,159579000000
2019-06-30,276733000000,0.1006,0.38,114048000000
2019-03-31,141034000000,0.1192,0.17,50965000000
2018-12-31,504107000000,0.0431,0.59,180086000000
2018-09-30,376141000000,0.0332,0.5,153274000000
2018-06-30,251447000000,0.0129,0.37,109088000000
2018-03-31,126015000000,-0.0254,0.16,49001000000
2017-12-31,483278000000,-0.0007,0.56,172407000000
2017-09-30,364072000000,-0.0135,0.47,145506000000
2017-06-30,248236000000,-0.0522,0.35,103690000000
2017-03-31,129295000000,0.0527,,46649000000
2016-12-31,483630000000,0.0196,0.54,164578000000
2016-09-30,369070000000,0.0345,0.44,134813000000
2016-06-30,261895000000,0.0932,0.31,93037000000
