date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-08,37462427738.94,0.3389,0.0566,2.1261,1.2647,0.4356,-0.4244,1.0000,15.2297,9.1317,7.7152,0.0000,0.1670,0.0017,1.0021,0.6583,0.2572
2026-06-05,38774805780.75,0.3508,0.0674,2.1261,1.2696,0.4357,-0.4393,0.9996,15.2272,9.1280,7.7152,0.0000,0.1728,0.0083,1.0021,0.6609,0.2572
2026-06-04,38297577401.91,0.3465,0.0645,2.1266,1.2745,0.4357,-0.4339,1.0000,15.2272,9.1242,7.7122,0.0000,0.1707,0.0062,1.0022,0.6634,0.2572
2026-06-03,39132727064.88,0.3540,0.0700,2.1266,1.2796,0.4359,-0.4434,1.0000,15.2272,9.1241,7.7122,0.0000,0.1744,0.0104,1.0022,0.6661,0.2572
2026-06-02,40445105106.69,0.3659,0.0813,2.1266,1.2848,0.4362,-0.4582,0.9988,15.2240,9.1240,7.7122,0.0000,0.1803,0.0213,1.0022,0.6688,0.2576
2026-06-01,41399561864.37,0.3745,0.0855,2.1266,1.2853,0.4364,-0.4691,0.9979,15.1578,9.1202,7.7122,0.0000,0.1845,0.0275,1.0022,0.6690,0.2580
2026-05-29,42354018622.05,0.3832,0.0967,2.1266,1.2858,0.4368,-0.4799,0.9975,15.1485,9.1165,7.7122,0.0000,0.1888,0.0350,1.0022,0.6693,0.2582
2026-05-28,39490648349.01,0.3573,0.0738,2.1270,1.2863,0.4368,-0.4474,1.0000,15.1485,9.1144,7.7085,0.0000,0.1760,0.0121,1.0022,0.6696,0.2582
2026-05-27,39729262538.43,0.3594,0.0764,2.1270,1.2868,0.4370,-0.4501,1.0000,15.1347,9.1123,7.7085,0.0000,0.1771,0.0154,1.0022,0.6698,0.2585
2026-05-26,40445105106.69,0.3659,0.0806,2.1270,1.2943,0.4372,-0.4582,1.0000,15.1347,9.1123,7.7085,0.0000,0.1803,0.0205,1.0022,0.6737,0.2587
2026-05-25,41638176053.79,0.3767,0.0877,2.1270,1.3017,0.4375,-0.4718,0.9992,15.1161,9.1123,7.7085,0.0000,0.1856,0.0292,1.0022,0.6776,0.2588
2026-05-22,41280254769.66,0.3735,0.0840,2.1270,1.3110,0.4383,-0.4677,1.0000,15.1150,9.1117,7.7085,0.0000,0.1840,0.0251,1.0022,0.6824,0.2589
2026-05-21,41399561864.37,0.3745,0.0840,2.1290,1.3203,0.4383,-0.4691,1.0000,15.1150,9.1112,7.7081,0.0000,0.1845,0.0259,1.0030,0.6873,0.2589
2026-05-20,42950554095.6,0.3886,0.1029,2.1290,1.3270,0.4387,-0.4866,1.0000,15.1026,9.1112,7.7081,0.0000,0.1914,0.0360,1.0030,0.6907,0.2590
2026-05-19,44262932137.41,0.4004,0.1372,2.1290,1.3337,0.4394,-0.5015,0.9996,15.1023,9.1112,7.7081,0.0000,0.1973,0.0498,1.0030,0.6942,0.2590
2026-05-18,43905010853.28,0.3972,0.1247,2.1290,1.3344,0.4401,-0.4974,1.0000,15.0976,9.1086,7.7081,0.0000,0.1957,0.0452,1.0030,0.6946,0.2595
2026-05-15,45098081800.38,0.4080,0.1491,2.1290,1.3352,0.4401,-0.5110,0.9987,15.0827,9.1061,7.7081,0.0000,0.2010,0.0607,1.0030,0.6950,0.2595
2026-05-14,46171845652.77,0.4177,0.1655,2.1295,1.3383,0.4401,-0.5231,0.9962,15.0827,9.1058,7.7062,0.0000,0.2058,0.0737,1.0030,0.6966,0.2595
2026-05-13,47603530789.29,0.4307,0.1886,2.1295,1.3414,0.4406,-0.5393,0.9916,15.0699,9.1054,7.7062,0.0000,0.2122,0.0893,1.0030,0.6982,0.2595
2026-05-12,48915908831.1,0.4425,0.2029,2.1295,1.3447,0.4406,-0.5542,0.9895,15.0421,9.1054,7.7062,0.0000,0.2180,0.0985,1.0030,0.7000,0.2598
2026-05-11,48796601736.39,0.4415,0.2009,2.1295,1.3481,0.4406,-0.5529,0.9899,15.0328,9.1053,7.7062,0.0000,0.2175,0.0969,1.0030,0.7017,0.2603
2026-05-08,47722837884.0,0.4317,0.1888,2.1295,1.3517,0.4406,-0.5407,0.9916,15.0148,9.1010,7.7062,0.0000,0.2127,0.0906,1.0030,0.7036,0.2607
2026-05-07,47484223694.58,0.4296,0.1877,2.1296,1.3553,0.4406,-0.5380,0.9920,15.0148,9.0966,7.7062,0.0000,0.2116,0.0882,1.0032,0.7055,0.2607
2026-05-06,47842144978.71,0.4328,0.1894,2.1296,1.3614,0.4408,-0.5420,0.9916,15.0004,9.0960,7.7062,0.0000,0.2132,0.0911,1.0032,0.7087,0.2608
2026-04-30,46649074031.61,0.4220,0.1723,2.1296,1.3676,0.4415,-0.5285,0.9945,14.9663,9.0953,7.7062,0.0000,0.2079,0.0798,1.0032,0.7119,0.2611
2026-04-29,46171845652.77,0.3950,0.1194,2.1296,1.3684,0.4423,-0.5214,0.9971,14.9634,9.0953,7.7062,0.0000,0.1978,0.0496,1.0032,0.7123,0.2611
2026-04-28,44740160516.25,0.3827,0.0938,2.1296,1.3692,0.4423,-0.5052,0.9992,14.9604,9.0953,7.7062,0.0000,0.1917,0.0362,1.0032,0.7127,0.2611
2026-04-27,44501546326.83,0.3807,0.0909,2.1306,1.3710,0.4423,-0.5025,1.0000,14.9604,9.0953,7.7062,0.0000,0.1906,0.0353,1.0033,0.7136,0.2611
2026-04-24,44740160516.25,0.3827,0.0934,2.1306,1.3728,0.4423,-0.5052,1.0000,14.9527,9.0953,7.7062,0.0000,0.1917,0.0358,1.0033,0.7146,0.2614
2026-04-23,45456003084.51,0.3888,0.1027,2.1306,1.3735,0.4428,-0.5133,0.9996,14.9403,9.0930,7.7062,0.0000,0.1947,0.0404,1.0033,0.7150,0.2620
2026-04-22,46291152747.48,0.3960,0.1196,2.1306,1.3743,0.4434,-0.5227,0.9987,14.9189,9.0907,7.7062,0.0000,0.1983,0.0505,1.0033,0.7154,0.2620
2026-04-21,46529766936.9,0.3980,0.1277,2.1306,1.3759,0.4434,-0.5254,0.9983,14.9131,9.0881,7.7062,0.0000,0.1993,0.0531,1.0033,0.7162,0.2620
2026-04-20,46887688221.03,0.4011,0.1353,2.1309,1.3774,0.4434,-0.5295,0.9975,14.9131,9.0856,7.7049,0.0000,0.2009,0.0573,1.0034,0.7170,0.2620
2026-04-17,47245609505.16,0.4041,0.1396,2.1309,1.3774,0.4439,-0.5335,0.9966,14.9011,9.0855,7.7049,0.0000,0.2024,0.0603,1.0034,0.7170,0.2622
2026-04-16,47245609505.16,0.4041,0.1397,2.1309,1.3774,0.4439,-0.5335,0.9970,14.8940,9.0854,7.7049,0.0000,0.2024,0.0603,1.0034,0.7170,0.2623
2026-04-15,47364916599.87,0.4052,0.1418,2.1309,1.3777,0.4439,-0.5349,0.9970,14.8679,9.0824,7.7049,0.0000,0.2029,0.0621,1.0034,0.7171,0.2624
2026-04-14,47961452073.42,0.4103,0.1491,2.1309,1.3779,0.4449,-0.5416,0.9970,14.8315,9.0794,7.7049,0.0000,0.2055,0.0688,1.0034,0.7173,0.2624
2026-04-13,46649074031.61,0.3990,0.1310,2.1313,1.3807,0.4449,-0.5268,0.9983,14.8315,9.0792,7.7004,0.0000,0.1998,0.0537,1.0036,0.7187,0.2624
2026-04-10,46410459842.19,0.3970,0.1230,2.1313,1.3836,0.4453,-0.5241,0.9987,14.8240,9.0789,7.7004,0.0000,0.1988,0.0511,1.0036,0.7202,0.2624
2026-04-09,46171845652.77,0.3950,0.1184,2.1313,1.3854,0.4453,-0.5214,0.9992,14.7887,9.0771,7.7004,0.0000,0.1978,0.0482,1.0036,0.7211,0.2624
2026-04-08,47126302410.45,0.4031,0.1379,2.1313,1.3872,0.4454,-0.5322,0.9987,14.7766,9.0752,7.7004,0.0000,0.2019,0.0575,1.0036,0.7221,0.2628
2026-04-07,45456003084.51,0.3888,0.1033,2.1313,1.3877,0.4459,-0.5133,1.0000,14.7644,9.0749,7.7004,0.0000,0.1947,0.0406,1.0036,0.7224,0.2628
2026-04-03,45575310179.22,0.3898,0.1058,2.1325,1.3882,0.4459,-0.5146,1.0000,14.7644,9.0746,7.6988,0.0000,0.1952,0.0419,1.0039,0.7226,0.2628
2026-04-02,46768381126.32,0.4001,0.1309,2.1325,1.3898,0.4462,-0.5281,1.0000,14.7181,9.0741,7.6988,0.0000,0.2004,0.0534,1.0039,0.7234,0.2629
2026-04-01,48200066262.84,0.4123,0.1508,2.1325,1.3913,0.4463,-0.5443,1.0000,14.7135,9.0735,7.6988,0.0000,0.2065,0.0678,1.0039,0.7242,0.2629
2026-03-31,47603530789.29,0.2709,0.0000,2.1325,1.3923,0.4463,-0.7994,1.0000,14.6926,9.0728,7.6988,0.0000,0.1672,0.0017,1.0039,0.7248,0.2629
2026-03-30,47842144978.71,0.2722,0.0000,2.1325,1.3934,0.4464,-0.8034,1.0000,14.6818,9.0721,7.6988,0.0000,0.1681,0.0025,1.0039,0.7253,0.2629
2026-03-27,48438680452.26,0.2756,0.0008,2.1328,1.3946,0.4464,-0.8134,0.9992,14.6818,9.0707,7.6957,0.0000,0.1702,0.0047,1.0040,0.7260,0.2629
2026-03-26,48200066262.84,0.2742,0.0004,2.1328,1.3959,0.4467,-0.8094,0.9996,14.6533,9.0693,7.6957,0.0000,0.1693,0.0038,1.0040,0.7266,0.2630
2026-03-25,49154523020.52,0.2797,0.0008,2.1328,1.3970,0.4472,-0.8254,0.9992,14.6403,9.0691,7.6957,0.0000,0.1727,0.0059,1.0040,0.7272,0.2632
2026-03-24,48796601736.39,0.2776,0.0004,2.1328,1.3980,0.4475,-0.8194,0.9996,14.6403,9.0689,7.6957,0.0000,0.1714,0.0051,1.0040,0.7277,0.2632
2026-03-23,47961452073.42,0.2729,0.0000,2.1328,1.3985,0.4477,-0.8054,1.0000,14.6284,9.0685,7.6957,0.0000,0.1685,0.0034,1.0040,0.7280,0.2634
2026-03-20,51779279104.14,0.2946,0.0000,2.1328,1.3990,0.4477,-0.8695,1.0000,14.6284,9.0681,7.6945,0.0000,0.1819,0.0208,1.0040,0.7282,0.2634
2026-03-19,53688192619.5,0.3055,0.0017,2.1328,1.4019,0.4486,-0.9016,1.0000,14.6163,9.0663,7.6945,0.0000,0.1886,0.0293,1.0040,0.7297,0.2638
2026-03-18,55239184850.73,0.3143,0.0068,2.1328,1.4047,0.4491,-0.9276,0.9991,14.5929,9.0645,7.6945,0.0000,0.1940,0.0357,1.0040,0.7312,0.2638
2026-03-17,56074334513.7,0.3190,0.0162,2.1328,1.4111,0.4492,-0.9416,0.9940,14.5885,9.0633,7.6945,0.0000,0.1970,0.0426,1.0040,0.7345,0.2638
