date,资产合计,所有者权益合计,流动资产合计,长期负债合计,资产负债率,速动比率,有息负债率,流动比率,负债合计,流动负债合计
2026-03-31,776965224132,237434780235,144880960,390649773151,0.6944,0.5612,0.6004,0.9625,539530443897,298919275
2025-12-31,749261994107,232225745100,181059982,363175954939,0.6901,0.4443,0.594,0.8158,517036249007,418561324
2025-09-30,720716955389,223821067414,157575004,345353164074,0.6894,0.5007,0.5893,0.881,496895887975,428952958
2025-06-30,720201640226,216250828312,107009695,339285390521,0.6997,0.5793,0.5938,0.9088,503950811915,471452038
2025-03-31,687698719033,216730104533,173981263,319663608103,0.6848,0.5483,0.5925,0.8837,470968614500,410374774
2024-12-31,659739168841,209367959844,199195031,304303896339,0.6827,0.4952,0.5819,0.8274,450371208997,433205943
2024-09-30,609292395885,187202919584,155668179,276560461736,0.6928,0.3976,0.5858,0.6997,422089476301,223222035
2024-06-30,599978043324,172700121245,211281162,279415456852,0.7122,0.5211,0.5937,0.8139,427277922079,284467079
2024-03-31,565701367672,168589120080,195416313,261187884069,0.702,0.471,0.5917,0.8081,397112247592,174234299
2023-12-31,539267250476,162798002691,252533652,244853364037,0.6981,0.3762,0.5864,0.6992,376469247785,245214023
2023-09-30,509686868829,155409227015,174669051,236141177078,0.6951,0.5481,0.5853,0.9314,354277641814,290784600
2023-06-30,493998251070,149725416428,208986847,226435400267,0.6969,0.5168,0.5749,0.8374,344272834642,133760248
2023-03-31,478661068229,153496886881,177580019,221925920053,0.6793,0.6532,0.5691,1.0458,325164181348,99530085
2022-12-31,464619975273,147869442018,181191814,208511267907,0.6817,0.5136,0.5576,0.8894,316750533255,94726619
2022-09-30,444294201914,148386496933,122244546,196149312553,0.666,0.6959,0.5508,1.2043,295907704981,69431971
2022-06-30,432276262269,142519108917,125287727,186911338313,0.6703,0.6404,0.545,1.0965,289757153352,37117277
2022-03-31,419961399471,138381905332,140467593,185359434998,0.6705,0.6428,0.5503,1.1014,281579494139,33163696
2021-12-31,409621386152,125278308347,143609501,176610972200,0.6942,0.4724,0.5687,0.8816,284343077804,65024038
2021-09-30,400019874781,122168604802,84260465,174420136491,0.6946,0.5349,0.5675,0.9745,277851269979,156325509
2021-06-30,396694106801,117435630019,92603392,171214522515,0.704,0.4892,0.5745,0.8718,279258476782,138570767
2021-03-31,389793532401,118889325925,91566397,175507880201,0.695,0.5412,0.5824,0.9914,270904206476,48973327
2020-12-31,381745973173,116489675570,69507941,175757273289,0.6949,0.5007,0.5808,0.951,265256297603,58904326
2020-09-30,359840621034,99738452243,0,179827606314,0.7228,0.4674,0.6101,1.0016,260102168791,183619160
2020-06-30,358343179773,90556603808,18700479,180741667331,0.7473,0.3938,0.6272,0.8559,267786575965,72164474
2020-03-31,353523923083,92284303228,45678000,182672733605,0.739,0.4644,0.6309,0.9355,261239619855,92506620
2019-12-31,347638932600,90282838403,0,181027061876,0.7403,0.3909,0.6344,0.864,257356094198,0
2019-09-30,343332621529,88093893842,0,186698259609,0.7434,0.5439,0.6192,1.1161,255238727687,0
2019-06-30,341350007609,85917507881,0,185720656787,0.7483,0.5613,0.6281,1.1038,255432499728,0
2019-03-31,331418013467,86234355752,0,185072068218,0.7398,0.4075,0.6266,0.9393,245183657715,0
2018-12-31,323481041461,83570598028,0,182670418454,0.7417,0.3417,0.6326,0.8686,239910443432,0
2018-09-30,319496534869,82063460160,0,180279765619,0.7431,0.4501,0.6319,0.9862,237433074708,0
2018-06-30,314093369213,78948395376,0,176850509944,0.7486,0.4364,0.6334,0.9392,235144973837,0
2018-03-31,310547394227,80308903709,0,172987286062,0.7414,0.4334,0.6333,0.9398,230238490518,0
2017-12-31,303192537555,77626670522,0,169815624993,0.744,0.3579,0.6388,0.8591,225565867033,0
2017-09-30,300073231095,75818190861,0,166443852825,0.7473,0.4148,0.6324,0.887,224255040234,0
2017-06-30,292388998251,72218290112,0,160887679175,0.753,0.3599,0.6393,0.7963,220170708139,0
2017-03-31,285029334946,74086810399,0,155337098311,0.7401,0.3282,0.6282,0.7841,210942524547,0
2016-12-31,282046621490,71725764896,0,152801687634,0.7457,0.3326,0.636,0.7539,210320856595,0
2016-09-30,276346029216,69819187127,0,155043725962,0.7473,0.4543,0.6373,0.9162,206526842089,0
2016-06-30,269255746799,67371126743,0,152390671082,0.7498,0.453,0.644,0.9297,201884620055,0
