日期,="A股全指.收盘点位",="格雷厄姆指数"
2026-04-14,=6181.4330,=0.0249
2026-04-10,=6090.0619,=0.0252
2026-04-03,=5791.4880,=0.0267
2026-03-27,=5922.2081,=0.0265
2026-03-20,=5965.8893,=0.0261
2026-03-13,=6220.6551,=0.0248
2026-03-06,=6252.3769,=0.0249
2026-02-28,,=0.0245
2026-02-27,=6398.4583,=0.0243
2026-02-14,,=0.0253
2026-02-13,=6227.5438,=0.0251
2026-02-06,=6161.6130,=0.0254
2026-01-30,=6259.1819,=0.0248
2026-01-23,=6356.8198,=0.0243
2026-01-16,=6246.9200,=0.0246
2026-01-09,=6217.6810,=0.0244
2026-01-04,,=0.0265
2025-12-31,=5919.1153,=0.0265
2025-12-26,=5938.2943,=0.0265
2025-12-19,=5777.5379,=0.0276
2025-12-12,=5787.8638,=0.0277
2025-12-05,=5776.8309,=0.0275
2025-11-28,=5732.7705,=0.0277
2025-11-21,=5575.4763,=0.0289
2025-11-14,=5872.1266,=0.0269
2025-11-07,=5903.5784,=0.0269
2025-10-31,=5866.6477,=0.0275
2025-10-24,=5842.5729,=0.0258
2025-10-17,=5652.4627,=0.0273
2025-10-11,,=0.0263
2025-10-10,=5855.6487,=0.0259
2025-09-30,=5875.4607,=0.0259
2025-09-28,,=0.0264
2025-09-26,=5760.8978,=0.0264
2025-09-19,=5749.1028,=0.0265
2025-09-12,=5759.2864,=0.0263
2025-09-05,=5642.5939,=0.0275
2025-08-29,=5723.9513,=0.0268
2025-08-22,=5620.4251,=0.0279
2025-08-15,=5412.0181,=0.0299
2025-08-08,=5258.7829,=0.0314
2025-08-01,=5161.0932,=0.0321
2025-07-25,=5220.9501,=0.0313
2025-07-18,=5110.4533,=0.0327
2025-07-11,=5045.7649,=0.0332
2025-07-04,=4969.2135,=0.0340
2025-06-27,=4913.6640,=0.0347
2025-06-20,=4754.8273,=0.0361
2025-06-13,=4813.1973,=0.0359
2025-06-06,=4834.8625,=0.0356
2025-05-30,=4764.6041,=0.0361
2025-05-23,=4771.6242,=0.0356
2025-05-16,=4805.3678,=0.0358
2025-05-09,=4773.3335,=0.0365
2025-04-30,=4666.7960,=0.0378
2025-04-27,,=0.0384
2025-04-25,=4667.5574,=0.0385
2025-04-18,=4616.8376,=0.0392
2025-04-11,=4603.0324,=0.0396
2025-04-03,=4809.7335,=0.0369
2025-03-28,=4868.7456,=0.0358
2025-03-21,=4931.8154,=0.0346
2025-03-14,=5037.2472,=0.0336
2025-03-07,=4964.7740,=0.0346
2025-02-28,=4847.4068,=0.0365
2025-02-21,=4973.1136,=0.0352
2025-02-14,=4875.0667,=0.0367
2025-02-08,,=0.0381
2025-02-07,=4796.0356,=0.0378
2025-01-27,=4632.6668,=0.0391
2025-01-26,,=0.0387
2025-01-24,=4674.2252,=0.0386
2025-01-17,=4636.0726,=0.0389
2025-01-10,=4475.6126,=0.0408
2025-01-03,=4523.1235,=0.0404
2024-12-27,=4864.1813,=0.0361
2024-12-20,=4891.5437,=0.0362
2024-12-13,=4947.3916,=0.0350
2024-12-06,=4956.5690,=0.0331
2024-11-29,=4845.8985,=0.0337
2024-11-22,=4746.3702,=0.0341
2024-11-15,=4847.6288,=0.0329
2024-11-08,=5049.4472,=0.0310
2024-11-01,=4723.3393,=0.0337
2024-10-25,=4767.4349,=0.0328
2024-10-18,=4647.2965,=0.0336
2024-10-12,,=0.0345
2024-10-11,=4514.1935,=0.0344
2024-09-30,=4706.7729,=0.0324
2024-09-29,,=0.0362
2024-09-27,=4293.1102,=0.0383
2024-09-20,=3727.8114,=0.0461
2024-09-14,,=0.0470
2024-09-13,=3681.4386,=0.0460
2024-09-06,=3758.1840,=0.0446
2024-08-30,=3854.7444,=0.0431
2024-08-23,=3806.9257,=0.0433
2024-08-16,=3886.6404,=0.0419
2024-08-09,=3888.7752,=0.0422
2024-08-02,=3956.1153,=0.0417
2024-07-26,=3927.6244,=0.0413
2024-07-19,=4042.7301,=0.0387
2024-07-12,=4036.8368,=0.0389
2024-07-05,=3989.4446,=0.0393
2024-06-28,=4039.9675,=0.0395
2024-06-21,=4119.1720,=0.0383
2024-06-14,=4188.7824,=0.0374
2024-06-07,=4192.8244,=0.0370
2024-05-31,=4288.1103,=0.0359
2024-05-24,=4302.1328,=0.0357
2024-05-17,=4424.8129,=0.0344
2024-05-11,,=0.0341
2024-05-10,=4425.0561,=0.0344
2024-04-30,=4353.8816,=0.0354
2024-04-28,,=0.0362
2024-04-26,=4305.3487,=0.0369
2024-04-19,=4226.2189,=0.0377
2024-04-12,=4235.3772,=0.0379
2024-04-07,,=0.0364
2024-04-03,=4353.7389,=0.0364
2024-03-29,=4310.6697,=0.0367
2024-03-22,=4370.8471,=0.0362
2024-03-15,=4372.0249,=0.0362
2024-03-08,=4285.6193,=0.0372
2024-03-01,=4286.5038,=0.0367
2024-02-23,=4187.6097,=0.0372
2024-02-09,,=0.0401
2024-02-08,=3985.3963,=0.0402
2024-02-02,=3765.6602,=0.0433
2024-01-26,=4142.7269,=0.0375
2024-01-19,=4117.7214,=0.0386
2024-01-12,=4230.0851,=0.0371
2024-01-05,=4292.7876,=0.0361
2023-12-31,,=0.0344
2023-12-29,=4421.9569,=0.0341
2023-12-22,=4310.3902,=0.0356
2023-12-15,=4390.0106,=0.0345
2023-12-08,=4433.6740,=0.0332
2023-12-01,=4531.1431,=0.0321
2023-11-24,=4558.1807,=0.0314
2023-11-17,=4602.6081,=0.0316
2023-11-10,=4567.8864,=0.0320
2023-11-03,=4523.6681,=0.0322
2023-10-27,=4490.0996,=0.0320
2023-10-20,=4402.6931,=0.0327
2023-10-13,=4600.1303,=0.0307
2023-10-08,,=0.0307
2023-09-28,=4621.4108,=0.0305
2023-09-22,=4639.8568,=0.0302
2023-09-15,=4625.1348,=0.0308
2023-09-08,=4654.7461,=0.0306
2023-09-01,=4690.2923,=0.0308
2023-08-25,=4550.0167,=0.0337
2023-08-18,=4683.6868,=0.0325
2023-08-11,=4798.5827,=0.0309
2023-08-04,=4967.3118,=0.0290
2023-07-28,=4924.5186,=0.0293
2023-07-21,=4791.5230,=0.0312
2023-07-14,=4889.7442,=0.0296
2023-07-07,=4831.1695,=0.0303
2023-06-30,=4859.8924,=0.0302
2023-06-25,,=0.0301
2023-06-21,=4853.0233,=0.0300
2023-06-16,=4965.4835,=0.0287
2023-06-09,=4827.0025,=0.0297
2023-06-02,=4877.5536,=0.0293
2023-05-26,=4841.9347,=0.0295
2023-05-19,=4916.9769,=0.0285
2023-05-12,=4888.8439,=0.0289
2023-05-06,,=0.0277
2023-05-05,=4976.5826,=0.0272
2023-04-28,=4998.8052,=0.0276
2023-04-23,,=0.0270
2023-04-21,=5003.5475,=0.0269
2023-04-14,=5131.8160,=0.0264
2023-04-07,=5162.8095,=0.0262
2023-03-31,=5074.0300,=0.0273
2023-03-24,=5060.3400,=0.0271
2023-03-17,=4967.6800,=0.0278
2023-03-10,=4993.5100,=0.0280
2023-03-03,=5161.7900,=0.0259
2023-02-24,=5105.6000,=0.0268
2023-02-17,=5054.7700,=0.0276
2023-02-10,=5139.4300,=0.0267
2023-02-03,=5143.6800,=0.0267
2023-01-29,,=0.0269
2023-01-20,=5096.7800,=0.0267
2023-01-13,=4959.1400,=0.0284
2023-01-06,=4895.2400,=0.0299
2022-12-31,,=0.0315
2022-12-30,=4756.6200,=0.0316
2022-12-23,=4689.8200,=0.0324
2022-12-16,=4897.9500,=0.0294
2022-12-09,=4973.3500,=0.0290
2022-12-02,=4893.8200,=0.0302
2022-11-25,=4777.8800,=0.0318
2022-11-18,=4842.8100,=0.0316
2022-11-11,=4817.2400,=0.0327
2022-11-04,=4808.2300,=0.0332
2022-10-28,=4503.1400,=0.0378
2022-10-21,=4706.9100,=0.0341
2022-10-14,=4762.0200,=0.0336
2022-10-09,,=0.0345
2022-09-30,=4631.6800,=0.0344
2022-09-23,=4750.7100,=0.0338
2022-09-16,=4836.3700,=0.0331
2022-09-09,=5087.4700,=0.0308
2022-09-02,=4994.8100,=0.0321
2022-08-26,=5109.4400,=0.0313
2022-08-19,=5209.7200,=0.0306
2022-08-12,=5228.8900,=0.0288
2022-08-05,=5142.2700,=0.0296
2022-07-29,=5174.9800,=0.0287
2022-07-22,=5194.8900,=0.0282
2022-07-15,=5133.3200,=0.0289
2022-07-08,=5308.5200,=0.0265
2022-07-01,=5336.1400,=0.0263
2022-06-24,=5269.8100,=0.0271
2022-06-17,=5165.7900,=0.0282
2022-06-10,=5079.6900,=0.0294
2022-06-02,=4931.2100,=0.0307
2022-05-27,=4795.2900,=0.0328
2022-05-20,=4857.2600,=0.0313
2022-05-13,=4739.1900,=0.0324
2022-05-07,,=0.0341
2022-05-06,=4580.5500,=0.0340
2022-04-29,=4647.0200,=0.0339
2022-04-24,,=0.0332
2022-04-22,=4718.9100,=0.0339
2022-04-15,=4957.7200,=0.0314
2022-04-08,=5078,=0.0301
2022-04-02,,=0.0291
2022-04-01,=5170.9800,=0.0288
2022-03-25,=5103.0700,=0.0294
2022-03-18,=5179.1400,=0.0288
2022-03-11,=5248.1100,=0.0281
2022-03-04,=5464.8700,=0.0256
2022-02-25,=5536.7500,=0.0256
2022-02-18,=5564.3800,=0.0249
2022-02-11,=5471.5700,=0.0258
2022-01-30,,=0.0277
