date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,77061220745,0.0574,0.1,2224542173
2025-12-31,317507793967,-0.0143,0.48,10345621735
2025-09-30,232436485309,-0.0429,0.37,7959428807
2025-06-30,151372399259,-0.0728,0.23,4878899277
2025-03-31,72879660121,-0.0982,0.11,2434085746
2024-12-31,322115845920,-0.065,0.34,7361925589
2024-09-30,242855678090,-0.0477,0.27,5882122271
2024-06-30,163251093258,-0.0389,0.21,4544556734
2024-03-31,80813621073,0.0281,0.09,1926223623
2023-12-31,344500428315,-0.0633,0.54,11944052177
2023-09-30,255016527318,-0.0835,0.38,8350419351
2023-06-30,169854518475,-0.0751,0.2,4552374800
2023-03-31,78602344011,-0.0858,0.08,1844953987
2022-12-31,367778242420,0.0094,0.55,12186850692
2022-09-30,278252078746,0.0155,0.42,9463762952
2022-06-30,183654831132,0.0018,0.35,7791350648
2022-03-31,85979793686,0.0378,0.17,3732067296
2021-12-31,364349298085,0.2942,1.07,23631996673
2021-09-30,278222204207,0.389,0.98,21590195387
2021-06-30,185252045835,0.4275,0.68,15078509008
2021-03-31,83607138720,0.394,0.24,5359008715
2020-12-31,283674412509,-0.0272,0.57,12676775744
2020-09-30,200022646721,-0.0777,0.35,7858964873
2020-06-30,129771799875,-0.0788,0.18,4002367918
2020-03-31,59972773526,-0.0827,0.07,1536453182
2019-12-31,291593978708,-0.0442,0.56,12423230252
2019-09-30,216875605685,-0.0375,0.4,8874379887
2019-06-30,140875946688,-0.0516,0.28,6187024076
2019-03-31,65378240105,-0.0308,0.12,2725832314
2018-12-31,304779462646,0.0543,0.97,21565163755
2018-09-30,225320170270,0.0104,0.71,15747434222
2018-06-30,148534090141,0.0217,0.45,10009204831
2018-03-31,67453719152,-0.068,0.23,5020535555
2017-12-31,289092900259,0.1744,0.86,19170337570
2017-09-30,251837469527,0.4312,0.53,11668343331
2017-06-30,169932508668,0.594,0.28,6169575197
2017-03-31,85010052388,0.7679,0.17,3786154766
2016-12-31,185458649583,0.1323,0.55,8965514091
2016-09-30,133435326942,0.092,0.34,5597518068
