date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,4417351113,0.0143,3.0154,15249016227
2025-12-31,33597182968,0.2113,2.944,15157580899
2025-09-30,30843010585,0.9723,4.056,23381952261
2025-06-30,16646963905,1.9014,4.3834,19196396101
2025-03-31,4355039917,2.4466,3.88,16664121689
2024-12-31,27735926936,0.0962,3.2373,8683454779
2024-09-30,15638349281,0.1798,2.5259,8287342722
2024-06-30,5737552395,-0.0802,1.8034,5513092711
2024-03-31,-3010465278,0.4345,1.9944,6801382049
2023-12-31,25302147694,-0.4342,1.8414,5026767742
2023-09-30,13255435081,-0.4445,2.6839,13433019827
2023-06-30,6237979171,-0.5713,3.5596,13795692950
2023-03-31,-5323251858,-1.5982,2.574,9686948969
2022-12-31,44718962772,-0.2531,3.1876,23280992138
2022-09-30,23860719355,-0.1913,4.0632,32413004645
2022-06-30,14549744527,-0.4842,2.4703,25697755338
2022-03-31,8898761719,-0.365,2.2098,33196371048
2021-12-31,59868871185,1.1266,2.263,38381326037
2021-09-30,29505453610,0.727,1.3807,18634626586
2021-06-30,28171289400,1.5793,1.7265,23706244023
2021-03-31,14029871061,1.7975,2.1061,18869238455
2020-12-31,28084191907,-0.1509,2.0081,9672810786
2020-09-30,17068511231,-0.3138,2.1439,9258445916
2020-06-30,10922117695,-0.2126,2.751,13900122951
2020-03-31,3643433557,1.6887,2.5872,14280313370
2019-12-31,29504141764,-0.3525,2.1905,12606296991
2019-09-30,19594525452,-0.4668,1.8103,13534061334
2019-06-30,9437326363,-0.5153,1.865,21457610161
2019-03-31,1355079433,-0.6226,2.0961,30179468338
2018-12-31,45606049124,0.3788,1.9592,32926885162
2018-09-30,36751977541,1.7994,2.2621,43899305136
2018-06-30,19469401845,1.9763,1.8728,33382424634
2018-03-31,3590950191,0.8415,1.5947,21868284286
2017-12-31,33077273594,0.4764,1.6212,20168706872
2017-09-30,13128382768,0.0193,1.2629,6313275356
2017-06-30,6541390569,-0.4253,1.1878,3132780448
2017-03-31,1950000823,-0.7462,0.9229,-533296323
2016-12-31,16372540327,-0.2269,1.7786,4881905824
2016-09-30,9421544141,-0.3882,3.6024,3107418169
