date,metric,value
2026-03-31,经营活动产生的现金流量净额对净利润的比率,3.0154
2026-03-31,流动资产合计,2377306854
2026-03-31,经营活动产生的现金流量净额,4417351113
2026-03-31,净资产收益率(ROE),0.0495
2026-03-31,总资产收益率(ROA),0.0304
2026-03-31,自由现金流量,15249016227
2026-03-31,有息负债率,0.1122
2026-03-31,资产合计,366162658920
2026-03-31,长期负债合计,4324401334
2026-03-31,流动比率,0.9666
2026-03-31,应收账款,14465776463
2026-03-31,负债合计,138519424298
2026-03-31,净利润率,0.0347
2026-03-31,基本每股收益,0.1
2026-03-31,资产负债率,0.3783
2026-03-31,营业收入,77061220745
2026-03-31,货币资金,139623163241.09
2026-03-31,归属于母公司普通股股东的净利润,2224542173
2026-03-31,流动负债合计,27628182455
2026-03-31,速动比率,0.5873
2026-03-31,所有者权益合计,227643234622
2026-03-31,毛利率(GM),0.071
2026-03-31,资本回报率(ROIC),0.0451
