date,毛利率(GM),资本回报率(ROIC),净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.071,0.0451,0.0495,0.0347,0.0304
2025-12-31,0.0724,0.047,0.0512,0.0359,0.0314
2025-09-30,0.069,0.0445,0.0479,0.034,0.0285
2025-06-30,0.0601,0.0378,0.0399,0.0284,0.0239
2025-03-31,0.0595,0.0382,0.0406,0.0288,0.0243
2024-12-31,0.0545,0.0372,0.0389,0.0266,0.0231
2024-09-30,0.0555,0.0464,0.0502,0.033,0.0294
2024-06-30,0.0653,0.0567,0.0632,0.0407,0.0369
2024-03-31,0.0616,0.0544,0.0629,0.0399,0.036
2023-12-31,0.062,0.0537,0.063,0.0398,0.0355
2023-09-30,0.0361,0.0503,0.0586,0.0368,0.0327
2023-06-30,0.0332,0.0416,0.0475,0.0288,0.0261
2023-03-31,0.0483,0.0467,0.0547,0.0328,0.03
2022-12-31,0.0584,0.0541,0.0658,0.038,0.036
2022-09-30,0.082,0.0529,0.0627,0.0365,0.0333
2022-06-30,0.1024,0.073,0.0887,0.0514,0.0475
2022-03-31,0.1211,0.0968,0.1175,0.0674,0.0645
2021-12-31,0.1326,0.1055,0.1289,0.0724,0.0718
2021-09-30,0.1445,0.1195,0.1453,0.0809,0.0774
2021-06-30,0.1406,0.1096,0.1319,0.0772,0.0716
2021-03-31,0.1191,0.0797,0.0916,0.0593,0.0509
2020-12-31,0.1083,0.065,0.0715,0.0492,0.0402
2020-09-30,0.1096,0.0603,0.0658,0.0457,0.0359
2020-06-30,0.1024,0.0558,0.0601,0.0401,0.0325
2020-03-31,0.1095,0.0597,0.064,0.0429,0.0358
2019-12-31,0.1088,0.0654,0.0708,0.0461,0.0399
2019-09-30,0.1144,0.0806,0.0847,0.0529,0.0453
2019-06-30,0.1313,,0.1059,0.0641,0.0552
2019-03-31,0.1365,,0.1114,0.0683,0.0596
2018-12-31,0.1499,0.0987,0.128,0.0763,0.0679
2018-09-30,0.1838,,0.1432,0.0953,0.072
2018-06-30,0.171,,0.1451,0.0916,0.0694
2018-03-31,0.1533,,0.1264,0.0801,0.0602
2017-12-31,0.1407,,0.1334,0.0705,0.066
2017-09-30,0.1143,,0.1079,0.0523,0.0518
2017-06-30,0.1075,,0.0856,0.0444,0.0396
2017-03-31,0.1245,,0.0821,0.0503,0.0375
2016-12-31,0.1273,,0.0726,0.0496,0.0367
2016-09-30,0.1068,,0.0336,0.0241,0.0168
