代码,名称,股价,PE,PB,PS,股息率(%),ROE(%),ROA(%)
601398,工商银行,5.28,5.2,0.68,1.2,4.2,13.2,1.1
601988,中国银行,3.45,4.8,0.55,0.95,5.2,12.5,0.9
601939,建设银行,6.85,5.5,0.72,1.25,4.8,13.8,1.15
601288,农业银行,3.92,5.1,0.62,1.05,5.5,13.5,1.05
601328,交通银行,6.28,6.2,0.72,1.1,4.5,11.8,0.85
601088,中国神华,32.80,6.5,0.85,1.1,5.8,13.5,5.2
601857,中国石油,6.48,5.2,0.58,0.8,6.5,10.2,2.1
600028,中国石化,5.45,4.8,0.52,0.75,7.2,9.8,1.8
601899,紫金矿业,12.85,15.2,2.85,2.1,1.8,18.5,8.2
600019,宝钢股份,6.75,8.5,0.65,0.45,5.2,7.2,3.5
601600,中国铝业,5.20,12.8,0.88,0.65,2.5,6.8,2.8
600036,招商银行,35.80,6.8,1.05,2.5,4.8,16.2,1.35
601318,中国平安,42.50,6.5,0.85,1.8,4.5,13.5,1.5
601628,中国人寿,35.20,12.5,1.25,2.2,3.2,10.2,1.8
000858,五粮液,425.30,35.8,8.2,4.5,1.5,22.8,12.1
600519,贵州茅台,1520.00,45.2,15.8,8.5,2.8,35.2,18.5
000651,格力电器,28.35,12.5,1.8,0.85,3.2,18.5,9.2
000333,美的集团,58.20,14.2,2.5,1.1,2.8,20.5,10.5
600900,长江电力,22.80,18.5,2.85,6.5,4.2,15.8,6.2
600048,保利发展,15.80,8.5,0.95,0.45,2.8,11.2,3.5
