date,stockCode,融资买入金额
2025-04-16T00:00:00+08:00,002475,435078198
2025-04-17T00:00:00+08:00,002475,240549096
2025-04-18T00:00:00+08:00,002475,346050170
2025-04-21T00:00:00+08:00,002475,400693442
2025-04-22T00:00:00+08:00,002475,263222436
2025-04-23T00:00:00+08:00,002475,424573914
2025-04-24T00:00:00+08:00,002475,256443180
2025-04-25T00:00:00+08:00,002475,314933438
2025-04-28T00:00:00+08:00,002475,293666461
2025-04-29T00:00:00+08:00,002475,201912999
2025-04-30T00:00:00+08:00,002475,268020575
2025-05-06T00:00:00+08:00,002475,553741718
2025-05-07T00:00:00+08:00,002475,545488519
2025-05-08T00:00:00+08:00,002475,648551055
2025-05-09T00:00:00+08:00,002475,392555684
2025-05-12T00:00:00+08:00,002475,1031874613
2025-05-13T00:00:00+08:00,002475,1028129637
2025-05-14T00:00:00+08:00,002475,588745097
2025-05-15T00:00:00+08:00,002475,357006113
2025-05-16T00:00:00+08:00,002475,308206441
2025-05-19T00:00:00+08:00,002475,323722444
2025-05-20T00:00:00+08:00,002475,312869125
2025-05-21T00:00:00+08:00,002475,289690824
2025-05-22T00:00:00+08:00,002475,171101789
2025-05-23T00:00:00+08:00,002475,305870584
2025-05-26T00:00:00+08:00,002475,183995295
2025-05-27T00:00:00+08:00,002475,291812650
2025-05-28T00:00:00+08:00,002475,153383585
2025-05-29T00:00:00+08:00,002475,391604018
2025-05-30T00:00:00+08:00,002475,324142912
2025-06-03T00:00:00+08:00,002475,138177639
2025-06-04T00:00:00+08:00,002475,245348049
2025-06-05T00:00:00+08:00,002475,457006682
2025-06-06T00:00:00+08:00,002475,192295003
2025-06-09T00:00:00+08:00,002475,297787318
2025-06-10T00:00:00+08:00,002475,420156470
2025-06-11T00:00:00+08:00,002475,361111189
2025-06-12T00:00:00+08:00,002475,186904281
2025-06-13T00:00:00+08:00,002475,158875671
2025-06-16T00:00:00+08:00,002475,182689634
2025-06-17T00:00:00+08:00,002475,279189361
2025-06-18T00:00:00+08:00,002475,251140641
2025-06-19T00:00:00+08:00,002475,224589087
2025-06-20T00:00:00+08:00,002475,237621948
2025-06-23T00:00:00+08:00,002475,257356234
2025-06-24T00:00:00+08:00,002475,400093107
2025-06-25T00:00:00+08:00,002475,347566100
2025-06-26T00:00:00+08:00,002475,257705206
2025-06-27T00:00:00+08:00,002475,390306527
2025-06-30T00:00:00+08:00,002475,299315499
2025-07-01T00:00:00+08:00,002475,245496961
2025-07-02T00:00:00+08:00,002475,235652173
2025-07-03T00:00:00+08:00,002475,762247203
2025-07-04T00:00:00+08:00,002475,245365242
2025-07-07T00:00:00+08:00,002475,231697382
2025-07-08T00:00:00+08:00,002475,307368165
2025-07-09T00:00:00+08:00,002475,201801863
2025-07-10T00:00:00+08:00,002475,380844331
2025-07-11T00:00:00+08:00,002475,213717171
2025-07-14T00:00:00+08:00,002475,142943214
2025-07-15T00:00:00+08:00,002475,290467596
2025-07-16T00:00:00+08:00,002475,217868740
2025-07-17T00:00:00+08:00,002475,377966173
2025-07-18T00:00:00+08:00,002475,276693769
2025-07-21T00:00:00+08:00,002475,392626310
2025-07-22T00:00:00+08:00,002475,335906610
2025-07-23T00:00:00+08:00,002475,197965854
2025-07-24T00:00:00+08:00,002475,439779560
2025-07-25T00:00:00+08:00,002475,260510495
2025-07-28T00:00:00+08:00,002475,270343142
2025-07-29T00:00:00+08:00,002475,273154125
2025-07-30T00:00:00+08:00,002475,348100010
2025-07-31T00:00:00+08:00,002475,368753094
2025-08-01T00:00:00+08:00,002475,190269746
2025-08-04T00:00:00+08:00,002475,214887518
2025-08-05T00:00:00+08:00,002475,183948960
2025-08-06T00:00:00+08:00,002475,248235967
2025-08-07T00:00:00+08:00,002475,406538887
2025-08-08T00:00:00+08:00,002475,227507097
2025-08-11T00:00:00+08:00,002475,309675898
2025-08-12T00:00:00+08:00,002475,228890433
2025-08-13T00:00:00+08:00,002475,353562301
2025-08-14T00:00:00+08:00,002475,401433266
2025-08-15T00:00:00+08:00,002475,371429236
2025-08-18T00:00:00+08:00,002475,595243023
2025-08-19T00:00:00+08:00,002475,381039853
2025-08-20T00:00:00+08:00,002475,413762139
2025-08-21T00:00:00+08:00,002475,864902650
2025-08-22T00:00:00+08:00,002475,852266308
2025-08-25T00:00:00+08:00,002475,724872275
2025-08-26T00:00:00+08:00,002475,857879947
2025-08-27T00:00:00+08:00,002475,717345498
2025-08-28T00:00:00+08:00,002475,700816521
2025-08-29T00:00:00+08:00,002475,866096029
2025-09-01T00:00:00+08:00,002475,730984186
2025-09-02T00:00:00+08:00,002475,426256058
2025-09-03T00:00:00+08:00,002475,403022301
2025-09-04T00:00:00+08:00,002475,970969005
2025-09-05T00:00:00+08:00,002475,1074111259
2025-09-08T00:00:00+08:00,002475,1561074597
2025-09-09T00:00:00+08:00,002475,743830100
2025-09-10T00:00:00+08:00,002475,962160983
2025-09-11T00:00:00+08:00,002475,2239228575
2025-09-12T00:00:00+08:00,002475,3040560044
2025-09-15T00:00:00+08:00,002475,1541502909
2025-09-16T00:00:00+08:00,002475,1292045329
2025-09-17T00:00:00+08:00,002475,1183446751
2025-09-18T00:00:00+08:00,002475,2078554408
2025-09-19T00:00:00+08:00,002475,2609378587
2025-09-22T00:00:00+08:00,002475,636414306
2025-09-23T00:00:00+08:00,002475,4657202633
2025-09-24T00:00:00+08:00,002475,4548434076
2025-09-25T00:00:00+08:00,002475,3358728531
2025-09-26T00:00:00+08:00,002475,2073526289
2025-09-29T00:00:00+08:00,002475,1982221733
2025-09-30T00:00:00+08:00,002475,1903038732
2025-10-09T00:00:00+08:00,002475,2565378603
2025-10-10T00:00:00+08:00,002475,1677376524
2025-10-13T00:00:00+08:00,002475,1043710796
2025-10-14T00:00:00+08:00,002475,1183988041
2025-10-15T00:00:00+08:00,002475,1387182934
2025-10-16T00:00:00+08:00,002475,2123980733
2025-10-17T00:00:00+08:00,002475,967779537
2025-10-20T00:00:00+08:00,002475,914629565
2025-10-21T00:00:00+08:00,002475,2443646272
2025-10-22T00:00:00+08:00,002475,836764185
2025-10-23T00:00:00+08:00,002475,764584714
2025-10-24T00:00:00+08:00,002475,2085515943
2025-10-27T00:00:00+08:00,002475,1520821456
2025-10-28T00:00:00+08:00,002475,903499529
2025-10-29T00:00:00+08:00,002475,1474214441
2025-10-30T00:00:00+08:00,002475,1263884104
2025-10-31T00:00:00+08:00,002475,1156742199
2025-11-03T00:00:00+08:00,002475,699485543
2025-11-04T00:00:00+08:00,002475,609856909
2025-11-05T00:00:00+08:00,002475,529993458
2025-11-06T00:00:00+08:00,002475,896153832
2025-11-07T00:00:00+08:00,002475,620840021
2025-11-10T00:00:00+08:00,002475,831729944
2025-11-11T00:00:00+08:00,002475,557717963
2025-11-12T00:00:00+08:00,002475,660219659
