date,stockCode,融资偿还金额
2025-04-16T00:00:00+08:00,002475,360377193
2025-04-17T00:00:00+08:00,002475,260603347
2025-04-18T00:00:00+08:00,002475,302456339
2025-04-21T00:00:00+08:00,002475,455361120
2025-04-22T00:00:00+08:00,002475,269255472
2025-04-23T00:00:00+08:00,002475,574109033
2025-04-24T00:00:00+08:00,002475,218709405
2025-04-25T00:00:00+08:00,002475,458086770
2025-04-28T00:00:00+08:00,002475,209120990
2025-04-29T00:00:00+08:00,002475,144759723
2025-04-30T00:00:00+08:00,002475,295069468
2025-05-06T00:00:00+08:00,002475,326120789
2025-05-07T00:00:00+08:00,002475,436067116
2025-05-08T00:00:00+08:00,002475,609790407
2025-05-09T00:00:00+08:00,002475,465293127
2025-05-12T00:00:00+08:00,002475,906862524
2025-05-13T00:00:00+08:00,002475,806696802
2025-05-14T00:00:00+08:00,002475,608125463
2025-05-15T00:00:00+08:00,002475,353758976
2025-05-16T00:00:00+08:00,002475,291928140
2025-05-19T00:00:00+08:00,002475,277367112
2025-05-20T00:00:00+08:00,002475,361372596
2025-05-21T00:00:00+08:00,002475,248960031
2025-05-22T00:00:00+08:00,002475,239273733
2025-05-23T00:00:00+08:00,002475,278178882
2025-05-26T00:00:00+08:00,002475,309610734
2025-05-27T00:00:00+08:00,002475,209281995
2025-05-28T00:00:00+08:00,002475,173675920
2025-05-29T00:00:00+08:00,002475,379590022
2025-05-30T00:00:00+08:00,002475,248540123
2025-06-03T00:00:00+08:00,002475,144306632
2025-06-04T00:00:00+08:00,002475,257889141
2025-06-05T00:00:00+08:00,002475,424448389
2025-06-06T00:00:00+08:00,002475,286478737
2025-06-09T00:00:00+08:00,002475,291380494
2025-06-10T00:00:00+08:00,002475,414633211
2025-06-11T00:00:00+08:00,002475,312423203
2025-06-12T00:00:00+08:00,002475,220071073
2025-06-13T00:00:00+08:00,002475,294647020
2025-06-16T00:00:00+08:00,002475,239361809
2025-06-17T00:00:00+08:00,002475,428184363
2025-06-18T00:00:00+08:00,002475,369401918
2025-06-19T00:00:00+08:00,002475,309255570
2025-06-20T00:00:00+08:00,002475,259801480
2025-06-23T00:00:00+08:00,002475,228508099
2025-06-24T00:00:00+08:00,002475,416029930
2025-06-25T00:00:00+08:00,002475,420857400
2025-06-26T00:00:00+08:00,002475,242816379
2025-06-27T00:00:00+08:00,002475,608931273
2025-06-30T00:00:00+08:00,002475,390472341
2025-07-01T00:00:00+08:00,002475,227325695
2025-07-02T00:00:00+08:00,002475,198194503
2025-07-03T00:00:00+08:00,002475,622422274
2025-07-04T00:00:00+08:00,002475,439106126
2025-07-07T00:00:00+08:00,002475,220214189
2025-07-08T00:00:00+08:00,002475,289686284
2025-07-09T00:00:00+08:00,002475,265104436
2025-07-10T00:00:00+08:00,002475,228769516
2025-07-11T00:00:00+08:00,002475,222521177
2025-07-14T00:00:00+08:00,002475,164417507
2025-07-15T00:00:00+08:00,002475,457975243
2025-07-16T00:00:00+08:00,002475,326294093
2025-07-17T00:00:00+08:00,002475,434477185
2025-07-18T00:00:00+08:00,002475,355292462
2025-07-21T00:00:00+08:00,002475,221058974
2025-07-22T00:00:00+08:00,002475,250260413
2025-07-23T00:00:00+08:00,002475,355282856
2025-07-24T00:00:00+08:00,002475,316142792
2025-07-25T00:00:00+08:00,002475,268129856
2025-07-28T00:00:00+08:00,002475,273207424
2025-07-29T00:00:00+08:00,002475,316499747
2025-07-30T00:00:00+08:00,002475,267445992
2025-07-31T00:00:00+08:00,002475,369601333
2025-08-01T00:00:00+08:00,002475,234365873
2025-08-04T00:00:00+08:00,002475,195558671
2025-08-05T00:00:00+08:00,002475,194052131
2025-08-06T00:00:00+08:00,002475,191279679
2025-08-07T00:00:00+08:00,002475,615453372
2025-08-08T00:00:00+08:00,002475,210976595
2025-08-11T00:00:00+08:00,002475,458733466
2025-08-12T00:00:00+08:00,002475,237333224
2025-08-13T00:00:00+08:00,002475,393408152
2025-08-14T00:00:00+08:00,002475,308872880
2025-08-15T00:00:00+08:00,002475,449509671
2025-08-18T00:00:00+08:00,002475,465447492
2025-08-19T00:00:00+08:00,002475,321931273
2025-08-20T00:00:00+08:00,002475,431601057
2025-08-21T00:00:00+08:00,002475,697422122
2025-08-22T00:00:00+08:00,002475,591930585
2025-08-25T00:00:00+08:00,002475,753126889
2025-08-26T00:00:00+08:00,002475,885380444
2025-08-27T00:00:00+08:00,002475,791803506
2025-08-28T00:00:00+08:00,002475,628444331
2025-08-29T00:00:00+08:00,002475,546994943
