date,stockCode,融资净买入金额
2025-04-16T00:00:00+08:00,002475,74701005
2025-04-17T00:00:00+08:00,002475,-20054251
2025-04-18T00:00:00+08:00,002475,43593831
2025-04-21T00:00:00+08:00,002475,-54667678
2025-04-22T00:00:00+08:00,002475,-6033036
2025-04-23T00:00:00+08:00,002475,-149535119
2025-04-24T00:00:00+08:00,002475,37733775
2025-04-25T00:00:00+08:00,002475,-143153332
2025-04-28T00:00:00+08:00,002475,84545471
2025-04-29T00:00:00+08:00,002475,57153276
2025-04-30T00:00:00+08:00,002475,-27048893
2025-05-06T00:00:00+08:00,002475,227620929
2025-05-07T00:00:00+08:00,002475,109421403
2025-05-08T00:00:00+08:00,002475,38760648
2025-05-09T00:00:00+08:00,002475,-72737443
2025-05-12T00:00:00+08:00,002475,125012089
2025-05-13T00:00:00+08:00,002475,221432835
2025-05-14T00:00:00+08:00,002475,-19380366
2025-05-15T00:00:00+08:00,002475,3247137
2025-05-16T00:00:00+08:00,002475,16278301
2025-05-19T00:00:00+08:00,002475,46355332
2025-05-20T00:00:00+08:00,002475,-48503471
2025-05-21T00:00:00+08:00,002475,40730793
2025-05-22T00:00:00+08:00,002475,-68171944
2025-05-23T00:00:00+08:00,002475,27691702
2025-05-26T00:00:00+08:00,002475,-125615439
2025-05-27T00:00:00+08:00,002475,82530655
2025-05-28T00:00:00+08:00,002475,-20292335
2025-05-29T00:00:00+08:00,002475,12013996
2025-05-30T00:00:00+08:00,002475,75602789
2025-06-03T00:00:00+08:00,002475,-6128993
2025-06-04T00:00:00+08:00,002475,-12541092
2025-06-05T00:00:00+08:00,002475,32558293
2025-06-06T00:00:00+08:00,002475,-94183734
2025-06-09T00:00:00+08:00,002475,6406824
2025-06-10T00:00:00+08:00,002475,5523259
2025-06-11T00:00:00+08:00,002475,48687986
2025-06-12T00:00:00+08:00,002475,-33166792
2025-06-13T00:00:00+08:00,002475,-135771349
2025-06-16T00:00:00+08:00,002475,-56672175
2025-06-17T00:00:00+08:00,002475,-148995002
2025-06-18T00:00:00+08:00,002475,-118261277
2025-06-19T00:00:00+08:00,002475,-84666483
2025-06-20T00:00:00+08:00,002475,-22179532
2025-06-23T00:00:00+08:00,002475,28848135
2025-06-24T00:00:00+08:00,002475,-15936823
2025-06-25T00:00:00+08:00,002475,-73291300
2025-06-26T00:00:00+08:00,002475,14888827
