date,stockCode,融券余额
2025-04-16T00:00:00+08:00,002475,19265694
2025-04-17T00:00:00+08:00,002475,18311983
2025-04-18T00:00:00+08:00,002475,14005758
2025-04-21T00:00:00+08:00,002475,15124386
2025-04-22T00:00:00+08:00,002475,14223971
2025-04-23T00:00:00+08:00,002475,15655843
2025-04-24T00:00:00+08:00,002475,13744737
2025-04-25T00:00:00+08:00,002475,15439525
2025-04-28T00:00:00+08:00,002475,16865831
2025-04-29T00:00:00+08:00,002475,14823475
2025-04-30T00:00:00+08:00,002475,12260962
2025-05-06T00:00:00+08:00,002475,18288778
2025-05-07T00:00:00+08:00,002475,17472734
2025-05-08T00:00:00+08:00,002475,19474996
2025-05-09T00:00:00+08:00,002475,16974747
2025-05-12T00:00:00+08:00,002475,19012961
2025-05-13T00:00:00+08:00,002475,27375904
2025-05-14T00:00:00+08:00,002475,23401586
2025-05-15T00:00:00+08:00,002475,21511117
2025-05-16T00:00:00+08:00,002475,19965985
2025-05-19T00:00:00+08:00,002475,20373807
2025-05-20T00:00:00+08:00,002475,19264579
2025-05-21T00:00:00+08:00,002475,17349233
2025-05-22T00:00:00+08:00,002475,17935373
2025-05-23T00:00:00+08:00,002475,16774859
2025-05-26T00:00:00+08:00,002475,18017295
2025-05-27T00:00:00+08:00,002475,16732224
2025-05-28T00:00:00+08:00,002475,16481652
2025-05-29T00:00:00+08:00,002475,16720737
2025-05-30T00:00:00+08:00,002475,14848515
2025-06-03T00:00:00+08:00,002475,15133865
2025-06-04T00:00:00+08:00,002475,13306770
2025-06-05T00:00:00+08:00,002475,14247354
2025-06-06T00:00:00+08:00,002475,14020023
2025-06-09T00:00:00+08:00,002475,13925886
2025-06-10T00:00:00+08:00,002475,10412335
2025-06-11T00:00:00+08:00,002475,12805200
2025-06-12T00:00:00+08:00,002475,12361498
2025-06-13T00:00:00+08:00,002475,11794938
2025-06-16T00:00:00+08:00,002475,14226691
2025-06-17T00:00:00+08:00,002475,19038051
2025-06-18T00:00:00+08:00,002475,18362008
2025-06-19T00:00:00+08:00,002475,17100716
2025-06-20T00:00:00+08:00,002475,17399981
2025-06-23T00:00:00+08:00,002475,17631789
2025-06-24T00:00:00+08:00,002475,14509480
2025-06-25T00:00:00+08:00,002475,14872839
2025-06-26T00:00:00+08:00,002475,13957454
2025-06-27T00:00:00+08:00,002475,15385041
2025-06-30T00:00:00+08:00,002475,15740171
2025-07-01T00:00:00+08:00,002475,14683649
2025-07-02T00:00:00+08:00,002475,17849993
2025-07-03T00:00:00+08:00,002475,21288087
2025-07-04T00:00:00+08:00,002475,19760212
2025-07-07T00:00:00+08:00,002475,19808821
2025-07-08T00:00:00+08:00,002475,17051936
2025-07-09T00:00:00+08:00,002475,16825321
2025-07-10T00:00:00+08:00,002475,18954159
2025-07-11T00:00:00+08:00,002475,20291583
2025-07-14T00:00:00+08:00,002475,17787424
2025-07-15T00:00:00+08:00,002475,19347677
2025-07-16T00:00:00+08:00,002475,20997643
2025-07-17T00:00:00+08:00,002475,26675297
2025-07-18T00:00:00+08:00,002475,24986194
2025-07-21T00:00:00+08:00,002475,24368867
2025-07-22T00:00:00+08:00,002475,23777225
2025-07-23T00:00:00+08:00,002475,23718850
2025-07-24T00:00:00+08:00,002475,23700485
2025-07-25T00:00:00+08:00,002475,25640393
2025-07-28T00:00:00+08:00,002475,22774491
2025-07-29T00:00:00+08:00,002475,20796423
2025-07-30T00:00:00+08:00,002475,21392465
2025-07-31T00:00:00+08:00,002475,19679027
2025-08-01T00:00:00+08:00,002475,19142128
2025-08-04T00:00:00+08:00,002475,16497824
2025-08-05T00:00:00+08:00,002475,13130586
2025-08-06T00:00:00+08:00,002475,13098533
2025-08-07T00:00:00+08:00,002475,18578043
2025-08-08T00:00:00+08:00,002475,14067224
2025-08-11T00:00:00+08:00,002475,19819858
2025-08-12T00:00:00+08:00,002475,14597658
2025-08-13T00:00:00+08:00,002475,15115192
2025-08-14T00:00:00+08:00,002475,14454549
2025-08-15T00:00:00+08:00,002475,14472716
2025-08-18T00:00:00+08:00,002475,16498657
2025-08-19T00:00:00+08:00,002475,15262215
2025-08-20T00:00:00+08:00,002475,15709131
2025-08-21T00:00:00+08:00,002475,17472482
2025-08-22T00:00:00+08:00,002475,16846772
2025-08-25T00:00:00+08:00,002475,18450805
2025-08-26T00:00:00+08:00,002475,27820012
2025-08-27T00:00:00+08:00,002475,22903275
2025-08-28T00:00:00+08:00,002475,23787046
2025-08-29T00:00:00+08:00,002475,22364119
2025-09-01T00:00:00+08:00,002475,19737177
2025-09-02T00:00:00+08:00,002475,19674434
2025-09-03T00:00:00+08:00,002475,19396660
2025-09-04T00:00:00+08:00,002475,20050430
2025-09-05T00:00:00+08:00,002475,22603513
2025-09-08T00:00:00+08:00,002475,32292128
2025-09-09T00:00:00+08:00,002475,27022372
2025-09-10T00:00:00+08:00,002475,27732926
2025-09-11T00:00:00+08:00,002475,35881435
2025-09-12T00:00:00+08:00,002475,40185472
2025-09-15T00:00:00+08:00,002475,39870807
2025-09-16T00:00:00+08:00,002475,34938262
2025-09-17T00:00:00+08:00,002475,29343418
2025-09-18T00:00:00+08:00,002475,30760675
2025-09-19T00:00:00+08:00,002475,33444811
2025-09-22T00:00:00+08:00,002475,48168054
2025-09-23T00:00:00+08:00,002475,68672070
2025-09-24T00:00:00+08:00,002475,57603101
2025-09-25T00:00:00+08:00,002475,55428979
2025-09-26T00:00:00+08:00,002475,42232039
2025-09-29T00:00:00+08:00,002475,40195958
2025-09-30T00:00:00+08:00,002475,33723415
2025-10-09T00:00:00+08:00,002475,33767152
2025-10-10T00:00:00+08:00,002475,26807206
2025-10-13T00:00:00+08:00,002475,28367262
2025-10-14T00:00:00+08:00,002475,23621734
2025-10-15T00:00:00+08:00,002475,25259265
2025-10-16T00:00:00+08:00,002475,26456953
2025-10-17T00:00:00+08:00,002475,23805654
2025-10-20T00:00:00+08:00,002475,26706652
2025-10-21T00:00:00+08:00,002475,37375369
2025-10-22T00:00:00+08:00,002475,35639700
2025-10-23T00:00:00+08:00,002475,36027348
2025-10-24T00:00:00+08:00,002475,40624902
2025-10-27T00:00:00+08:00,002475,39525602
2025-10-28T00:00:00+08:00,002475,40681938
2025-10-29T00:00:00+08:00,002475,45250308
2025-10-30T00:00:00+08:00,002475,43594165
2025-10-31T00:00:00+08:00,002475,44797221
2025-11-03T00:00:00+08:00,002475,41858033
2025-11-04T00:00:00+08:00,002475,40825633
2025-11-05T00:00:00+08:00,002475,39927142
2025-11-06T00:00:00+08:00,002475,40828662
2025-11-07T00:00:00+08:00,002475,35022332
2025-11-10T00:00:00+08:00,002475,33900032
2025-11-11T00:00:00+08:00,002475,33767349
2025-11-12T00:00:00+08:00,002475,36034499
2025-11-13T00:00:00+08:00,002475,33863266
2025-11-14T00:00:00+08:00,002475,32276138
2025-11-17T00:00:00+08:00,002475,32954964
2025-11-18T00:00:00+08:00,002475,33159760
2025-11-19T00:00:00+08:00,002475,32929641
2025-11-20T00:00:00+08:00,002475,29835058
2025-11-21T00:00:00+08:00,002475,25217800
2025-11-24T00:00:00+08:00,002475,25169038
2025-11-25T00:00:00+08:00,002475,41962040
2025-11-26T00:00:00+08:00,002475,42932620
2025-11-27T00:00:00+08:00,002475,44284007
2025-11-28T00:00:00+08:00,002475,41662731
2025-12-01T00:00:00+08:00,002475,40901457
2025-12-02T00:00:00+08:00,002475,45603480
2025-12-03T00:00:00+08:00,002475,42830253
