date,stockCode,换手率
2025-04-16T00:00:00+08:00,002475,0.0251
2025-04-17T00:00:00+08:00,002475,0.0139
2025-04-18T00:00:00+08:00,002475,0.0137
2025-04-21T00:00:00+08:00,002475,0.0165
2025-04-22T00:00:00+08:00,002475,0.0143
2025-04-23T00:00:00+08:00,002475,0.0278
2025-04-24T00:00:00+08:00,002475,0.0149
2025-04-25T00:00:00+08:00,002475,0.0225
2025-04-28T00:00:00+08:00,002475,0.0139
2025-04-29T00:00:00+08:00,002475,0.0123
2025-04-30T00:00:00+08:00,002475,0.0171
2025-05-06T00:00:00+08:00,002475,0.019
2025-05-07T00:00:00+08:00,002475,0.0227
2025-05-08T00:00:00+08:00,002475,0.0291
2025-05-09T00:00:00+08:00,002475,0.0181
2025-05-12T00:00:00+08:00,002475,0.038
2025-05-13T00:00:00+08:00,002475,0.0397
2025-05-14T00:00:00+08:00,002475,0.0252
2025-05-15T00:00:00+08:00,002475,0.0165
2025-05-16T00:00:00+08:00,002475,0.0116
2025-05-19T00:00:00+08:00,002475,0.0143
2025-05-20T00:00:00+08:00,002475,0.0132
2025-05-21T00:00:00+08:00,002475,0.0133
2025-05-22T00:00:00+08:00,002475,0.0094
2025-05-23T00:00:00+08:00,002475,0.013
2025-05-26T00:00:00+08:00,002475,0.0152
2025-05-27T00:00:00+08:00,002475,0.0137
2025-05-28T00:00:00+08:00,002475,0.0092
2025-05-29T00:00:00+08:00,002475,0.0206
2025-05-30T00:00:00+08:00,002475,0.0153
2025-06-03T00:00:00+08:00,002475,0.0082
2025-06-04T00:00:00+08:00,002475,0.0116
2025-06-05T00:00:00+08:00,002475,0.0196
2025-06-06T00:00:00+08:00,002475,0.0118
2025-06-09T00:00:00+08:00,002475,0.0133
2025-06-10T00:00:00+08:00,002475,0.0166
2025-06-11T00:00:00+08:00,002475,0.0137
2025-06-12T00:00:00+08:00,002475,0.0099
2025-06-13T00:00:00+08:00,002475,0.0111
2025-06-16T00:00:00+08:00,002475,0.0133
2025-06-17T00:00:00+08:00,002475,0.0212
2025-06-18T00:00:00+08:00,002475,0.0164
2025-06-19T00:00:00+08:00,002475,0.0147
2025-06-20T00:00:00+08:00,002475,0.0165
2025-06-23T00:00:00+08:00,002475,0.0129
2025-06-24T00:00:00+08:00,002475,0.0139
2025-06-25T00:00:00+08:00,002475,0.0145
2025-06-26T00:00:00+08:00,002475,0.0116
2025-06-27T00:00:00+08:00,002475,0.0214
2025-06-30T00:00:00+08:00,002475,0.0175
2025-07-01T00:00:00+08:00,002475,0.0108
2025-07-02T00:00:00+08:00,002475,0.0098
2025-07-03T00:00:00+08:00,002475,0.0265
2025-07-04T00:00:00+08:00,002475,0.0119
2025-07-07T00:00:00+08:00,002475,0.0122
2025-07-08T00:00:00+08:00,002475,0.0122
2025-07-09T00:00:00+08:00,002475,0.0117
2025-07-10T00:00:00+08:00,002475,0.0116
2025-07-11T00:00:00+08:00,002475,0.0111
2025-07-14T00:00:00+08:00,002475,0.007
2025-07-15T00:00:00+08:00,002475,0.0201
2025-07-16T00:00:00+08:00,002475,0.0164
2025-07-17T00:00:00+08:00,002475,0.0234
2025-07-18T00:00:00+08:00,002475,0.0188
2025-07-21T00:00:00+08:00,002475,0.0142
2025-07-22T00:00:00+08:00,002475,0.0126
2025-07-23T00:00:00+08:00,002475,0.0094
2025-07-24T00:00:00+08:00,002475,0.0135
2025-07-25T00:00:00+08:00,002475,0.0113
2025-07-28T00:00:00+08:00,002475,0.0129
2025-07-29T00:00:00+08:00,002475,0.0132
2025-07-30T00:00:00+08:00,002475,0.0128
2025-07-31T00:00:00+08:00,002475,0.0139
2025-08-01T00:00:00+08:00,002475,0.0104
2025-08-04T00:00:00+08:00,002475,0.0111
2025-08-05T00:00:00+08:00,002475,0.0079
2025-08-06T00:00:00+08:00,002475,0.0088
2025-08-07T00:00:00+08:00,002475,0.0253
2025-08-08T00:00:00+08:00,002475,0.0103
2025-08-11T00:00:00+08:00,002475,0.0195
2025-08-12T00:00:00+08:00,002475,0.0106
2025-08-13T00:00:00+08:00,002475,0.0146
2025-08-14T00:00:00+08:00,002475,0.0135
2025-08-15T00:00:00+08:00,002475,0.0121
2025-08-18T00:00:00+08:00,002475,0.0213
2025-08-19T00:00:00+08:00,002475,0.015
2025-08-20T00:00:00+08:00,002475,0.0183
2025-08-21T00:00:00+08:00,002475,0.0277
2025-08-22T00:00:00+08:00,002475,0.0194
2025-08-25T00:00:00+08:00,002475,0.021
2025-08-26T00:00:00+08:00,002475,0.0307
2025-08-27T00:00:00+08:00,002475,0.0278
2025-08-28T00:00:00+08:00,002475,0.0228
2025-08-29T00:00:00+08:00,002475,0.0239
2025-09-01T00:00:00+08:00,002475,0.0194
2025-09-02T00:00:00+08:00,002475,0.0204
2025-09-03T00:00:00+08:00,002475,0.0139
2025-09-04T00:00:00+08:00,002475,0.0277
2025-09-05T00:00:00+08:00,002475,0.0315
2025-09-08T00:00:00+08:00,002475,0.0399
2025-09-09T00:00:00+08:00,002475,0.026
2025-09-10T00:00:00+08:00,002475,0.0279
2025-09-11T00:00:00+08:00,002475,0.0393
2025-09-12T00:00:00+08:00,002475,0.0588
2025-09-15T00:00:00+08:00,002475,0.0345
2025-09-16T00:00:00+08:00,002475,0.0277
2025-09-17T00:00:00+08:00,002475,0.0269
2025-09-18T00:00:00+08:00,002475,0.0436
2025-09-19T00:00:00+08:00,002475,0.0442
2025-09-22T00:00:00+08:00,002475,0.0125
2025-09-23T00:00:00+08:00,002475,0.0765
2025-09-24T00:00:00+08:00,002475,0.0624
2025-09-25T00:00:00+08:00,002475,0.0458
2025-09-26T00:00:00+08:00,002475,0.0459
2025-09-29T00:00:00+08:00,002475,0.0363
2025-09-30T00:00:00+08:00,002475,0.0316
