date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,188388000000,37802000000,-0.768,4.429
2025-12-31,313367000000,315858000000,3.987,7.4088
2025-09-30,-4152000000,71783000000,-0.4766,-0.0473
2025-06-30,122112000000,174682000000,0.536,2.8574
2025-03-31,245532000000,162946000000,8.6207,5.671
2024-12-31,61293000000,63336000000,-0.315,1.423
2024-09-30,111905000000,137158000000,0.1831,2.4424
2024-06-30,159369000000,113722000000,1.5705,3.4495
2024-03-31,-40914000000,-21382000000,-1.1959,-0.8139
2023-12-31,89584000000,92461000000,-0.3129,1.9903
2023-09-30,154916000000,115930000000,0.2531,3.2579
2023-06-30,24736000000,44241000000,-0.706,0.5804
2023-03-31,93210000000,109156000000,-0.2581,2.0437
2022-12-31,131320000000,134572000000,1.6982,2.9566
2022-09-30,22727000000,92518000000,1.7354,0.5835
2022-06-30,71134000000,150483000000,2.2976,1.8051
2022-03-31,-36698000000,147127000000,13.735,-0.8719
2021-12-31,-198788000000,-192733000000,-10.9258,-5.3042
2021-09-30,-179739000000,-125808000000,-5.0982,-4.8414
2021-06-30,-112891000000,-115972000000,-3.5185,-3.2427
2021-03-31,-52204000000,-11553000000,-1.6416,-1.4979
2020-12-31,-19274000000,-16161000000,0.5962,-0.5587
2020-09-30,-96846000000,30698000000,-0.6366,-3.4779
2020-06-30,-95282000000,-25666000000,-1.971,-3.4803
2020-03-31,-78585000000,17989000000,-0.6618,-2.5675
2019-12-31,-43414000000,-40025000000,0.3018,-1.4196
2019-09-30,33559000000,84480000000,8.4695,1.3747
2019-06-30,-43196000000,26432000000,2.5455,-1.4282
2019-03-31,-50252000000,53184000000,0.2833,-1.7757
2018-12-31,-61850000000,-57323000000,0.5174,-2.3097
2018-09-30,24556339161,-11310000000,0.9284,1.139
2018-06-30,13905339161,7455000000,1.0582,0.7021
2018-03-31,34984384024,41442000000,1.3603,1.5982
2017-12-31,-121563615976,-118780000000,-11.809,-5.1223
2017-09-30,3225044863,-157987000000,-0.033,0.2581
2017-06-30,-86573955137,-128180000000,-2.8611,-3.6741
2017-03-31,-165948000000,-115008000000,-2.9405,-7.1847
2016-12-31,8217000000,10989000000,7.0181,0.4863
2016-09-30,-248749000000,-152942000000,-2.6627,-10.8017
