date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,104994008208.12,0.3266,,,,,0.3280,,,,,6.5607,,,,,0.0972,,,,,4.9466,,,,,0.0395
2026-07-02,104503382001.54,0.3251,,,,,0.3264,,,,,6.5300,,,,,0.0968,,,,,4.9235,,,,,0.0397
2026-07-01,104258068898.25,0.3243,,,,,0.3257,,,,,6.5147,,,,,0.0965,,,,,4.9119,,,,,0.0398
2026-06-30,102295564071.93,0.3182,,,,,0.3195,,,,,6.3921,,,,,0.0947,,,,,4.8195,,,,,0.0405
2026-06-29,104258068898.25,0.3243,,,,,0.3257,,,,,6.5147,,,,,0.0965,,,,,4.9119,,,,,0.0398
2026-06-26,103522129588.38,0.3220,,,,,0.3234,,,,,6.4687,,,,,0.0959,,,,,4.8773,,,,,0.0401
2026-06-25,106711199931.15,0.3319,,,,,0.3333,,,,,6.6680,,,,,0.0988,,,,,5.0275,,,,,0.0389
2026-06-24,108673704757.47,0.3380,,,,,0.3394,,,,,6.7906,,,,,0.1006,,,,,5.1200,,,,,0.0382
2026-06-23,110636209583.79,0.3441,,,,,0.3456,,,,,6.9132,,,,,0.1024,,,,,5.2124,,,,,0.0375
2026-06-22,114070593029.85,0.3548,,,,,0.3563,,,,,7.1278,,,,,0.1056,,,,,5.3742,,,,,0.0363
2026-06-18,111334860899.79,0.3463,,,,,0.3478,,,,,6.9569,,,,,0.1031,,,,,5.2453,,,,,0.0372
2026-06-17,115531518627.72,0.3594,,,,,0.3609,,,,,7.2191,,,,,0.1070,,,,,5.4431,,,,,0.0359
2026-06-16,112816034215.53,0.3509,,,,,0.3524,,,,,7.0494,,,,,0.1045,,,,,5.3151,,,,,0.0368
2026-06-15,115037794189.14,0.3578,,,,,0.3593,,,,,7.1883,,,,,0.1065,,,,,5.4198,,,,,0.0360
2026-06-12,112816034215.53,0.3509,,,,,0.3524,,,,,7.0494,,,,,0.1045,,,,,5.3151,,,,,0.0368
2026-06-11,110100549803.34,0.3425,,,,,0.3439,,,,,6.8798,,,,,0.1020,,,,,5.1872,,,,,0.0377
2026-06-10,110841136461.21,0.3448,,,,,0.3462,,,,,6.9260,,,,,0.1026,,,,,5.2221,,,,,0.0374
2026-06-09,111581723119.08,0.3471,,,,,0.3485,,,,,6.9723,,,,,0.1033,,,,,5.2570,,,,,0.0372
2026-06-08,112075447557.66,0.3486,,,,,0.3501,,,,,7.0032,,,,,0.1038,,,,,5.2802,,,,,0.0370
