date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,104994008208.12,0.0972,,,,,0.0395,0.3266,,,,,0.3280,,,,,6.5607,,,,,4.9466,,,,
2026-07-02,104503382001.54,0.0968,,,,,0.0397,0.3251,,,,,0.3264,,,,,6.5300,,,,,4.9235,,,,
2026-07-01,104258068898.25,0.0965,,,,,0.0398,0.3243,,,,,0.3257,,,,,6.5147,,,,,4.9119,,,,
2026-06-30,102295564071.93,0.0947,,,,,0.0405,0.3182,,,,,0.3195,,,,,6.3921,,,,,4.8195,,,,
2026-06-29,104258068898.25,0.0965,,,,,0.0398,0.3243,,,,,0.3257,,,,,6.5147,,,,,4.9119,,,,
2026-06-26,103522129588.38,0.0959,,,,,0.0401,0.3220,,,,,0.3234,,,,,6.4687,,,,,4.8773,,,,
2026-06-25,106711199931.15,0.0988,,,,,0.0389,0.3319,,,,,0.3333,,,,,6.6680,,,,,5.0275,,,,
2026-06-24,108673704757.47,0.1006,,,,,0.0382,0.3380,,,,,0.3394,,,,,6.7906,,,,,5.1200,,,,
2026-06-23,110636209583.79,0.1024,,,,,0.0375,0.3441,,,,,0.3456,,,,,6.9132,,,,,5.2124,,,,
2026-06-22,114070593029.85,0.1056,,,,,0.0363,0.3548,,,,,0.3563,,,,,7.1278,,,,,5.3742,,,,
2026-06-18,111334860899.79,0.1031,,,,,0.0372,0.3463,,,,,0.3478,,,,,6.9569,,,,,5.2453,,,,
2026-06-17,115531518627.72,0.1070,,,,,0.0359,0.3594,,,,,0.3609,,,,,7.2191,,,,,5.4431,,,,
2026-06-16,112816034215.53,0.1045,,,,,0.0368,0.3509,,,,,0.3524,,,,,7.0494,,,,,5.3151,,,,
2026-06-15,115037794189.14,0.1065,,,,,0.0360,0.3578,,,,,0.3593,,,,,7.1883,,,,,5.4198,,,,
2026-06-12,112816034215.53,0.1045,,,,,0.0368,0.3509,,,,,0.3524,,,,,7.0494,,,,,5.3151,,,,
2026-06-11,110100549803.34,0.1020,,,,,0.0377,0.3425,,,,,0.3439,,,,,6.8798,,,,,5.1872,,,,
2026-06-10,110841136461.21,0.1026,,,,,0.0374,0.3448,,,,,0.3462,,,,,6.9260,,,,,5.2221,,,,
2026-06-09,111581723119.08,0.1033,,,,,0.0372,0.3471,,,,,0.3485,,,,,6.9723,,,,,5.2570,,,,
2026-06-08,112075447557.66,0.1038,,,,,0.0370,0.3486,,,,,0.3501,,,,,7.0032,,,,,5.2802,,,,
2026-06-05,115778380847.01,0.1072,,,,,0.0358,0.3601,,,,,0.3616,,,,,7.2345,,,,,5.4547,,,,
2026-06-04,115037794189.14,0.1065,,,,,0.0360,0.3578,,,,,0.3593,,,,,7.1883,,,,,5.4198,,,,
2026-06-03,116765829724.17,0.1081,,,,,0.0355,0.3632,,,,,0.3647,,,,,7.2962,,,,,5.5012,,,,
2026-06-02,118247003039.91,0.1095,,,,,0.0351,0.3678,,,,,0.3694,,,,,7.3888,,,,,5.5710,,,,
2026-06-01,118987589697.78,0.1102,,,,,0.0348,0.3701,,,,,0.3717,,,,,7.4351,,,,,5.6059,,,,
2026-05-29,117753278601.33,0.1090,,,,,0.0352,0.3663,,,,,0.3678,,,,,7.3579,,,,,5.5477,,,,
2026-05-28,115284656408.43,0.1068,,,,,0.0360,0.3586,,,,,0.3601,,,,,7.2037,,,,,5.4314,,,,
2026-05-27,116765829724.17,0.1081,,,,,0.0355,0.3632,,,,,0.3647,,,,,7.2962,,,,,5.5012,,,,
2026-05-26,118493865259.2,0.1097,,,,,0.0350,0.3686,,,,,0.3701,,,,,7.4042,,,,,5.5826,,,,
2026-05-25,116765829724.17,0.1081,,,,,0.0355,0.3632,,,,,0.3647,,,,,7.2962,,,,,5.5012,,,,
2026-05-22,116765829724.17,0.1081,,,,,0.0355,0.3632,,,,,0.3647,,,,,7.2962,,,,,5.5012,,,,
2026-05-21,117506416382.04,0.1088,,,,,0.0353,0.3655,,,,,0.3670,,,,,7.3425,,,,,5.5361,,,,
2026-05-20,119234451917.07,0.1104,,,,,0.0348,0.3709,,,,,0.3724,,,,,7.4505,,,,,5.6175,,,,
2026-05-19,121703074109.97,0.1127,,,,,0.0341,0.3786,,,,,0.3801,,,,,7.6048,,,,,5.7338,,,,
2026-05-18,120715625232.81,0.1118,,,,,0.0343,0.3755,,,,,0.3771,,,,,7.5431,,,,,5.6873,,,,
2026-05-15,123431109645.0,0.1143,,,,,0.0336,0.3839,,,,,0.3855,,,,,7.7127,,,,,5.8152,,,,
2026-05-14,124418558522.16,0.1152,,,,,0.0333,0.3870,,,,,0.3886,,,,,7.7744,,,,,5.8617,,,,
2026-05-13,126146594057.19,0.1168,,,,,0.0329,0.3924,,,,,0.3940,,,,,7.8824,,,,,5.9432,,,,
2026-05-12,126640318495.77,0.1173,,,,,0.0327,0.3939,,,,,0.3956,,,,,7.9133,,,,,5.9664,,,,
2026-05-11,127380905153.64,0.1180,,,,,0.0326,0.3962,,,,,0.3979,,,,,7.9595,,,,,6.0013,,,,
2026-05-08,125652869618.61,0.1164,,,,,0.0330,0.3908,,,,,0.3925,,,,,7.8516,,,,,5.9199,,,,
2026-05-07,126146594057.19,0.1168,,,,,0.0329,0.3924,,,,,0.3940,,,,,7.8824,,,,,5.9432,,,,
2026-05-06,125159145180.03,0.1159,,,,,0.0331,0.3893,,,,,0.3909,,,,,7.8207,,,,,5.8966,,,,
2026-04-30,125406007399.32,0.1161,,,,,0.0331,0.3901,,,,,0.3917,,,,,7.8361,,,,,5.9083,,,,
2026-04-29,129355802907.96,0.1183,,,,,0.0321,0.4064,,,,,0.4082,,,,,7.3230,,,,,5.6508,,,,
2026-04-28,127874629592.22,0.1169,,,,,0.0324,0.4018,,,,,0.4035,,,,,7.2391,,,,,5.5861,,,,
2026-04-27,127134042934.35,0.1163,,,,,0.0326,0.3995,,,,,0.4012,,,,,7.1972,,,,,5.5537,,,,
2026-04-24,128615216250.09,0.1176,,,,,0.0322,0.4041,,,,,0.4058,,,,,7.2810,,,,,5.6184,,,,
2026-04-23,129355802907.96,0.1183,,,,,0.0321,0.4064,,,,,0.4082,,,,,7.3230,,,,,5.6508,,,,
2026-04-22,129849527346.54,0.1187,,,,,0.0319,0.4080,,,,,0.4097,,,,,7.3509,,,,,5.6723,,,,
2026-04-21,130836976223.7,0.1197,,,,,0.0317,0.4111,,,,,0.4128,,,,,7.4068,,,,,5.7155,,,,
2026-04-20,130836976223.7,0.1197,,,,,0.0317,0.4111,,,,,0.4128,,,,,7.4068,,,,,5.7155,,,,
2026-04-17,131330700662.28,0.1201,,,,,0.0316,0.4126,,,,,0.4144,,,,,7.4348,,,,,5.7370,,,,
2026-04-16,130836976223.7,0.1197,,,,,0.0317,0.4111,,,,,0.4128,,,,,7.4068,,,,,5.7155,,,,
2026-04-15,130590114004.41,0.1194,,,,,0.0318,0.4103,,,,,0.4121,,,,,7.3928,,,,,5.7047,,,,
2026-04-14,130343251785.12,0.1192,,,,,0.0318,0.4095,,,,,0.4113,,,,,7.3789,,,,,5.6939,,,,
2026-04-13,129602665127.25,0.1185,,,,,0.0320,0.4072,,,,,0.4089,,,,,7.3369,,,,,5.6616,,,,
2026-04-10,129849527346.54,0.1187,,,,,0.0319,0.4080,,,,,0.4097,,,,,7.3509,,,,,5.6723,,,,
2026-04-09,129602665127.25,0.1185,,,,,0.0320,0.4072,,,,,0.4089,,,,,7.3369,,,,,5.6616,,,,
2026-04-08,131577562881.57,0.1203,,,,,0.0315,0.4134,,,,,0.4152,,,,,7.4487,,,,,5.7478,,,,
2026-04-07,128368354030.8,0.1174,,,,,0.0323,0.4033,,,,,0.4050,,,,,7.2671,,,,,5.6076,,,,
2026-04-03,128368354030.8,0.1174,,,,,0.0323,0.4033,,,,,0.4050,,,,,7.2671,,,,,5.6076,,,,
2026-04-02,132071287320.15,0.1208,,,,,0.0314,0.4150,,,,,0.4167,,,,,7.4767,,,,,5.7694,,,,
2026-04-01,134293047293.76,0.1228,,,,,0.0309,0.4219,,,,,0.4237,,,,,7.6025,,,,,5.8665,,,,
2026-03-31,134046185074.47,0.1226,,,,,0.0309,0.4212,,,,,0.4230,,,,,7.5885,,,,,5.8557,,,,
2026-03-30,135033633951.63,0.1210,,,,,0.0476,0.4306,,,,,0.4328,,,,,6.5820,,,,,5.4433,,,,
2026-03-27,133552460635.89,0.1197,,,,,0.0481,0.4259,,,,,0.4280,,,,,6.5098,,,,,5.3836,,,,
2026-03-26,133058736197.31,0.1192,,,,,0.0483,0.4243,,,,,0.4264,,,,,6.4858,,,,,5.3637,,,,
2026-03-25,135527358390.21,0.1214,,,,,0.0474,0.4322,,,,,0.4344,,,,,6.6061,,,,,5.4632,,,,
2026-03-24,134293047293.76,0.1203,,,,,0.0479,0.4283,,,,,0.4304,,,,,6.5459,,,,,5.4135,,,,
2026-03-23,131824425100.86,0.1181,,,,,0.0488,0.4204,,,,,0.4225,,,,,6.4256,,,,,5.3140,,,,
2026-03-20,137008531705.95,0.1228,,,,,0.0469,0.4369,,,,,0.4391,,,,,6.6783,,,,,5.5229,,,,
2026-03-19,137995980583.11,0.1236,,,,,0.0466,0.4401,,,,,0.4423,,,,,6.7264,,,,,5.5627,,,,
2026-03-18,140958327214.59,0.1263,,,,,0.0456,0.4495,,,,,0.4518,,,,,6.8708,,,,,5.6822,,,,
2026-03-17,141205189433.88,0.1265,,,,,0.0455,0.4503,,,,,0.4526,,,,,6.8829,,,,,5.6921,,,,
2026-03-16,142192638311.04,0.1274,,,,,0.0452,0.4535,,,,,0.4557,,,,,6.9310,,,,,5.7319,,,,
2026-03-13,146636158258.26,0.1314,,,,,0.0438,0.4676,,,,,0.4700,,,,,7.1476,,,,,5.9110,,,,
2026-03-12,145895571600.39,0.1307,,,,,0.0441,0.4653,,,,,0.4676,,,,,7.1115,,,,,5.8812,,,,
2026-03-11,146389296038.97,0.1312,,,,,0.0439,0.4668,,,,,0.4692,,,,,7.1356,,,,,5.9011,,,,
2026-03-10,143673811626.78,0.1287,,,,,0.0447,0.4582,,,,,0.4605,,,,,7.0032,,,,,5.7916,,,,
2026-03-09,141945776091.75,0.1272,,,,,0.0453,0.4527,,,,,0.4549,,,,,6.9190,,,,,5.7220,,,,
2026-03-06,146389296038.97,0.1312,,,,,0.0439,0.4668,,,,,0.4692,,,,,7.1356,,,,,5.9011,,,,
2026-03-05,146389296038.97,0.1312,,,,,0.0439,0.4668,,,,,0.4692,,,,,7.1356,,,,,5.9011,,,,
2026-03-04,145895571600.39,0.1307,,,,,0.0441,0.4653,,,,,0.4676,,,,,7.1115,,,,,5.8812,,,,
2026-03-03,148364193793.29,0.1329,,,,,0.0433,0.4731,,,,,0.4755,,,,,7.2318,,,,,5.9807,,,,
2026-03-02,153795162617.67,0.1378,,,,,0.0418,0.4905,,,,,0.4929,,,,,7.4965,,,,,6.1996,,,,
2026-02-27,155523198152.7,0.1393,,,,,0.0413,0.4960,,,,,0.4984,,,,,7.5808,,,,,6.2693,,,,
2026-02-26,151820264863.35,0.1360,,,,,0.0423,0.4842,,,,,0.4866,,,,,7.4003,,,,,6.1200,,,,
2026-02-25,152807713740.51,0.1369,,,,,0.0421,0.4873,,,,,0.4897,,,,,7.4484,,,,,6.1598,,,,
2026-02-24,149351642670.45,0.1338,,,,,0.0430,0.4763,,,,,0.4787,,,,,7.2800,,,,,6.0205,,,,
2026-02-13,135774220609.5,0.1217,,,,,0.0473,0.4330,,,,,0.4351,,,,,6.6181,,,,,5.4732,,,,
2026-02-12,138983429460.27,0.1245,,,,,0.0462,0.4432,,,,,0.4454,,,,,6.7746,,,,,5.6025,,,,
2026-02-11,135527358390.21,0.1214,,,,,0.0474,0.4322,,,,,0.4344,,,,,6.6061,,,,,5.4632,,,,
2026-02-10,134786771732.34,0.1208,,,,,0.0477,0.4298,,,,,0.4320,,,,,6.5700,,,,,5.4334,,,,
2026-02-09,136267945048.08,0.1221,,,,,0.0472,0.4346,,,,,0.4367,,,,,6.6422,,,,,5.4931,,,,
2026-02-06,136021082828.79,0.1219,,,,,0.0473,0.4338,,,,,0.4359,,,,,6.6302,,,,,5.4831,,,,
2026-02-05,137502256144.53,0.1232,,,,,0.0467,0.4385,,,,,0.4407,,,,,6.7024,,,,,5.5428,,,,
2026-02-04,140711464995.3,0.1261,,,,,0.0457,0.4487,,,,,0.4510,,,,,6.8588,,,,,5.6722,,,,
2026-02-03,136021082828.79,0.1219,,,,,0.0473,0.4338,,,,,0.4359,,,,,6.6302,,,,,5.4831,,,,
2026-02-02,132565011758.73,0.1188,,,,,0.0485,0.4228,,,,,0.4249,,,,,6.4617,,,,,5.3438,,,,
2026-01-30,140711464995.3,0.1261,,,,,0.0457,0.4487,,,,,0.4510,,,,,6.8588,,,,,5.6722,,,,
2026-01-29,145401847161.81,0.1303,,,,,0.0442,0.4637,,,,,0.4660,,,,,7.0874,,,,,5.8613,,,,
2026-01-28,143180087188.2,0.1283,,,,,0.0449,0.4566,,,,,0.4589,,,,,6.9791,,,,,5.7717,,,,
2026-01-27,136761669486.66,0.1225,,,,,0.0470,0.4361,,,,,0.4383,,,,,6.6663,,,,,5.5130,,,,
2026-01-26,143180087188.2,0.1283,,,,,0.0449,0.4566,,,,,0.4589,,,,,6.9791,,,,,5.7717,,,,
2026-01-23,131083838442.99,0.1174,,,,,0.0490,0.4180,,,,,0.4201,,,,,6.3895,,,,,5.2841,,,,
2026-01-22,133552460635.89,0.1197,,,,,0.0481,0.4259,,,,,0.4280,,,,,6.5098,,,,,5.3836,,,,
2026-01-21,135280496170.92,0.1212,,,,,0.0475,0.4314,,,,,0.4336,,,,,6.5941,,,,,5.4533,,,,
2026-01-20,136761669486.66,0.1225,,,,,0.0470,0.4361,,,,,0.4383,,,,,6.6663,,,,,5.5130,,,,
2026-01-19,133058736197.31,0.1192,,,,,0.0483,0.4243,,,,,0.4264,,,,,6.4858,,,,,5.3637,,,,
2026-01-16,132071628115.15,0.1183,,,,,0.0487,0.4212,,,,,0.4233,,,,,6.4377,,,,,5.3239,,,,
2026-01-15,134540256678.05,0.1205,,,,,0.0478,0.4291,,,,,0.4312,,,,,6.5580,,,,,5.4234,,,,
2026-01-14,135280845246.92,0.1212,,,,,0.0475,0.4314,,,,,0.4336,,,,,6.5941,,,,,5.4533,,,,
2026-01-13,137749473809.82,0.1234,,,,,0.0467,0.4393,,,,,0.4415,,,,,6.7144,,,,,5.5528,,,,
2026-01-12,137749473809.82,0.1234,,,,,0.0467,0.4393,,,,,0.4415,,,,,6.7144,,,,,5.5528,,,,
2026-01-09,137749473809.82,0.1234,,,,,0.0467,0.4393,,,,,0.4415,,,,,6.7144,,,,,5.5528,,,,
2026-01-08,137749473809.82,0.1234,,,,,0.0467,0.4393,,,,,0.4415,,,,,6.7144,,,,,5.5528,,,,
2026-01-07,137255748097.24,0.1230,,,,,0.0468,0.4377,,,,,0.4399,,,,,6.6904,,,,,5.5329,,,,
2026-01-06,135527708103.21,0.1214,,,,,0.0474,0.4322,,,,,0.4344,,,,,6.6061,,,,,5.4632,,,,
2026-01-05,133552805252.89,0.1197,,,,,0.0481,0.4259,,,,,0.4280,,,,,6.5099,,,,,5.3836,,,,
2025-12-31,133552805252.89,0.1197,,,,,0.0481,0.4259,,,,,0.4280,,,,,6.5099,,,,,5.3836,,,,
2025-12-30,133305942396.6,0.1194,,,,,0.0482,0.4251,,,,,0.4272,,,,,6.4978,,,,,5.3737,,,,
2025-12-29,135280845246.92,0.1212,,,,,0.0475,0.4314,,,,,0.4336,,,,,6.5941,,,,,5.4533,,,,
2025-12-26,134046530965.47,0.1201,,,,,0.0479,0.4275,,,,,0.4296,,,,,6.5339,,,,,5.4035,,,,
2025-12-25,133552805252.89,0.1197,,,,,0.0481,0.4259,,,,,0.4280,,,,,6.5099,,,,,5.3836,,,,
2025-12-24,133799668109.18,0.1199,,,,,0.0480,0.4267,,,,,0.4288,,,,,6.5219,,,,,5.3936,,,,
2025-12-23,133305942396.6,0.1194,,,,,0.0482,0.4251,,,,,0.4272,,,,,6.4978,,,,,5.3737,,,,
2025-12-22,134787119534.34,0.1208,,,,,0.0477,0.4271,,,,,0.4292,,,,,6.5700,,,,,5.4334,,,,
2025-12-19,134787119534.34,0.1208,,,,,0.0477,0.4271,,,,,0.4292,,,,,6.5700,,,,,5.4334,,,,
2025-12-18,134540256678.05,0.1205,,,,,0.0478,0.4263,,,,,0.4284,,,,,6.5580,,,,,5.4234,,,,
2025-12-17,134293393821.76,0.1203,,,,,0.0479,0.4255,,,,,0.4276,,,,,6.5460,,,,,5.4135,,,,
2025-12-16,133059079540.31,0.1192,,,,,0.0483,0.4216,,,,,0.4237,,,,,6.4858,,,,,5.3637,,,,
2025-12-15,133552805252.89,0.1197,,,,,0.0481,0.4232,,,,,0.4253,,,,,6.5099,,,,,5.3836,,,,
2025-12-12,134046530965.47,0.1201,,,,,0.0479,0.4247,,,,,0.4268,,,,,6.5339,,,,,5.4035,,,,
2025-12-11,133552805252.89,0.1197,,,,,0.0481,0.4232,,,,,0.4253,,,,,6.5099,,,,,5.3836,,,,
2025-12-10,134293393821.76,0.1203,,,,,0.0479,0.4255,,,,,0.4276,,,,,6.5460,,,,,5.4135,,,,
2025-12-09,133552805252.89,0.1197,,,,,0.0481,0.4232,,,,,0.4253,,,,,6.5099,,,,,5.3836,,,,
2025-12-08,135280845246.92,0.1212,,,,,0.0475,0.4286,,,,,0.4308,,,,,6.5941,,,,,5.4533,,,,
2025-12-05,136268296672.08,0.1221,,,,,0.0472,0.4318,,,,,0.4339,,,,,6.6422,,,,,5.4931,,,,
2025-12-04,135774570959.5,0.1217,,,,,0.0473,0.4302,,,,,0.4323,,,,,6.6182,,,,,5.4732,,,,
2025-12-03,135280845246.92,0.1212,,,,,0.0475,0.4286,,,,,0.4308,,,,,6.5941,,,,,5.4533,,,,
2025-12-02,135280496170.92,0.1212,,,,,0.0475,0.4286,,,,,0.4308,,,,,6.5941,,,,,5.4533,,,,
