date,毛利率(GM),净资产收益率(ROE),资本回报率(ROIC),净利润率,总资产收益率(ROA)
2026-03-31,0.0923,0.0465,0.0311,0.0229,0.0105
2025-12-31,0.0934,0.0501,0.0339,0.0241,0.0111
2025-09-30,0.0974,0.0539,0.0353,0.0247,0.0122
2025-06-30,0.0969,0.0569,0.0371,0.025,0.0129
2025-03-31,0.0979,0.0594,0.0391,0.0256,0.0142
2024-12-31,0.098,0.0634,0.0424,0.0265,0.0151
2024-09-30,0.0986,0.072,0.0454,0.0282,0.0175
2024-06-30,0.1005,0.0777,0.0486,0.0288,0.0189
2024-03-31,0.0995,0.0812,0.0521,0.0293,0.0209
2023-12-31,0.1001,0.0853,0.0554,0.0298,0.0219
2023-09-30,0.0996,0.0843,0.0543,0.0305,0.0219
2023-06-30,0.0977,0.0879,0.0555,0.0307,0.0225
2023-03-31,0.0978,0.0881,0.0561,0.0306,0.0232
2022-12-31,0.0981,0.0895,0.0578,0.0303,0.0235
2022-09-30,0.0971,0.0878,0.0555,0.0288,0.0228
2022-06-30,0.0994,0.0902,0.0573,0.029,0.0233
2022-03-31,0.0987,0.0907,0.0581,0.0288,0.0237
2021-12-31,0.1,0.0907,0.0601,0.0284,0.0238
2021-09-30,0.0999,0.0957,0.0587,0.0285,0.0235
2021-06-30,0.0975,0.0973,0.0601,0.0276,0.0239
2021-03-31,0.0995,0.1037,0.0641,0.0288,0.0258
2020-12-31,0.0995,0.0976,0.0635,0.028,0.0242
2020-09-30,0.0918,0.1085,0.0609,0.029,0.0251
2020-06-30,0.0946,0.1068,0.0611,0.0293,0.0246
2020-03-31,0.0966,0.1031,0.062,0.0295,0.0243
2019-12-31,0.0977,0.1085,0.068,0.0298,0.0254
2019-09-30,0.0989,0.0977,0.0663,0.0257,0.0216
2019-06-30,0.0984,0.0921,0.0611,0.0245,0.0204
2019-03-31,0.1006,0.0902,,0.0241,0.0201
2018-12-31,0.099,0.089,0.0581,0.0235,0.0195
2018-09-30,0.0984,0.091,,0.0228,0.0192
2018-06-30,0.097,0.0919,,0.0227,0.0195
2018-03-31,0.0938,0.0896,,0.021,0.0187
2017-12-31,0.0938,0.0891,,0.0205,0.0178
2017-09-30,0.0868,0.0933,,0.0215,0.019
2017-06-30,0.0876,0.0981,,0.0222,0.0199
2017-03-31,0.0828,0.0879,,0.0202,0.0178
2016-12-31,0.0859,0.088,,0.0197,0.0173
2016-09-30,0.096,0.0961,,0.0213,0.0185
