date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,36865892265.39,0.1643,,,,,0.3517,,,,,0.0000,-0.4326,,,,,0.3335,,,,,-0.4177,,,,
2026-07-02,36507970981.26,0.1627,,,,,0.3482,,,,,0.0000,-0.4284,,,,,0.3303,,,,,-0.4136,,,,
2026-07-01,36746585170.68,0.1638,,,,,0.3505,,,,,0.0000,-0.4312,,,,,0.3324,,,,,-0.4163,,,,
2026-06-30,35314900034.16,0.1574,,,,,0.3369,,,,,0.0000,-0.4144,,,,,0.3195,,,,,-0.4001,,,,
2026-06-29,36269356791.84,0.1617,,,,,0.3460,,,,,0.0000,-0.4256,,,,,0.3281,,,,,-0.4109,,,,
2026-06-26,35911435507.71,0.1601,,,,,0.3426,,,,,0.0000,-0.4214,,,,,0.3249,,,,,-0.4069,,,,
2026-06-25,35195592939.45,0.1569,,,,,0.3357,,,,,0.0000,-0.4130,,,,,0.3184,,,,,-0.3988,,,,
2026-06-24,35434207128.87,0.1579,,,,,0.3380,,,,,0.0000,-0.4158,,,,,0.3206,,,,,-0.4015,,,,
2026-06-23,36865892265.39,0.1643,,,,,0.3517,,,,,0.0000,-0.4326,,,,,0.3335,,,,,-0.4177,,,,
2026-06-22,37104506454.81,0.1654,,,,,0.3539,,,,,0.0000,-0.4354,,,,,0.3357,,,,,-0.4204,,,,
2026-06-18,36507970981.26,0.1627,,,,,0.3482,,,,,0.0000,-0.4284,,,,,0.3303,,,,,-0.4136,,,,
2026-06-17,36865892265.39,0.1643,,,,,0.3517,,,,,0.0000,-0.4326,,,,,0.3335,,,,,-0.4177,,,,
2026-06-16,36627278075.97,0.1632,,,,,0.3494,,,,,0.0000,-0.4298,,,,,0.3314,,,,,-0.4150,,,,
2026-06-15,37343120644.23,0.1664,,,,,0.3562,,,,,0.0000,-0.4382,,,,,0.3378,,,,,-0.4231,,,,
2026-06-12,37701041928.36,0.1680,,,,,0.3596,,,,,0.0000,-0.4424,,,,,0.3411,,,,,-0.4271,,,,
2026-06-11,37223813549.52,0.1659,,,,,0.3551,,,,,0.0000,-0.4368,,,,,0.3368,,,,,-0.4217,,,,
2026-06-10,37581734833.65,0.1675,,,,,0.3585,,,,,0.0000,-0.4410,,,,,0.3400,,,,,-0.4258,,,,
2026-06-09,37223813549.52,0.1659,,,,,0.3551,,,,,0.0000,-0.4368,,,,,0.3368,,,,,-0.4217,,,,
2026-06-08,37462427738.94,0.1670,,,,,0.3574,,,,,0.0000,-0.4396,,,,,0.3389,,,,,-0.4244,,,,
