date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,36865892265.39,-0.4326,,,,,-0.4177,,,,,0.3335,,,,,0.3517,,,,,0.0000,0.1643,,,,
2026-07-02,36507970981.26,-0.4284,,,,,-0.4136,,,,,0.3303,,,,,0.3482,,,,,0.0000,0.1627,,,,
2026-07-01,36746585170.68,-0.4312,,,,,-0.4163,,,,,0.3324,,,,,0.3505,,,,,0.0000,0.1638,,,,
2026-06-30,35314900034.16,-0.4144,,,,,-0.4001,,,,,0.3195,,,,,0.3369,,,,,0.0000,0.1574,,,,
2026-06-29,36269356791.84,-0.4256,,,,,-0.4109,,,,,0.3281,,,,,0.3460,,,,,0.0000,0.1617,,,,
2026-06-26,35911435507.71,-0.4214,,,,,-0.4069,,,,,0.3249,,,,,0.3426,,,,,0.0000,0.1601,,,,
2026-06-25,35195592939.45,-0.4130,,,,,-0.3988,,,,,0.3184,,,,,0.3357,,,,,0.0000,0.1569,,,,
2026-06-24,35434207128.87,-0.4158,,,,,-0.4015,,,,,0.3206,,,,,0.3380,,,,,0.0000,0.1579,,,,
2026-06-23,36865892265.39,-0.4326,,,,,-0.4177,,,,,0.3335,,,,,0.3517,,,,,0.0000,0.1643,,,,
2026-06-22,37104506454.81,-0.4354,,,,,-0.4204,,,,,0.3357,,,,,0.3539,,,,,0.0000,0.1654,,,,
2026-06-18,36507970981.26,-0.4284,,,,,-0.4136,,,,,0.3303,,,,,0.3482,,,,,0.0000,0.1627,,,,
2026-06-17,36865892265.39,-0.4326,,,,,-0.4177,,,,,0.3335,,,,,0.3517,,,,,0.0000,0.1643,,,,
