date,负债合计,资产负债率,应收账款,所有者权益合计,流动资产合计,长期负债合计,流动比率,流动负债合计,速动比率,资产合计,货币资金,有息负债率
2026-03-31,769344739328,0.7713,10642080520,228061984694,11365643304,149584289700,1.2194,89916045760,0.5103,997406724022,47603530789.29,0.3416
2025-12-31,784762773496,0.7689,9519075011,235860058037,11938848235,157185809950,1.2339,93057376613,0.5195,1020622831533,55477799040.15,0.3389
2025-09-30,835564493176,0.7351,9588403888,301030072579,12456772761,176299554515,1.3056,131905669823,0.4937,1136594565755,82202588255.19,0.3119
2025-06-30,872988331813,0.7311,9312158900,321160542961,12337821478,178051318769,1.3086,158003116180,0.4861,1194148874775,76595154803.82,0.3081
2025-03-31,914064973380,0.7348,9185366462,329974412835,12811337687,182889203221,1.3034,191291517968,0.4671,1244039386216,84111501770.55,0.3039
2024-12-31,947405197282,0.7366,8110758258,338854662484,12801245178,178886209212,1.276,192361112557,0.4607,1286259859766,86616950759.46,0.297
2024-09-30,982821341733,0.7242,9806814950,374358441703,13675233471,177387035815,1.3535,249710381339,0.4816,1357179783436,115966496058.12,0.2571
2024-06-30,1037761815612,0.7294,9549710040,385057205367,13966180795,185577844653,1.371,276869392825,0.4831,1422819020979,82679816634.03,0.2485
2024-03-31,1064335708369,0.7271,8775143461,399533386478,13291743884,189601520584,1.3847,298495047279,0.4572,1463869094846,107376385239,0.2345
2023-12-31,1101916641171,0.7322,7293628387,402933530947,13678360410,197764142684,1.3997,308638338067,0.4601,1504850172118,124795221066.66,0.2282
2023-09-30,1239574345997,0.7528,9372698925,407127393376,13010101768,215061631465,1.3712,407542293009,0.4268,1646701739373,156053679880.68,0.211
2023-06-30,1281551927215,0.7609,9101012258,402644482157,12221818861,215187493045,1.3495,429514993230,0.4213,1684196409373,167268546783.42,0.2055
2023-03-31,1345572736280,0.772,8597967351,397505858256,11471032246,199091772359,1.322,487114091453,0.4241,1743078594535,181824012338.04,0.1986
2022-12-31,1352132937797,0.7695,7504692133,404991506406,10927515136,180773280622,1.3132,465580957679,0.4054,1757124444203,211678912372.2,0.1936
2022-09-30,1426655627129,0.7785,7782886330,405968478785,10450715697,170046104791,1.2687,536508234017,0.3632,1832624105914,207375549867.93,0.1762
2022-06-30,1487493682257,0.7916,6522415811,391708562003,10950748565,167602250073,1.2367,587605742606,0.3488,1879202244259,238320359187.5,0.1642
2022-03-31,1554059665757,0.798,5926495545,393309709697,10789618372,163836957496,1.2338,655830828769,0.3468,1947369375454,222626091631.25,0.1577
2021-12-31,1545865352174,0.7974,4743597024,392772776525,10390001562,154322278964,1.2202,636858514052,0.3409,1938638128699,229717575490,0.1521
2021-09-30,1592472568518,0.8094,4809163628,374930444545,9798996054,134948906266,1.1865,697730241172,0.3167,1967403013064,247736919721.25,0.1501
2021-06-30,1591325317457,0.814,3717942026,363720759383,8829125392,133495962343,1.1821,694227892595,0.3553,1955046076840,276618203705.81,0.1518
2021-03-31,1552428487851,0.8137,3323921628,355432004867,6534113320,132578939736,1.1763,681537835149,0.3604,1907860492719,348531966030,0.1465
2020-12-31,1519332620662,0.8128,2992423302,349844473343,6162549680,132036783090,1.1745,630747210802,0.362,1869177094006,333428914168.7,0.1531
2020-09-30,1511823329619,0.8332,2678718615,302642412322,5652083133,121578169648,1.1414,640625732857,0.3575,1814465741942,325528856272.02,0.1547
2020-06-30,1514930506718,0.8387,2640266480,291256107051,5051654668,121975894497,1.1472,615070119121,0.3527,1806186613769,303687519734.14,0.1644
2020-03-31,1465683669931,0.8424,2627512620,274111126412,4566075284,127694157761,1.1457,595025882471,0.3419,1739794796343,289899967975.65,0.1673
2019-12-31,1459350334988,0.8436,1988075738,270579115413,3444938026,114319778455,1.1307,577047227179,0.3463,1729929450401,363702961772.18,0.1626
2019-09-30,1393911322008,0.8506,1931470367,244851895300,2919536405,119448513861,1.1297,587345959872,0.3196,1638763217308,292725503725.9,0.1536
2019-06-30,1344589371134,0.8526,1864845192,232467538807,2415731473,104952265435,1.1191,566638882634,0.3468,1577056909941,314312596857.81,0.1589
2019-03-31,1314977040559,0.8477,1837707526,236189411972,1861885977,126147961227,1.1594,533088699906,0.3691,1551166452531,339122749470.72,0.1729
2018-12-31,1292958626477,0.8459,1586180764,235620729998,1364126798,120929055439,1.1543,504711414423,0.4167,1528579356475,262952600663.82,0.1621
2018-09-30,1216330293682,0.8493,1733613349,215891759596,2492200568,125670064619,1.1612,553085615594,0.3642,1432222053278,268251393624.3,0.1702
2018-06-30,1139367483490,0.847,0,205784151723,1893090913,128294068303,1.1805,514285164796,0.4138,1345151635213,271563139224.6,0.1664
2018-03-31,1028927389932,0.8404,1476427432,195337402385,3750608640,112558480686,1.2104,479359682377,0.3966,1224264792316,367493370113.29,0.1598
2017-12-31,978672978646,0.8398,1432734014,186673939158,0,96029044735,1.2009,0,0.4089,1165346917805,342876061151.06,0.1645
2017-09-30,850656698670,0.8353,1302107882,167725291863,0,77146692450,1.2102,0,0.3281,1018381990533,289777740026.25,0.1562
2017-06-30,768108159851,0.8266,1694829671,161157756357,0,65736115025,1.2013,0,0.3653,929265916207,275647625464.97,0.15
2017-03-31,724767498903,0.8173,1734498135,161986016323,0,70239658981,1.232,0,0.3528,886753515226,227185748180.58,0.1602
2016-12-31,668997642643,0.8054,2075256824,161676571281,0,56406061283,1.2436,0,0.3512,830674213924,226854573620.55,0.1551
2016-09-30,612396066291,0.8101,2504272008,143533581585,0,31680130310,1.2027,0,0.3056,755929647876,288894607866.17,0.1164
