date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,35424376,-2163425442,0.6265,-0.0289
2025-12-31,-549616530,-988124861,-1.26,0.0108
2025-09-30,4431852950,-5889347830,-0.2149,-0.0456
2025-06-30,7372466241,-3038704593,0.413,-0.1163
2025-03-31,10397938608,-5792568807,0.3852,-0.134
2024-12-31,2984468075,3799847632,-0.0287,-0.078
2024-09-30,-5861639320,-4847650024,-21.5999,0.069
2024-06-30,-8184351037,-5176325811,-3.7763,0.9676
2024-03-31,-19816288965,-9421419428,-2.3457,-0.6968
2023-12-31,-4076577546,3912323920,0.4224,0.1913
2023-09-30,-3416952289,235323601,1.0564,0.2286
2023-06-30,-14254730573,1864499635,-0.775,-0.1061
2023-03-31,9455268478,7001300468,1.528,0.612
2022-12-31,-9998422798,2750449478,-0.3313,0.0732
2022-09-30,-13483737156,-4175709128,-4.4236,-0.0315
2022-06-30,-6597438031,8288020493,0.2221,0.1405
2022-03-31,-35680559731,-13259189892,-1.7855,-0.6786
2021-12-31,-5401175961,4113160948,-0.9227,0.108
2021-09-30,12888659825,1219687037,-0.9635,0.3906
2021-06-30,30159504537,6781560274,-0.7,0.6573
2021-03-31,65716672732,16879434478,6.7144,1.2298
2020-12-31,46042037543,53188022244,0.1642,0.897
2020-09-30,71155054514,33380868586,18.2462,1.366
2020-06-30,54273567238,22605962037,1.5534,1.0911
2020-03-31,64161598872,-2953862230,0.8894,1.2776
2019-12-31,39538739432,45686809515,0.359,0.8287
2019-09-30,60171464843,1734412256,1.0674,1.0895
2019-06-30,43120660557,8853110066,3.0806,0.849
2019-03-31,28068273645,-26712603541,0.0375,0.6836
2018-12-31,27768986308,33618183389,-0.5916,0.6823
2018-09-30,30205274360,-25731174684,-2.5402,0.9026
2018-06-30,48945922416,-4255092906,-1.1947,1.382
2018-03-31,61394271395,-27753653226,-1.9141,1.6921
2017-12-31,80103958808,82322834217,1.0806,2.2125
2017-09-30,11437708815,16706237885,-0.6114,0.4168
2017-06-30,33782690628,21850160718,-0.153,1.1377
2017-03-31,38595952719,-9523936366,0.1121,1.4452
2016-12-31,37666720295,39566129022,1.4658,1.3956
2016-09-30,61324073801,42985894838,10.1791,2.3001
