date,metric,value
2026-03-31,经营活动产生的现金流量净额对净利润的比率,-0.0289
2026-03-31,资产负债率,0.7713
2026-03-31,长期负债合计,149584289700
2026-03-31,经营活动产生的现金流量净额,-2163425442
2026-03-31,资产合计,997406724022
2026-03-31,净资产收益率(ROE),-0.3279
2026-03-31,自由现金流量,35424376
2026-03-31,总资产收益率(ROA),-0.0816
2026-03-31,流动比率,1.2194
2026-03-31,应收账款,10642080520
2026-03-31,毛利率(GM),0.0999
2026-03-31,所有者权益合计,228061984694
2026-03-31,流动资产合计,11365643304
2026-03-31,负债合计,769344739328
2026-03-31,有息负债率,0.3416
2026-03-31,资本回报率(ROIC),-0.1284
2026-03-31,净利润率,-0.4078
2026-03-31,归属于母公司普通股股东的净利润,-5952156227
2026-03-31,流动负债合计,89916045760
2026-03-31,货币资金,47603530789.29
2026-03-31,基本每股收益,-0.4989
2026-03-31,营业收入,28927889365
2026-03-31,速动比率,0.5103
