date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,57032134876.8,1.3426,,,,,27.2102,,,,,0.0205,4.2650,,,,,26.2146,,,,,1.3426,,,,
2026-07-02,57305849311.2,1.3490,,,,,27.3408,,,,,0.0204,4.2855,,,,,26.3404,,,,,1.3490,,,,
2026-07-01,58301174527.2,1.3725,,,,,27.8157,,,,,0.0201,4.3599,,,,,26.7979,,,,,1.3725,,,,
2026-06-30,57480031224.0,1.3328,,,,,27.4239,,,,,0.0203,4.2985,,,,,26.4205,,,,,1.3328,,,,
2026-06-29,57952810701.6,1.3438,,,,,27.6495,,,,,0.0202,4.3339,,,,,26.6378,,,,,1.3438,,,,
2026-06-26,57728862528.0,1.3386,,,,,27.5426,,,,,0.0203,4.3171,,,,,26.5348,,,,,1.3386,,,,
2026-06-25,57977693832.0,1.3444,,,,,27.6613,,,,,0.0202,4.3357,,,,,26.6492,,,,,1.3444,,,,
2026-06-24,56086575921.6,1.3005,,,,,26.7591,,,,,0.0209,4.1943,,,,,25.7800,,,,,1.3005,,,,
2026-06-23,57131667398.4,1.3248,,,,,27.2577,,,,,0.0205,4.2725,,,,,26.2603,,,,,1.3248,,,,
2026-06-22,58077226353.6,1.3467,,,,,27.7088,,,,,0.0201,4.3432,,,,,26.6950,,,,,1.3467,,,,
2026-06-18,57629330006.4,1.3363,,,,,27.4951,,,,,0.0203,4.3097,,,,,26.4891,,,,,1.3363,,,,
2026-06-17,58724187744.0,1.3617,,,,,28.0175,,,,,0.0199,4.3916,,,,,26.9923,,,,,1.3617,,,,
2026-06-16,59196967221.6,1.3727,,,,,28.2431,,,,,0.0198,4.4269,,,,,27.2096,,,,,1.3727,,,,
2026-06-15,60217175568.0,1.3963,,,,,28.7298,,,,,0.0194,4.5032,,,,,27.6786,,,,,1.3963,,,,
2026-06-12,60416240611.2,1.4009,,,,,28.8248,,,,,0.0194,4.5181,,,,,27.7701,,,,,1.4009,,,,
2026-06-11,58375823918.4,1.3536,,,,,27.8513,,,,,0.0200,4.3655,,,,,26.8322,,,,,1.3536,,,,
2026-06-10,59271616612.8,1.3744,,,,,28.2787,,,,,0.0197,4.4325,,,,,27.2440,,,,,1.3744,,,,
2026-06-09,59022785308.8,1.3686,,,,,28.1600,,,,,0.0198,4.4139,,,,,27.1296,,,,,1.3686,,,,
2026-06-08,57256083050.4,1.3277,,,,,27.3171,,,,,0.0204,4.2818,,,,,26.3175,,,,,1.3277,,,,
