date,毛利率(GM),总资产收益率(ROA),净利润率,资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.2705,0.0353,0.1844,0.0545,0.0552
2025-12-31,0.2751,0.034,0.1806,0.0538,0.0547
2025-09-30,0.2502,0.0386,0.2075,0.0607,0.0618
2025-06-30,0.2385,0.0354,0.1938,0.0567,0.0567
2025-03-31,0.2282,0.0337,0.1879,0.0547,0.0543
2024-12-31,0.2193,0.0319,0.1799,0.0528,0.052
2024-09-30,0.2227,0.0284,0.1591,0.049,0.0466
2024-06-30,0.2209,0.0281,0.1579,0.0484,0.0461
2024-03-31,0.2136,0.0242,0.1432,0.0441,0.0409
2023-12-31,0.1651,0.0173,0.1076,0.035,0.0287
2023-09-30,0.008,-0.002,-0.0152,0.0032,-0.0034
2023-06-30,-0.1537,-0.0222,-0.1442,-0.0159,-0.0392
2023-03-31,-0.4285,-0.0394,-0.3468,-0.0386,-0.0691
2022-12-31,-0.6241,-0.0468,-0.5091,-0.049,-0.0816
2022-09-30,-0.5495,-0.0403,-0.4757,-0.0409,-0.0697
2022-06-30,-0.8747,-0.0421,-0.7018,-0.0469,-0.0787
2022-03-31,-0.6112,-0.0333,-0.4572,-0.0337,-0.0601
2021-12-31,-0.6302,-0.0383,-0.4352,-0.0317,-0.0567
2021-09-30,-0.7569,-0.0384,-0.4586,-0.0349,-0.057
2021-06-30,-0.7588,-0.0345,-0.4182,-0.0339,-0.0514
2021-03-31,-0.8265,-0.0382,-0.4821,-0.0404,-0.0552
2020-12-31,-0.5338,-0.0332,-0.2715,-0.0377,-0.0377
2020-09-30,-0.0546,0.0116,0.0668,0.0134,0.0134
2020-06-30,0.2296,0.0608,0.2654,0.0695,0.0695
2020-03-31,0.4168,0.1148,0.4013,0.1256,0.1256
2019-12-31,0.5121,0.1545,0.4807,0.1722,0.1722
2019-09-30,0.5408,0.1605,0.5004,,0.1802
2019-06-30,0.5433,0.163,0.5005,,0.1814
2019-03-31,0.5293,0.1589,0.4908,,0.17
2018-12-31,0.5169,0.1516,0.4758,0.1638,0.1638
2018-09-30,0.5233,0.1526,0.482,,0.1653
2018-06-30,0.5133,0.1429,0.4824,,0.1672
2018-03-31,0.5105,0.1459,0.4837,,0.1635
2017-12-31,0.4982,0.1416,0.4784,,0.1604
2017-09-30,0.48,0.1344,0.4613,,0.1528
2017-06-30,0.4699,0.1178,0.4381,,0.1454
2017-03-31,0.4567,0.1165,0.4329,,0.1393
2016-12-31,0.4513,0.1128,0.4266,,0.1369
2016-09-30,0.4453,0.1129,0.4219,,0.1361
