date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.23,0.0952,577796194,3198103002
2025-12-31,0.85,0.0897,2116775136,13346192164
2025-09-30,0.66,0.375,1634013984,9713925368
2025-06-30,0.42,0.2727,1044154278,6353366890
2025-03-31,0.21,0.3125,518983551,3172262269
2024-12-31,0.78,1.0526,1933948720,12368804103
2024-09-30,0.48,1.4,1201623638,9190859565
2024-06-30,0.33,5.6,814873099,6063660122
2024-03-31,0.16,5,385764036,3029379847
2023-12-31,0.38,1.3016,934049713,11047016051
2023-09-30,0.2,1.2381,496800930,7920800176
2023-06-30,0.05,1.082,132495699,4868588389
2023-03-31,-0.04,0.8182,-99346474,2154410997
2022-12-31,-1.26,-0.8529,-2994949875,5480447621
2022-09-30,-0.84,-0.9535,-2102573863,4129418054
2022-06-30,-0.65,-0.7105,-1257549109,1165794336
2022-03-31,-0.26,-0.1304,-508536328,840888120
2021-12-31,-0.89,-0.3485,-1710938710,3727797262
2021-09-30,-0.65,-0.7105,-1251080892,2747381813
2021-06-30,-0.38,-0.9,-740717532,1803863038
2021-03-31,-0.23,-6.75,-436426541,866352982
2020-12-31,-0.66,-1.2529,-1266651388,4303465088
2020-09-30,-0.38,-1.1836,-737430647,3437878650
2020-06-30,-0.2,-1.1429,-385786192,2470139847
2020-03-31,0.04,-0.9444,80577057,1636291905
2019-12-31,2.61,0.1864,5030210053,10944668478
2019-09-30,2.07,0.2699,3994520326,8207782786
2019-06-30,1.4,0.3333,2699513723,5455110955
2019-03-31,0.72,0.3585,1391195569,2774401241
2018-12-31,2.2,0.1518,4231432035,9313114687
2018-09-30,1.63,0.1643,3140539467,6900484470
2018-06-30,1.05,0.1932,2021551931,4504435534
2018-03-31,0.53,0.2927,1017912080,2280746767
2017-12-31,1.91,0.3082,3683408500,8062379030
2017-09-30,1.4,0.2844,2692122490,6008794859
2017-06-30,0.88,0.2055,1695799354,3897713274
2017-03-31,0.41,0.2424,791423544,1895161857
2016-12-31,1.46,0.1145,2805650702,6951474481
2016-09-30,1.09,0.09,2104734588,5229806072
