date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率
2026-07-03,57032134876.8,1.3426,,,,,27.2102,,,,,4.2650,,,,,26.2146,,,,,1.3426,,,,,0.0205
2026-07-02,57305849311.2,1.3490,,,,,27.3408,,,,,4.2855,,,,,26.3404,,,,,1.3490,,,,,0.0204
2026-07-01,58301174527.2,1.3725,,,,,27.8157,,,,,4.3599,,,,,26.7979,,,,,1.3725,,,,,0.0201
2026-06-30,57480031224.0,1.3328,,,,,27.4239,,,,,4.2985,,,,,26.4205,,,,,1.3328,,,,,0.0203
2026-06-29,57952810701.6,1.3438,,,,,27.6495,,,,,4.3339,,,,,26.6378,,,,,1.3438,,,,,0.0202
2026-06-26,57728862528.0,1.3386,,,,,27.5426,,,,,4.3171,,,,,26.5348,,,,,1.3386,,,,,0.0203
2026-06-25,57977693832.0,1.3444,,,,,27.6613,,,,,4.3357,,,,,26.6492,,,,,1.3444,,,,,0.0202
2026-06-24,56086575921.6,1.3005,,,,,26.7591,,,,,4.1943,,,,,25.7800,,,,,1.3005,,,,,0.0209
2026-06-23,57131667398.4,1.3248,,,,,27.2577,,,,,4.2725,,,,,26.2603,,,,,1.3248,,,,,0.0205
2026-06-22,58077226353.6,1.3467,,,,,27.7088,,,,,4.3432,,,,,26.6950,,,,,1.3467,,,,,0.0201
2026-06-18,57629330006.4,1.3363,,,,,27.4951,,,,,4.3097,,,,,26.4891,,,,,1.3363,,,,,0.0203
2026-06-17,58724187744.0,1.3617,,,,,28.0175,,,,,4.3916,,,,,26.9923,,,,,1.3617,,,,,0.0199
2026-06-16,59196967221.6,1.3727,,,,,28.2431,,,,,4.4269,,,,,27.2096,,,,,1.3727,,,,,0.0198
2026-06-15,60217175568.0,1.3963,,,,,28.7298,,,,,4.5032,,,,,27.6786,,,,,1.3963,,,,,0.0194
2026-06-12,60416240611.2,1.4009,,,,,28.8248,,,,,4.5181,,,,,27.7701,,,,,1.4009,,,,,0.0194
2026-06-11,58375823918.4,1.3536,,,,,27.8513,,,,,4.3655,,,,,26.8322,,,,,1.3536,,,,,0.0200
2026-06-10,59271616612.8,1.3744,,,,,28.2787,,,,,4.4325,,,,,27.2440,,,,,1.3744,,,,,0.0197
2026-06-09,59022785308.8,1.3686,,,,,28.1600,,,,,4.4139,,,,,27.1296,,,,,1.3686,,,,,0.0198
2026-06-08,57256083050.4,1.3277,,,,,27.3171,,,,,4.2818,,,,,26.3175,,,,,1.3277,,,,,0.0204
2026-06-05,58823720265.6,1.3640,,,,,28.0650,,,,,4.3990,,,,,27.0381,,,,,1.3640,,,,,0.0199
2026-06-04,58201642005.6,1.3496,,,,,27.7682,,,,,4.3525,,,,,26.7521,,,,,1.3496,,,,,0.0201
2026-06-03,59196967221.6,1.3727,,,,,28.2431,,,,,4.4269,,,,,27.2096,,,,,1.3727,,,,,0.0198
2026-06-02,60590422524.0,1.4050,,,,,28.9079,,,,,4.5311,,,,,27.8501,,,,,1.4050,,,,,0.0193
2026-06-01,61809695913.6,1.4332,,,,,29.4896,,,,,4.6223,,,,,28.4106,,,,,1.4332,,,,,0.0189
2026-05-29,62382007912.8,1.4465,,,,,29.7627,,,,,4.6651,,,,,28.6736,,,,,1.4465,,,,,0.0187
2026-05-28,61909228435.2,1.4356,,,,,29.5371,,,,,4.6298,,,,,28.4563,,,,,1.4356,,,,,0.0189
2026-05-27,63203151216.0,1.4656,,,,,30.1544,,,,,4.7265,,,,,29.0511,,,,,1.4656,,,,,0.0185
2026-05-26,63725696954.4,1.4777,,,,,30.4037,,,,,4.7656,,,,,29.2913,,,,,1.4777,,,,,0.0184
2026-05-25,63576398172.0,1.4742,,,,,30.3325,,,,,4.7544,,,,,29.2226,,,,,1.4742,,,,,0.0184
2026-05-22,62705488608.0,1.4540,,,,,29.9170,,,,,4.6893,,,,,28.8223,,,,,1.4540,,,,,0.0187
2026-05-21,63700813824.0,1.4771,,,,,30.3919,,,,,4.7637,,,,,29.2798,,,,,1.4771,,,,,0.0184
2026-05-20,64074060780.0,1.4857,,,,,30.5699,,,,,4.7916,,,,,29.4514,,,,,1.4857,,,,,0.0183
2026-05-19,63974528258.4,1.4834,,,,,30.5225,,,,,4.7842,,,,,29.4056,,,,,1.4834,,,,,0.0183
