日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-07,=33.8600,=33.8600,=33.8600,=33.8600,=310322550683.0,=306311177781.0,=158021262984.16,,=0.0340
2026-07-06,=33.8300,=33.8300,=33.8300,=33.8300,=310047604536.5,=306039785716.0,=157881255958.48,,=0.0340
2026-07-03,=34.0000,=34.0000,=34.0000,=34.0000,=311605632700.0,=307577674086.0,=158674629104.0,,=0.0338
2026-07-02,=33.6100,=33.6100,=33.6100,=33.6100,=308031332795.5,=304049577236.0,=156854537770.16,,=0.0342
2026-07-01,=34.0300,=34.0300,=34.0300,=34.0300,=311880578846.5,=307849066151.0,=158814636129.68,,=0.0338
2026-06-30,=34.2000,=34.2000,=34.2000,=34.2000,=313438607010.0,=309386954522.0,=159608009275.2,,=0.0336
2026-06-29,=32.9900,=32.9900,=32.9900,=32.9900,=302349112434.5,=298440807885.0,=153961059239.44,,=0.0349
2026-06-26,=33.3200,=33.3200,=33.3200,=33.3200,=305373520046.0,=301426120604.0,=155501136521.92,,=0.0345
2026-06-25,=34.4400,=34.4400,=34.4400,=34.4400,=315638176182.0,=311558091045.0,=160728065480.64,,=0.0334
2026-06-24,=34.0300,=34.0300,=34.0300,=34.0300,=311880578846.5,=307849066151.0,=158814636129.68,,=0.0338
2026-06-23,=31.4100,=31.4100,=31.4100,=31.4100,=287868615385.5,=284147492442.0,=146587355886.96,,=0.0366
2026-06-22,=32.8300,=32.8300,=32.8300,=32.8300,=300882732986.5,=296993383537.0,=153214355102.48,,=0.0350
2026-06-18,=32.3000,=32.3000,=32.3000,=32.3000,=296025351065.0,=292198790382.0,=150740897648.8,,=0.0356
2026-06-17,=32.3600,=32.3600,=32.3600,=32.3600,=296575243358.0,=292741574512.0,=151020911700.16,,=0.0355
2026-06-16,=32.2000,=32.2000,=32.2000,=32.2000,=295108863910.0,=291294150164.0,=150274207563.2,,=0.0357
2026-06-15,=30.7100,=30.7100,=30.7100,=30.7100,=281453205300.5,=277815010917.0,=143320525287.76,,=0.0374
2026-06-12,=30.2400,=30.2400,=30.2400,=30.2400,=277145715672.0,=273563201893.0,=141127081885.44,,=0.0380
2026-06-11,=29.9800,=29.9800,=29.9800,=29.9800,=274762849069.0,=271211137326.0,=139913687662.88,,=0.0384
2026-06-10,=30.3800,=30.3800,=30.3800,=30.3800,=278428797689.0,=274829698198.0,=141780448005.28,,=0.0379
2026-06-09,=30.4900,=30.4900,=30.4900,=30.4900,=279436933559.5,=275824802438.0,=142293807099.44,,=0.0377
2026-06-08,=30.3000,=30.3000,=30.3000,=30.3000,=277695607965.0,=274105986024.0,=141407095936.8,,=0.0380
2026-06-05,=31.2800,=31.2800,=31.2800,=31.2800,=286677182084.0,=282971460159.0,=145980658775.68,,=0.0368
2026-06-04,=30.6300,=30.6300,=30.6300,=30.6300,=280720015576.5,=277091298743.0,=142947173219.28,,=0.0375
2026-06-03,=30.7700,=30.7700,=30.7700,=30.7700,=282003097593.5,=278357795048.0,=143600539339.12,,=0.0374
2026-06-02,=30.7500,=30.7500,=30.7500,=30.7500,=281819800162.5,=278176867004.0,=143507201322.0,,=0.0374
2026-06-01,=30.0600,=30.0600,=30.0600,=30.0600,=275496038793.0,=271934849501.0,=140287039731.36,,=0.0383
2026-05-29,=30.5600,=30.5600,=30.5600,=30.5600,=280078474568.0,=276458050590.0,=142620490159.36,,=0.0376
2026-05-28,=30.7600,=30.7600,=30.7600,=30.7600,=281911448878.0,=278267331026.0,=143553870330.56,,=0.0374
2026-05-27,=31.6500,=31.6500,=31.6500,=31.6500,=290068184557.5,=286318628965.0,=147707412092.4,,=0.0363
2026-05-26,=32.0000,=32.0000,=32.0000,=32.0000,=293275889600.0,=289484869728.0,=149340827392.0,,=0.0359
2026-05-25,=32.2700,=32.2700,=32.2700,=32.2700,=295750404918.5,=291927398316.0,=150600890623.12,,=0.0356
2026-05-22,=31.8300,=31.8300,=31.8300,=31.8300,=291717861436.5,=287946981358.0,=148547454246.48,,=0.0361
