date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,17573502000,-76986745000,0.197,0.7583
2025-12-31,-929504000,20537132000,0.2977,0.3835
2025-09-30,9452951000,-69478983000,0.0978,0.389
2025-06-30,30101635000,-82830595000,0.2385,0.6642
2025-03-31,8961141000,-95852099000,0.0077,0.2628
2024-12-31,4384932000,15773535000,0.43,0.2514
2024-09-30,-80847832000,-77009359000,-3.7096,-0.7198
2024-06-30,-117355347000,-108769214000,-9.3001,-1.1822
2024-03-31,-56127359000,-96595019000,-0.4764,-0.2731
2023-12-31,-20473329000,11030123000,1.8807,0.15
2023-09-30,22457812000,-16351463000,0.6887,0.5811
2023-06-30,47105906000,-10560053000,0.8471,0.9132
2023-03-31,38147931000,-65424138000,0.4661,0.8678
2022-12-31,-19636749000,3828927000,-0.7263,0.0553
2022-09-30,-22780825000,-52493265000,-0.2105,0.066
2022-06-30,-34275149000,-68872020000,-0.3845,-0.0605
2022-03-31,-92304395000,-122480702000,-1.6755,-0.778
2021-12-31,-13959856000,14361321000,-0.2916,0.1848
2021-09-30,17025674000,-43357923000,0.5096,0.8206
2021-06-30,-6583989000,-49744103000,0.2959,0.5272
2021-03-31,18177193000,-45781170000,0.4968,0.8711
2020-12-31,-25948687000,20271781000,-0.4076,0.2857
2020-09-30,-37802399000,-88413042000,0.1712,-0.2411
2020-06-30,-44447902000,-70645206000,0.1478,-0.3433
2020-03-31,-43062414000,-90976368000,0.0728,-0.4409
2019-12-31,-52470469000,-34220077000,-4.3187,-0.5414
2019-09-30,-54013834000,-106674662000,-0.6422,-0.51
2019-06-30,-33710496000,-82896698000,-0.3456,-0.1831
2019-03-31,-17237742000,-98116699000,-0.0993,0.0255
2018-12-31,-7587471000,10311290000,-0.7627,0.1863
2018-09-30,-47025231000,-64957000000,0.1368,-0.6658
2018-06-30,-57713364000,-61607774000,-0.0491,-0.9508
2018-03-31,-82027129000,-89250881000,-0.3362,-1.3725
2017-12-31,-59863291000,-43456932000,-1.406,-0.9316
2017-09-30,-4313449000,-75254501000,-4.2132,0.1943
2017-06-30,26581773000,-58726340000,-9.1896,0.9109
2017-03-31,65830108000,-66792361000,-0.7734,1.8542
2016-12-31,96181627000,107047858000,0.9605,2.6
2016-09-30,81273157000,23420081000,2.5076,2.148
2016-06-30,79815626000,7170845000,1.2443,2.3691
