日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-01-26,=6.5400,=6.5400,=6.5400,=6.5400,=187690571135.52,=159103799234.0,=63701037478.92,,=1.1075,,,,
2026-01-23,=6.6000,=6.6000,=6.6000,=6.6000,=189412502980.8,=160563467117.0,=64285450666.8,,=1.1176,,,,
2026-01-22,=6.7300,=6.7300,=6.7300,=6.7300,=193143355312.24,=163726080863.0,=65551679240.54,,=1.1397,,,,
2026-01-21,=6.8300,=6.8300,=6.8300,=6.8300,=196013241721.04,=166158860668.0,=66525701220.34,,=1.1566,,,,
2026-01-20,=6.9000,=6.9000,=6.9000,=6.9000,=198022162207.2,=167861806531.0,=67207516606.2,,=1.1684,,,,
2026-01-19,=6.8000,=6.8000,=6.8000,=6.8000,=195152275798.4,=165429026726.0,=66233494626.4,,=1.1515,,,,
2026-01-16,=6.7500,=6.7500,=6.7500,=6.7500,=193717332594.0,=164212636824.0,=65746483636.5,,=1.1430,,,,
2026-01-15,=6.8800,=6.8800,=6.8800,=6.8800,=197448184925.44,=167375250570.0,=67012712210.24,,=1.1651,,,,
2026-01-14,=6.9100,=6.9100,=6.9100,=6.9100,=198309150848.08,=168105084512.0,=67304918804.18,,=1.1701,,,,
2026-01-13,=7.0500,=7.0500,=7.0500,=7.0500,=202326991820.4,=171510976238.0,=68668549575.9,,=1.1938,,,,
2026-01-12,=7.0700,=7.0700,=7.0700,=7.0700,=202900969102.16,=171997532199.0,=68863353971.86,,=1.1972,,,,
2026-01-09,=7.0300,=7.0300,=7.0300,=7.0300,=201753014538.64,=171024420277.0,=68473745179.94,,=1.1905,,,,
2026-01-08,=7.0200,=7.0200,=7.0200,=7.0200,=201466025897.76,=170781142297.0,=68376342981.96,,=1.1888,,,,
2026-01-07,=7.0100,=7.0100,=7.0100,=7.0100,=201179037256.88,=170537864316.0,=68278940783.98,,=1.1871,,,,
2026-01-06,=7.0600,=7.0600,=7.0600,=7.0600,=202613980461.28,=171754254219.0,=68765951773.88,,=1.1955,,,,
2026-01-05,=6.9200,=6.9200,=6.9200,=6.9200,=198596139488.96,=168348362492.0,=67402321002.16,,=1.1718,,,,
2025-12-31,=6.8200,=6.8200,=6.8200,=6.8200,=195726253080.16,=165915582687.0,=66428299022.36,,=1.1549,,,,
2025-12-30,=6.8500,=6.8500,=6.8500,=6.8500,=196587219002.8,=166645416629.0,=66720505616.3,,=1.1600,,,,
2025-12-29,=6.9100,=6.9100,=6.9100,=6.9100,=198309150848.08,=168105084512.0,=67304918804.18,,=1.1701,,,,
2025-12-26,=6.9000,=6.9000,=6.9000,=6.9000,=198022162207.2,=167861806531.0,=67207516606.2,,=1.1684,,,,
2025-12-25,=6.9200,=6.9200,=6.9200,=6.9200,=198596139488.96,=168348362492.0,=67402321002.16,,=1.1718,,,,
2025-12-24,=6.9300,=6.9300,=6.9300,=6.9300,=198883128129.84,=168591640473.0,=67499723200.14,,=1.1735,,,,
2025-12-23,=6.9000,=6.9000,=6.9000,=6.9000,=198022162207.2,=167861806531.0,=67207516606.2,,=1.1684,,,,
2025-12-22,=6.8500,=6.8500,=6.8500,=6.8500,=196587219002.8,=166645416629.0,=66720505616.3,,=1.1600,,,,
2025-12-19,=6.8700,=6.8700,=6.8700,=6.8700,=197161196284.56,=167131972590.0,=66915310012.26,,=1.1634,,,,
2025-12-18,=6.8900,=6.8900,=6.8900,=6.8900,=197735173566.32,=167618528551.0,=67110114408.22,,=1.1668,,,,
2025-12-17,=6.8400,=6.8400,=6.8400,=6.8400,=196300230361.92,=166402138648.0,=66623103418.32,,=1.1583,,,,
2025-12-16,=6.7700,=6.7700,=6.7700,=6.7700,=194291309875.76,=164699192785.0,=65941288032.46,,=1.1464,,,,
2025-12-15,=6.7800,=6.7800,=6.7800,=6.7800,=194578298516.64,=164942470765.0,=66038690230.44,,=1.1481,,,,
2025-12-12,=7.0900,=7.0900,=7.0900,=7.0900,=203474946383.92,=172484088160.0,=69058158367.82,,=1.2006,,,,
2025-12-11,=6.9900,=6.9900,=6.9900,=6.9900,=200605059975.12,=170051308356.0,=68084136388.02,,=1.1837,,,,
2025-12-10,=7.0100,=7.0100,=7.0100,=7.0100,=201179037256.88,=170537864316.0,=68278940783.98,,=1.1871,,,,
2025-12-09,=6.9500,=6.9500,=6.9500,=6.9500,=199457105411.6,=169078196434.0,=67694527596.1,,=1.1769,,,,
2025-12-08,=7.0600,=7.0600,=7.0600,=7.0600,=202613980461.28,=171754254219.0,=68765951773.88,,=1.1955,,,,
