date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-08,183605945726.16,0.0272,2.7446,0.0829,3.9938,3.4878,2.9977,22.0678,0.1823,29.4976,26.0679,22.3900,3.4323,0.2389,4.7244,4.1071,3.3028
2026-06-05,188344681858.2,0.0265,2.8154,0.1023,3.9938,3.4866,2.9983,22.6374,0.2115,29.4976,26.0635,22.3955,3.5209,0.2615,4.7244,4.1106,3.3028
2026-06-04,191155796512.8,0.0261,2.8574,0.1231,3.9938,3.4874,2.9997,22.9753,0.2431,29.4976,26.0670,22.3955,3.5734,0.2759,4.7244,4.1114,3.3028
2026-06-03,194770086783.0,0.0256,2.9114,0.1521,3.9938,3.4878,3.0010,23.4097,0.2782,29.4976,26.0679,22.3955,3.6410,0.2946,4.7244,4.1118,3.3028
2026-06-02,197902471683.84,0.0252,2.9583,0.1745,3.9938,3.4878,3.0018,23.7861,0.3041,29.4976,26.0679,22.3955,3.6996,0.3162,4.7244,4.1125,3.3028
2026-06-01,202560890254.32,0.0246,3.0279,0.2164,3.9938,3.4878,3.0019,24.3461,0.3499,29.4976,26.0679,22.3955,3.7867,0.3516,4.7244,4.1134,3.3028
2026-05-29,199990728284.4,0.0249,2.9895,0.1903,3.9938,3.4866,3.0019,24.0371,0.3289,29.4976,26.0635,22.3955,3.7386,0.3267,4.7244,4.1140,3.3028
2026-05-28,201597079515.6,0.0247,3.0135,0.2068,3.9938,3.4874,3.0021,24.2302,0.3433,29.4976,26.0670,22.3955,3.7686,0.3433,4.7244,4.1142,3.3028
2026-05-27,205372004908.92,0.0243,3.0699,0.2410,3.9938,3.4878,3.0021,24.6839,0.3788,29.4976,26.0679,22.3955,3.8392,0.3758,4.7244,4.1144,3.3028
2026-05-26,204649146854.88,0.0244,3.0591,0.2337,3.9938,3.4878,3.0021,24.5970,0.3728,29.4976,26.0679,22.3955,3.8257,0.3698,4.7244,4.1144,3.3028
2026-05-25,210913916656.56,0.0237,3.1528,0.2847,3.9938,3.4878,3.0021,25.3500,0.4389,29.4976,26.0679,22.3955,3.9428,0.4246,4.7244,4.1144,3.3028
2026-05-22,207460261509.48,0.0240,3.1011,0.2590,3.9938,3.4866,3.0021,24.9349,0.4061,29.4976,26.0635,22.3955,3.8782,0.3945,4.7244,4.1140,3.3028
2026-05-21,206094862962.96,0.0242,3.0807,0.2509,3.9938,3.4874,3.0021,24.7708,0.3864,29.4976,26.0670,22.3955,3.8527,0.3813,4.7244,4.1142,3.3028
2026-05-20,213082490818.68,0.0234,3.1852,0.3037,3.9938,3.4878,3.0021,25.6107,0.4618,29.4976,26.0679,22.3955,3.9833,0.4419,4.7244,4.1144,3.3028
2026-05-19,216616463527.32,0.0230,3.2380,0.3279,3.9938,3.4878,3.0021,26.0354,0.4955,29.4976,26.0679,22.3955,4.0494,0.4708,4.7244,4.1144,3.3028
2026-05-18,212761220572.44,0.0235,3.1804,0.3002,3.9938,3.4878,3.0021,25.5720,0.4605,29.4976,26.0679,22.3955,3.9773,0.4384,4.7244,4.1144,3.3028
2026-05-15,212680903010.88,0.0235,3.1792,0.2974,3.9938,3.4866,3.0021,25.5624,0.4605,29.4976,26.0635,22.3955,3.9758,0.4372,4.7244,4.1140,3.3028
2026-05-14,219025990374.12,0.0228,3.2740,0.3523,3.9938,3.4874,3.0021,26.3250,0.5302,29.4976,26.0670,22.3955,4.0945,0.4918,4.7244,4.1142,3.3028
2026-05-13,225049807491.12,0.0222,3.3641,0.4035,3.9938,3.4878,3.0021,27.0490,0.6004,29.4976,26.0635,22.3955,4.2071,0.5374,4.7244,4.1144,3.3028
2026-05-12,216054240596.4,0.0231,3.2296,0.3227,3.9938,3.4878,3.0021,25.9678,0.4877,29.4976,26.0591,22.3955,4.0389,0.4670,4.7244,4.1140,3.3028
2026-05-11,215652652788.6,0.0231,3.2236,0.3188,3.9938,3.4878,3.0021,25.9196,0.4829,29.4976,26.0591,22.3955,4.0314,0.4609,4.7244,4.1140,3.3028
2026-05-08,209468200548.48,0.0238,3.1312,0.2749,3.9938,3.4866,3.0021,25.1762,0.4299,29.4976,26.0579,22.3955,3.9158,0.4122,4.7244,4.1134,3.3028
2026-05-07,212359632764.64,0.0235,3.1744,0.2953,3.9938,3.4874,3.0021,25.5238,0.4585,29.4976,26.0582,22.3955,3.9698,0.4322,4.7244,4.1138,3.3028
2026-05-06,210592646410.32,0.0237,3.1480,0.2812,3.9938,3.4878,3.0021,25.3114,0.4393,29.4976,26.0591,22.3955,3.9368,0.4220,4.7244,4.1140,3.3028
2026-04-30,208584707371.32,0.0239,3.1179,0.2657,3.9915,3.4881,3.0021,25.0701,0.4215,29.4972,26.0670,22.4229,3.8993,0.4047,4.7242,4.1147,3.3033
2026-04-29,213805348872.72,0.0218,3.3575,0.3971,3.9938,3.4892,3.0021,26.7504,0.5706,29.4976,26.0679,22.3955,4.3439,0.5930,4.7244,4.1147,3.3028
2026-04-28,209387882986.92,0.0222,3.2881,0.3599,3.9938,3.4892,3.0021,26.1977,0.5149,29.4976,26.0635,22.3955,4.2541,0.5490,4.7244,4.1147,3.3028
2026-04-27,210672963971.88,0.0221,3.3083,0.3686,3.9938,3.4892,3.0021,26.3585,0.5330,29.4976,26.0591,22.3955,4.2802,0.5611,4.7244,4.1147,3.3028
2026-04-24,213162808380.24,0.0218,3.3474,0.3890,3.9915,3.4892,3.0021,26.6700,0.5593,29.4972,26.0579,22.4229,4.3308,0.5847,4.7242,4.1147,3.3033
2026-04-23,216455828404.2,0.0215,3.3991,0.4262,3.9915,3.4903,3.0021,27.0820,0.6027,29.4972,26.0576,22.4229,4.3977,0.6260,4.7242,4.1147,3.3033
2026-04-22,216937733773.56,0.0215,3.4067,0.4316,3.9938,3.4904,3.0021,27.1423,0.6077,29.4976,26.0576,22.3955,4.4075,0.6314,4.7244,4.1147,3.3028
2026-04-21,217098368896.68,0.0214,3.4092,0.4338,3.9938,3.4904,3.0021,27.1624,0.6090,29.4976,26.0576,22.3955,4.4108,0.6340,4.7244,4.1147,3.3028
2026-04-20,218785037689.44,0.0213,3.4357,0.4527,3.9938,3.4904,3.0021,27.3734,0.6280,29.4976,26.0548,22.3955,4.4450,0.6534,4.7244,4.1144,3.3028
2026-04-17,215331382542.36,0.0216,3.3814,0.4122,3.9915,3.4907,3.0021,26.9413,0.5925,29.4972,26.0548,22.4229,4.3749,0.6132,4.7242,4.1147,3.3033
2026-04-16,215813287911.72,0.0216,3.3890,0.4198,3.9915,3.4909,3.0021,27.0016,0.5971,29.4972,26.0519,22.4229,4.3847,0.6204,4.7242,4.1147,3.3033
2026-04-15,215732970350.16,0.0216,3.3877,0.4182,3.9938,3.4916,3.0021,26.9915,0.5965,29.4976,26.0518,22.3955,4.3830,0.6193,4.7244,4.1144,3.3028
2026-04-14,210191058602.52,0.0221,3.3007,0.3660,3.9938,3.4923,3.0021,26.2982,0.5274,29.4976,26.0518,22.3955,4.2704,0.5589,4.7244,4.1144,3.3028
2026-04-13,207942166878.84,0.0224,3.2654,0.3435,3.9938,3.4927,3.0021,26.0168,0.4963,29.4976,26.0518,22.3955,4.2247,0.5438,4.7244,4.1144,3.3028
2026-04-10,211717092272.16,0.0220,3.3247,0.3739,3.9915,3.4937,3.0021,26.4891,0.5446,29.4972,26.0576,22.4229,4.3014,0.5692,4.7242,4.1147,3.3033
2026-04-09,208504389809.76,0.0223,3.2742,0.3503,3.9915,3.4937,3.0021,26.0871,0.5056,29.4972,26.0576,22.4229,4.2362,0.5462,4.7242,4.1147,3.3033
2026-04-08,213484078626.48,0.0218,3.3524,0.3915,3.9938,3.4939,3.0021,26.7102,0.5650,29.4976,26.0548,22.3955,4.3373,0.5900,4.7244,4.1144,3.3028
2026-04-07,205131052224.24,0.0227,3.2213,0.3155,3.9938,3.4948,3.0021,25.6651,0.4678,29.4976,26.0548,22.3955,4.1676,0.5252,4.7244,4.1144,3.3028
2026-04-03,208825660056.0,0.0223,3.2793,0.3540,3.9915,3.4961,3.0021,26.1273,0.5101,29.4972,26.0576,22.4229,4.2427,0.5468,4.7242,4.1147,3.3033
2026-04-02,209548518110.04,0.0222,3.2906,0.3589,3.9915,3.4966,3.0021,26.2178,0.5186,29.4972,26.0576,22.4229,4.2574,0.5513,4.7242,4.1147,3.3033
2026-04-01,212198997641.52,0.0219,3.3322,0.3755,3.9938,3.4966,3.0021,26.5494,0.5473,29.4976,26.0576,22.3955,4.3112,0.5719,4.7244,4.1144,3.3028
2026-03-31,208745342494.44,0.0223,3.2780,0.3535,3.9938,3.4970,3.0021,26.1173,0.5093,29.5071,26.0576,22.3955,4.2411,0.5464,4.7262,4.1144,3.3028
2026-03-30,213885666434.28,0.0218,3.3587,0.3923,3.9941,3.4977,3.0021,26.7604,0.5693,29.5126,26.0576,22.3955,4.3455,0.5921,4.7262,4.1144,3.3028
2026-03-27,217901544512.28,0.0214,3.4218,0.4364,3.9960,3.5013,3.0021,27.2629,0.6132,29.5239,26.0576,22.4229,4.4271,0.6378,4.7301,4.1147,3.3033
2026-03-26,216777098650.44,0.0215,3.4041,0.4228,3.9960,3.5021,3.0021,27.1222,0.6018,29.5239,26.0576,22.4229,4.4042,0.6255,4.7301,4.1147,3.3033
2026-03-25,221033929413.12,0.0211,3.4710,0.4773,3.9972,3.5021,3.0021,27.6548,0.6448,29.5241,26.0576,22.3955,4.4907,0.6750,4.7302,4.1144,3.3028
2026-03-24,216696781088.88,0.0215,3.4029,0.4221,3.9975,3.5021,3.0021,27.1121,0.6003,29.5245,26.0576,22.3955,4.4026,0.6241,4.7302,4.1144,3.3028
2026-03-23,217580274266.04,0.0214,3.4168,0.4325,3.9988,3.5021,3.0021,27.2227,0.6103,29.5301,26.0576,22.3955,4.4206,0.6357,4.7316,4.1144,3.3028
2026-03-20,220070118674.4,0.0212,3.4559,0.4644,4.0029,3.5034,3.0021,27.5342,0.6330,29.5460,26.0576,22.4229,4.4711,0.6628,4.7322,4.1147,3.3033
2026-03-19,223363138698.36,0.0208,3.5076,0.5009,4.0029,3.5045,3.0021,27.9462,0.6674,29.5460,26.0576,22.4229,4.5380,0.7019,4.7322,4.1147,3.3033
2026-03-18,226736476283.88,0.0205,3.5605,0.5248,4.0038,3.5034,3.0021,28.3682,0.7022,29.5509,26.0576,22.3955,4.6066,0.7410,4.7331,4.1144,3.3028
2026-03-17,225531712860.48,0.0206,3.5416,0.5145,4.0038,3.5034,3.0021,28.2175,0.6893,29.5588,26.0576,22.3955,4.5821,0.7277,4.7331,4.1144,3.3028
2026-03-16,230511401677.2,0.0202,3.6198,0.5637,4.0038,3.5034,3.0021,28.8406,0.7419,29.5728,26.0576,22.3955,4.6833,0.7786,4.7331,4.1144,3.3028
2026-03-13,234607597316.76,0.0198,3.6841,0.6123,4.0029,3.5058,3.0021,29.3530,0.7835,29.6036,26.0576,22.4229,4.7665,0.8098,4.7322,4.1147,3.3033
2026-03-12,242719671034.32,0.0192,3.8115,0.6872,4.0029,3.5045,3.0021,30.3680,0.8318,29.6036,26.0576,22.4229,4.9313,0.8607,4.7316,4.1147,3.3033
2026-03-11,246574913989.2,0.0189,3.8721,0.7246,4.0038,3.5034,3.0021,30.8503,0.8455,29.6036,26.0576,22.3955,5.0096,0.8783,4.7316,4.1144,3.3028
2026-03-10,247378089604.8,0.0188,3.8847,0.7328,4.0038,3.5034,3.0021,30.9508,0.8476,29.6036,26.0576,22.3955,5.0260,0.8817,4.7302,4.1144,3.3028
2026-03-09,253160954037.12,0.0184,3.9755,0.7846,4.0038,3.5034,3.0021,31.6744,0.8602,29.6036,26.0576,22.3955,5.1434,0.8990,4.7302,4.1144,3.3028
2026-03-06,241033002241.56,0.0193,3.7850,0.6710,4.0029,3.5058,3.0021,30.1570,0.8245,29.6098,26.0576,22.4229,4.8970,0.8551,4.7281,4.1147,3.3033
2026-03-05,237017124163.56,0.0196,3.7220,0.6346,4.0029,3.5045,3.0021,29.6545,0.8028,29.6036,26.0576,22.4229,4.8155,0.8309,4.7281,4.1147,3.3033
2026-03-04,229708226061.6,0.0203,3.6072,0.5555,4.0038,3.5034,3.0021,28.7401,0.7320,29.6036,26.0576,22.3955,4.6670,0.7743,4.7281,4.1144,3.3028
2026-03-03,222479645521.2,0.0209,3.4937,0.4942,4.0038,3.5034,3.0021,27.8357,0.6556,29.6098,26.0576,22.3955,4.5201,0.6957,4.7281,4.1144,3.3028
2026-03-02,227539651899.48,0.0205,3.5731,0.5326,4.0038,3.5058,3.0021,28.4687,0.7078,29.6263,26.0576,22.3955,4.6229,0.7527,4.7281,4.1144,3.3028
2026-02-27,219266943058.8,0.0212,3.4432,0.4524,4.0029,3.5078,3.0021,27.4337,0.6261,29.6342,26.0576,22.4229,4.4548,0.6533,4.7262,4.1147,3.3033
2026-02-26,220391388920.64,0.0211,3.4609,0.4681,4.0029,3.5086,3.0021,27.5744,0.6350,29.6342,26.0576,22.4229,4.4777,0.6670,4.7262,4.1147,3.3033
2026-02-25,216696781088.88,0.0215,3.4029,0.4219,4.0029,3.5103,3.0021,27.1121,0.6001,29.6413,26.0576,22.4229,4.4026,0.6251,4.7262,4.1147,3.3033
2026-02-24,215732970350.16,0.0216,3.3877,0.4133,4.0029,3.5110,3.0021,26.9915,0.5915,29.6465,26.0576,22.4229,4.3830,0.6152,4.7262,4.1147,3.3033
2026-02-13,209869788356.28,0.0222,3.2957,0.3604,4.0040,3.5148,3.0029,26.2580,0.5200,29.7149,26.0635,22.4302,4.2639,0.5523,4.7281,4.1157,3.3045
2026-02-12,212841538134.0,0.0219,3.3423,0.3799,4.0040,3.5157,3.0029,26.6298,0.5499,29.7149,26.0600,22.4302,4.3243,0.5762,4.7281,4.1148,3.3045
2026-02-11,207058673701.68,0.0225,3.2515,0.3319,4.0040,3.5163,3.0029,25.9063,0.4813,29.7149,26.0591,22.4302,4.2068,0.5377,4.7281,4.1148,3.3045
2026-02-10,206817721017.0,0.0225,3.2477,0.3303,4.0057,3.5170,3.0021,25.8761,0.4772,29.7195,26.0600,22.4229,4.2019,0.5366,4.7301,4.1148,3.3033
2026-02-09,205372004908.92,0.0227,3.2250,0.3158,4.0057,3.5173,3.0021,25.6952,0.4683,29.7195,26.0635,22.4229,4.1725,0.5252,4.7301,4.1147,3.3033
2026-02-06,202480572692.76,0.0230,3.1796,0.2957,4.0057,3.5177,3.0021,25.3335,0.4405,29.7195,26.0670,22.4229,4.1138,0.4987,4.7301,4.1147,3.3033
2026-02-05,202721525377.44,0.0230,3.1834,0.2984,4.0057,3.5177,3.0021,25.3636,0.4420,29.7195,26.0679,22.4229,4.1187,0.5041,4.7301,4.1147,3.3033
2026-02-04,207781531755.72,0.0224,3.2629,0.3389,4.0057,3.5185,3.0021,25.9967,0.4890,29.7275,26.0692,22.4229,4.2215,0.5399,4.7301,4.1147,3.3033
2026-02-03,208343754686.64,0.0223,3.2717,0.3437,4.0057,3.5197,3.0021,26.0670,0.4989,29.7275,26.0747,22.4229,4.2329,0.5425,4.7301,4.1147,3.3033
2026-02-02,204649146854.88,0.0227,3.2137,0.3118,4.0057,3.5210,3.0021,25.6048,0.4618,29.7291,26.0798,22.4229,4.1578,0.5188,4.7301,4.1147,3.3033
2026-01-30,202400255131.2,0.0230,3.1784,0.2948,4.0057,3.5226,3.0021,25.3234,0.4392,29.7384,26.0801,22.4229,4.1121,0.4978,4.7301,4.1148,3.3033
2026-01-29,201757714638.72,0.0231,3.1683,0.2915,4.0057,3.5227,3.0021,25.2430,0.4325,29.7384,26.0812,22.4229,4.0991,0.4933,4.7301,4.1148,3.3033
2026-01-28,204890099539.56,0.0227,3.2175,0.3126,4.0057,3.5245,3.0021,25.6349,0.4636,29.7434,26.0822,22.4229,4.1627,0.5209,4.7301,4.1157,3.3033
2026-01-27,203845971239.28,0.0228,3.2011,0.3053,4.0057,3.5269,3.0021,25.5043,0.4558,29.7469,26.0875,22.4229,4.1415,0.5140,4.7301,4.1157,3.3033
2026-01-26,207460261509.48,0.0224,3.2578,0.3312,4.0057,3.5284,3.0021,25.9565,0.4830,29.7702,26.0966,22.4229,4.2149,0.5360,4.7301,4.1157,3.3033
2026-01-23,204167241485.52,0.0228,3.2061,0.3065,4.0061,3.5308,3.0021,25.5445,0.4573,29.7763,26.1021,22.4229,4.1480,0.5147,4.7302,4.1166,3.3033
2026-01-22,203203430746.8,0.0229,3.1910,0.3010,4.0061,3.5310,3.0021,25.4239,0.4463,29.7763,26.1034,22.4229,4.1285,0.5071,4.7302,4.1157,3.3033
2026-01-21,205934227839.84,0.0226,3.2339,0.3174,4.0065,3.5326,3.0021,25.7656,0.4670,29.7817,26.1083,22.4229,4.1839,0.5261,4.7302,4.1157,3.3033
2026-01-20,210833599095.0,0.0221,3.3108,0.3588,4.0076,3.5339,3.0021,26.3786,0.5265,29.7899,26.1125,22.4229,4.2835,0.5533,4.7316,4.1157,3.3033
2026-01-19,210432011287.2,0.0221,3.3045,0.3566,4.0078,3.5356,3.0021,26.3283,0.5218,29.7914,26.1125,22.4229,4.2753,0.5511,4.7322,4.1157,3.3033
2026-01-16,195974850206.4,0.0238,3.0775,0.2474,4.0091,3.5372,3.0021,24.5195,0.3642,29.8047,26.1130,22.4229,3.9816,0.4371,4.7331,4.1166,3.3033
2026-01-15,191155796512.8,0.0244,3.0018,0.1988,4.0091,3.5378,3.0021,23.9166,0.3169,29.8047,26.1141,22.4229,3.8837,0.3959,4.7331,4.1166,3.3033
2026-01-14,190513256020.32,0.0244,2.9917,0.1915,4.0099,3.5389,3.0029,23.8362,0.3096,29.8152,26.1152,22.4229,3.8706,0.3898,4.7341,4.1170,3.3033
2026-01-13,195974850206.4,0.0238,3.0775,0.2467,4.0119,3.5396,3.0029,24.5195,0.3635,29.8277,26.1153,22.4229,3.9816,0.4364,4.7350,4.1178,3.3033
2026-01-12,190754208705.0,0.0244,2.9955,0.1936,4.0121,3.5402,3.0029,23.8663,0.3118,29.8394,26.1166,22.4229,3.8755,0.3915,4.7360,4.1182,3.3033
2026-01-09,190191985774.08,0.0245,2.9867,0.1875,4.0130,3.5409,3.0029,23.7960,0.3039,29.8641,26.1203,22.4229,3.8641,0.3875,4.7391,4.1182,3.3033
2026-01-08,189629762843.16,0.0245,2.9778,0.1824,4.0130,3.5412,3.0038,23.7256,0.2997,29.8641,26.1241,22.4229,3.8527,0.3803,4.7391,4.1183,3.3033
2026-01-07,188585634542.88,0.0247,2.9614,0.1759,4.0141,3.5422,3.0052,23.5950,0.2915,29.8642,26.1316,22.4229,3.8315,0.3713,4.7396,4.1191,3.3033
2026-01-06,188424999419.76,0.0247,2.9589,0.1742,4.0159,3.5436,3.0058,23.5749,0.2885,29.8642,26.1371,22.4229,3.8282,0.3700,4.7396,4.1201,3.3033
2026-01-05,185935155011.4,0.0250,2.9198,0.1561,4.0164,3.5454,3.0058,23.2634,0.2678,29.8791,26.1496,22.4229,3.7776,0.3467,4.7406,4.1203,3.3033
2025-12-31,180553878386.88,0.0258,2.8353,0.1108,4.0171,3.5469,3.0078,22.5901,0.2078,29.9182,26.1684,22.4229,3.6683,0.3052,4.7440,4.1232,3.3033
2025-12-30,181357054002.48,0.0257,2.8479,0.1172,4.0171,3.5477,3.0091,22.6906,0.2121,29.9468,26.1760,22.4229,3.6846,0.3108,4.7467,4.1237,3.3033
2025-12-29,182642134987.44,0.0255,2.8681,0.1259,4.0184,3.5485,3.0093,22.8514,0.2297,29.9753,26.1853,22.4229,3.7107,0.3185,4.7488,4.1252,3.3033
2025-12-26,182890649657.43,0.0255,2.8720,0.1271,4.0201,3.5515,3.0093,22.8825,0.2318,30.0016,26.1879,22.4229,3.7158,0.3184,4.7528,4.1261,3.3033
2025-12-25,184336425544.05,0.0253,2.8947,0.1401,4.0201,3.5518,3.0101,23.0633,0.2470,30.0016,26.1905,22.4229,3.7451,0.3263,4.7528,4.1266,3.3033
2025-12-24,185139634369.9501,0.0251,2.9073,0.1470,4.0210,3.5518,3.0107,23.1638,0.2578,30.0057,26.1905,22.4229,3.7615,0.3366,4.7532,4.1283,3.3033
2025-12-23,184738029957.0,0.0252,2.9010,0.1431,4.0214,3.5518,3.0107,23.1136,0.2522,30.0228,26.1969,22.4229,3.7533,0.3302,4.7579,4.1304,3.3033
2025-12-22,184416746426.64,0.0252,2.8960,0.1405,4.0233,3.5518,3.0148,23.0734,0.2487,30.0236,26.1969,22.4229,3.7468,0.3267,4.7579,4.1311,3.3033
2025-12-19,183452895835.56,0.0254,2.8808,0.1327,4.0274,3.5523,3.0148,22.9528,0.2383,30.0496,26.1984,22.4229,3.7272,0.3206,4.7636,4.1314,3.3033
2025-12-18,183934821131.1,0.0253,2.8884,0.1353,4.0274,3.5523,3.0149,23.0131,0.2440,30.0496,26.1991,22.4229,3.7370,0.3233,4.7636,4.1316,3.3033
2025-12-17,185219955252.54,0.0251,2.9086,0.1453,4.0278,3.5535,3.0156,23.1739,0.2565,30.0625,26.2016,22.4229,3.7631,0.3349,4.7647,4.1321,3.3033
2025-12-16,183452895835.56,0.0254,2.8808,0.1328,4.0289,3.5556,3.0161,22.9528,0.2384,30.0657,26.2107,22.4229,3.7272,0.3207,4.7654,4.1324,3.3033
2025-12-15,184898671722.18,0.0252,2.9035,0.1435,4.0304,3.5557,3.0165,23.1337,0.2517,30.0759,26.2126,22.4229,3.7566,0.3315,4.7657,4.1329,3.3033
2025-12-12,186505089373.98,0.0250,2.9288,0.1538,4.0331,3.5565,3.0173,23.3347,0.2667,30.1019,26.2128,22.4229,3.7892,0.3451,4.7711,4.1344,3.3033
2025-12-11,182489045244.48,0.0255,2.8657,0.1250,4.0331,3.5570,3.0177,22.8322,0.2267,30.1019,26.2129,22.4229,3.7076,0.3168,4.7711,4.1350,3.3033
2025-12-10,181685836418.58,0.0256,2.8531,0.1194,4.0331,3.5589,3.0182,22.7317,0.2134,30.1113,26.2200,22.4229,3.6913,0.3121,4.7711,4.1350,3.3033
2025-12-09,180481023179.73,0.0258,2.8342,0.1099,4.0354,3.5591,3.0186,22.5810,0.2060,30.1144,26.2348,22.4229,3.6668,0.3043,4.7718,4.1365,3.3033
2025-12-08,182569366127.0701,0.0255,2.8670,0.1241,4.0358,3.5594,3.0189,22.8423,0.2272,30.1291,26.2413,22.4229,3.7092,0.3168,4.7737,4.1368,3.3033
2025-12-05,182328403479.3,0.0255,2.8632,0.1232,4.0370,3.5598,3.0202,22.8121,0.2215,30.1838,26.2447,22.4229,3.7043,0.3154,4.7740,4.1407,3.3033
2025-12-04,179999097884.19,0.0259,2.8266,0.1056,4.0370,3.5598,3.0221,22.5207,0.2039,30.1838,26.2447,22.4229,3.6570,0.2987,4.7740,4.1408,3.3033
2025-12-03,178954926410.52,0.0260,2.8102,0.1000,4.0371,3.5611,3.0237,22.3900,0.1991,30.2100,26.2546,22.4229,3.6358,0.2927,4.7751,4.1415,3.3033
2025-12-02,179276209940.8801,0.0260,2.8152,0.1013,4.0374,3.5611,3.0243,22.4302,0.2000,30.2102,26.2561,22.4302,3.6423,0.2935,4.7769,4.1425,3.3033
