date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.2955,9319733124,-1514283397,-4.2832
2025-12-31,1.4415,10661194907,12768702125,0.1517
2025-09-30,1.6393,11936568597,4714110771,1.6127
2025-06-30,1.6762,12113581956,2808524758,17.9903
2025-03-31,1.4204,9880767057,-286623305,0.6786
2024-12-31,1.3608,9258608344,11085892935,-0.0171
2024-09-30,1.4009,9506088660,1774859938,-0.11
2024-06-30,1.428,9517562885,-187384230,-35.285
2024-03-31,1.6279,10493471676,-900134161,0.5582
2023-12-31,1.496,9494692964,11444091916,0.3064
2023-09-30,1.1871,6280141995,2037849473,0.0226
2023-06-30,1.1237,5729013570,17537603,-0.9695
2023-03-31,1.1523,4887243308,-2027895649,-0.4641
2022-12-31,1.2687,5346452679,8759962600,0.8755
2022-09-30,1.2254,5606247923,1992822606,2.483
2022-06-30,1.0818,3882190716,574356490,1.358
2022-03-31,0.7151,3007640172,-1385072391,-0.1907
2021-12-31,0.7729,2661580661,4670773603,-0.1711
2021-09-30,0.8848,1795110716,-1343812280,-0.4884
2021-06-30,0.83,1975621066,-1604400159,-1.3043
2021-03-31,0.825,886840244,-1163216438,-18.4368
2020-12-31,1.0812,2172782769,5635016246,0.203
2020-09-30,0.7399,1366203344,-902875892,-142.3133
2020-06-30,0.801,1527673901,-696262489,-8.3314
2020-03-31,1.2504,2738413346,66710444,1.0624
2019-12-31,1.0052,1759583013,4684302588,0.4601
2019-09-30,1.0785,1497654966,-6300015,0.9955
2019-06-30,1.03,1045609683,94970480,1.0881
2019-03-31,0.7255,909793324,-1069469734,0.0079
2018-12-31,0.721,1495348185,3208251554,-0.0301
2018-09-30,0.4239,193659923,-1415370683,-0.0028
2018-06-30,0.4586,637169600,-1129027080,-0.1171
2018-03-31,0.7751,1611732016,-1077996136,0.4475
2017-12-31,0.8914,2113103018,3300822668,-0.2257
2017-09-30,1.425,2087075849,-365418275,0.49
2017-06-30,1.5494,2248480429,-27231323,0.9498
2017-03-31,1.2911,1777610664,-721421445,0.0684
2016-12-31,1.2571,1731557157,1824332191,0.5203
2016-09-30,0.3817,578468712,-718904177,-2.5605
2016-06-30,0.7408,1016289066,-541210121,-0.066
