date,资本回报率(ROIC),净资产收益率(ROE),净利润率,总资产收益率(ROA),毛利率(GM)
2026-03-31,0.1589,0.1605,0.1332,0.0959,0.2595
2025-12-31,0.1607,0.1622,0.1337,0.0926,0.2584
2025-09-30,0.1659,0.1677,0.1344,0.0968,0.2523
2025-06-30,0.165,0.1668,0.1365,0.0984,0.258
2025-03-31,0.1559,0.1575,0.1405,0.0952,0.2654
2024-12-31,0.1566,0.158,0.1419,0.0911,0.2666
2024-09-30,0.1639,0.1654,0.1443,0.0996,0.2696
2024-06-30,0.1657,0.1672,0.1473,0.1023,0.2703
2024-03-31,0.1566,0.1593,0.1455,0.0983,0.2645
2023-12-31,0.1573,0.1598,0.1483,0.094,0.268
2023-09-30,0.1632,0.1659,0.149,0.1016,0.2768
2023-06-30,0.1667,0.1692,0.1497,0.1033,0.2751
2023-03-31,0.1576,0.1618,0.149,0.0979,0.275
2022-12-31,0.1566,0.1608,0.1474,0.0924,0.2704
2022-09-30,0.1566,0.1631,0.1459,0.0942,0.269
2022-06-30,0.1585,0.1639,0.1441,0.0953,0.2689
2022-03-31,0.1564,0.16,0.1439,0.0933,0.2696
2021-12-31,0.1514,0.1571,0.1425,0.0871,0.2688
2021-09-30,0.1536,0.1633,0.141,0.0898,0.2684
2021-06-30,0.1568,0.1644,0.1384,0.0919,0.2681
2021-03-31,0.1507,0.154,0.135,0.0897,0.266
2020-12-31,0.1448,0.151,0.1354,0.0845,0.268
2020-09-30,0.1497,0.1599,0.1448,0.0887,0.2859
2020-06-30,0.1526,0.1574,0.1445,0.0867,0.2873
2020-03-31,0.1465,0.1499,0.143,0.0867,0.2862
2019-12-31,0.1457,0.1502,0.1437,0.0849,0.2879
2019-09-30,0.1402,0.1477,0.1499,0.0831,0.2947
2019-06-30,,0.1538,0.1488,0.0858,0.2872
2019-03-31,,0.1749,0.1559,0.093,0.2866
2018-12-31,0.1726,0.1761,0.1559,0.0905,0.2874
2018-09-30,,0.2869,0.1553,0.159,0.302
2018-06-30,,0.2703,0.1568,0.1491,0.3054
2018-03-31,,0.2515,0.1427,0.1267,0.3004
2017-12-31,,0.2461,0.153,0.1166,0.3001
2017-09-30,,0.1764,0.128,0.0908,0.2315
2017-06-30,,0.1849,0.1277,0.0944,0.2258
2017-03-31,,0.1695,0.1268,0.0911,0.2269
2016-12-31,,0.1697,0.1271,0.0858,0.2278
2016-09-30,,0.2335,0.1531,0.1209,0.2548
2016-06-30,,0.2158,0.1481,0.1112,0.2576
