date,负债合计,流动比率,流动负债合计,资产负债率,有息负债率,流动资产合计,速动比率,长期负债合计,所有者权益合计,资产合计
2026-03-31,54375598567,1.0816,3552822388,0.5871,0.2752,0,0.7944,3486485214,38236247271,92611845839
2025-12-31,53281442248,1.0837,3479722109,0.5885,0.2078,0,0.8042,3550585214,37248851399,90530293647
2025-09-30,58186594772,1.1971,3188926782,0.6136,0.2183,0,0.8634,6453127343,36636098090,94822692863
2025-06-30,51575784944,1.1608,3015657866,0.5969,0.2246,0,0.8509,5074174041,34830674748,86406459692
2025-03-31,44006586930,1.1177,3299715818,0.5605,0.2472,0,0.8381,2346847883,34512184169,78518771099
2024-12-31,48658696378,1.0997,4052359576,0.5883,0.1844,0,0.8614,1341201984,34048076709,82706773087
2024-09-30,48366499239,1.1269,2881761655,0.5943,0.2158,0,0.7935,2698229305,33011179272,81377678511
2024-06-30,41955954766,1.1727,3309405163,0.5684,0.2056,0,0.8307,4296100376,31861291868,73817246633
2024-03-31,39225625814,1.2222,3567040253,0.5552,0.2103,0,0.8357,6091892677,31423688497,70649314311
2023-12-31,42216845125,1.1973,3472638215,0.5725,0.184,0,0.8669,6631470752,31527564316,73744409441
2023-09-30,46943215571,1.1838,2381178565,0.599,0.1809,0,0.81,6241672764,31429100658,78372316229
2023-06-30,41563093601,1.1824,2493593953,0.5732,0.1892,0,0.8192,6102246923,30941865221,72504958823
2023-03-31,39330481620,1.1277,2686362991,0.5599,0.1825,0,0.7429,3469528253,30915629822,70246111442
2022-12-31,46918530514,1.0665,2295347547,0.6079,0.1438,0,0.6592,2206000000,30257824954,77176355468
2022-09-30,47978851282,1.1261,2844211119,0.5961,0.1622,0,0.7043,1502064500,32508042442,80486893724
2022-06-30,34791805605,1.11,2196286644,0.5346,0.1464,0,0.6412,400000000,30288721164,65080526769
2022-03-31,29744271400,1.1377,1947562540,0.5061,0.1381,0,0.6758,690043889,29022911700,58767183100
2021-12-31,33147662425,1.1798,2210825762,0.5427,0.1181,0,0.7711,2204215785,27931388708,61079051133
2021-09-30,30464632306,1.2408,1706688522,0.5317,0.1446,0,0.7249,2870766000,26827532314,57292164620
2021-06-30,25286817497,1.3278,1890175350,0.5045,0.1612,0,0.8589,3328030000,24831674112,50118491609
2021-03-31,24898546381,1.3048,449760391,0.5081,0.1497,0,0.8411,2871390000,24101768419,49000314799
2020-12-31,29384155525,1.2372,772033188,0.5982,0.1836,0,0.8208,2754299262,19733670788,49117826313
2020-09-30,31983107859,1.202,787819887,0.6413,0.2148,0,0.6917,2831116648,17890507346,49873615205
2020-06-30,24444138777,1.2776,465238934,0.5959,0.2819,0,0.7054,2511195584,16575367785,41019506562
2020-03-31,18305966713,1.0868,237925465,0.5345,0.233,0,0.5799,2512991883,15940708456,34246675170
2019-12-31,18531099628,1.0083,0,0.5346,0.2053,0,0.6942,343653860,16129204999,34660304627
2019-09-30,17612975647,1.0096,0,0.5256,0.2257,0,0.6957,237044284,15895521245,33508496893
2019-06-30,15513550526,1.0422,0,0.5017,0.2554,0,0.6963,667195797,15411229780,30924780306
2019-03-31,13376440315,1.0392,0,0.4646,0.256,0,0.676,637477329,15412062807,28788503121
2018-12-31,14552708985,1.0273,0,0.4893,0.2556,0,0.7516,606423511,15189746340,29742455325
2018-09-30,14624277209,1.1751,0,0.4869,0.2308,0,0.7557,1598358294,15410146501,30034423711
2018-06-30,11317924275,1.1806,0,0.4301,0.2318,0,0.6793,1007088384,14995562459,26313486735
2018-03-31,9845730339,1.3042,0,0.3951,0.218,0,0.8448,956773340,15072037924,24917768263
2017-12-31,11653119720,1.2661,0,0.4386,0.2142,0,0.9718,995743710,14917472495,26570592215
2017-09-30,11902022181,1.2378,0,0.4554,0.2115,0,0.8544,1088220995,14234715847,26136738028
2017-06-30,11164416633,1.2598,0,0.4493,0.2357,0,0.8894,1034922952,13681465797,24845882429
2017-03-31,12301696537,1.3394,0,0.5231,0.3395,0,1.0145,837018417,11213213824,23514910360
2016-12-31,12063660392,1.2823,0,0.5265,0.3103,0,1.011,321306645,10848432154,22912092546
2016-09-30,13025466000,1.2349,0,0.5572,0.3295,0,0.9077,323787448,10351878892,23377344893
2016-06-30,10485237868,1.3593,0,0.5168,0.3283,0,0.9374,525319957,9804950323,20290188191
