date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,-584755267,-1.3806,-2779457538,1.2066
2025-12-31,6848877206,0.1046,326064528,1.7869
2025-09-30,1474712031,-0.4456,540185189,1.7629
2025-06-30,1870809910,-0.2438,1858179422,2.0083
2025-03-31,1536480481,0.0013,3135183415,2.3333
2024-12-31,6200452182,-0.2394,3888089415,2.3974
2024-09-30,2659949623,-0.2179,4145559050,3.0449
2024-06-30,2473952288,0.1769,4174342429,4.7357
2024-03-31,1534517202,10.4272,4150291604,7.4822
2023-12-31,8151888243,-0.0199,1588886627,7.9967
2023-09-30,3401098097,-0.0447,1451030795,-6.7564
2023-06-30,2102029214,-0.5419,-1339504995,57.2074
2023-03-31,134286338,-0.9084,-963249531,7.0265
2022-12-31,8317113365,-0.0327,276539809,4.6438
2022-09-30,3560142607,-0.3818,-1808048742,1.3309
2022-06-30,4588676071,0.1523,612911740,1.9759
2022-03-31,1466497951,0.6793,2212962236,2.1694
2021-12-31,8598475528,0.1193,1758728033,1.9964
2021-09-30,5758828923,1.1268,3935724113,2.5517
2021-06-30,3982178641,3.434,4851309195,2.82
2021-03-31,873274389,1.1921,1795935964,2.309
2020-12-31,7682256114,0.4092,2133145293,2.6937
2020-09-30,2707793800,-0.1289,-104035910,2.1857
2020-06-30,898091872,-0.5587,319987603,2.8078
2020-03-31,398369722,-0.239,2117783442,3.8882
2019-12-31,5451430415,1.3948,2464647809,4.2618
2019-09-30,3108449595,4.4242,1672862287,4.8804
2019-06-30,2035159582,1.1697,-313113177,3.6085
2019-03-31,523495029,-0.2948,-2255234657,2.3739
2018-12-31,2276407972,-0.3553,-1913382096,2.6957
2018-09-30,573071430,-0.5765,-1136326498,1.7412
2018-06-30,937971126,-0.3797,-565131089,1.6131
2018-03-31,742372492,1.0794,400011078,1.9583
2017-12-31,3530997035,0.556,22914568,1.676
2017-09-30,1353317864,2.3471,311260534,1.6374
2017-06-30,1512063618,2.4173,-29341763,1.8021
2017-03-31,357015080,6.1476,-488081380,1.5131
2016-12-31,2269218473,-0.0581,-1044237929,1.4104
2016-09-30,404322169,-0.498,-1483200839,1.4347
2016-06-30,442475140,-0.4865,-955195937,1.6751
