date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,42966121178,0.0352,1.09,6082159344
2025-12-31,170447058534,-0.0989,5.2,29003103412
2025-09-30,137180093144,-0.065,3.86,21461336807
2025-06-30,97324925988,-0.0246,2.6,14412407114
2025-03-31,41506860075,0.1414,1.07,5904459443
2024-12-31,189163654065,-0.0726,5.83,32184570372
2024-09-30,146722377976,-0.0534,3.98,21960897001
2024-06-30,99783116497,0.0055,2.56,14136119368
2024-03-31,36364269767,0.0256,0.85,4675160247
2023-12-31,203979266387,0.0793,5.22,29017387604
2023-09-30,155007311817,0.051,3.58,20092107079
2023-06-30,99236741190,0.0422,2.26,12673238817
2023-03-31,35455753354,0.0056,0.73,4109253018
2022-12-31,188988382707,0.006,4.43,24506623782
2022-09-30,147488959199,0.0677,3.25,18304124153
2022-06-30,95222326022,0.0458,1.94,11466479633
2022-03-31,35259628917,0.0624,0.68,4003315961
2021-12-31,187868874893,0.1169,4.04,23063732373
2021-09-30,138134680783,0.0973,2.71,15644776517
2021-06-30,91052071946,0.3101,1.62,9456819353
2021-03-31,33189408214,0.6273,0.58,3442899755
2020-12-31,168199204405,-0.1512,3.71,22175108137
2020-09-30,125889395999,-0.188,2.28,13698722043
2020-06-30,69502322370,-0.2857,1.06,6362137378
2020-03-31,20395535183,-0.497,0.26,1558013539
2019-12-31,198153027540,0.0002,4.11,24696641369
2019-09-30,155038756972,0.0426,3.68,22117496367
2019-06-30,97296964335,0.0695,2.29,13750194089
2019-03-31,40547673073,0.0249,0.94,5671869041
2018-12-31,198123177057,0.3361,4.36,26202787681
2018-09-30,148698641394,0.3411,3.51,21118435752
2018-06-30,90976100289,0.315,2.13,12806200463
2018-03-31,39561581993,0.3329,0.93,5581624397
2017-12-31,148286450009,0.3692,3.72,22401576205
2017-09-30,110874678717,0.3451,2.57,15460708932
2017-06-30,69184521573,0.4067,1.57,9452483300
2017-03-31,29681504457,0.2046,0.67,4014536500
2016-12-31,108302565294,0.108,2.56,15420964991
2016-09-30,82428711390,0.0111,1.87,11229059261
2016-06-30,49182820077,-0.0185,1.06,6402469986
