date,总资产收益率(ROA),净利润率,资本回报率(ROIC),净资产收益率(ROE),毛利率(GM)
2026-03-31,0.0748,0.1682,0.1324,0.1914,0.298
2025-12-31,0.076,0.1687,0.1355,0.1982,0.2981
2025-09-30,0.085,0.1816,0.1518,0.2354,0.2803
2025-06-30,0.084,0.1761,0.1613,0.2529,0.2838
2025-03-31,0.0869,0.1726,0.1583,0.247,0.2898
2024-12-31,0.088,0.1703,0.1631,0.247,0.2943
2024-09-30,0.0777,0.1496,0.1475,0.2387,0.3135
2024-06-30,0.0747,0.1424,0.1496,0.2527,0.314
2024-03-31,0.0744,0.1382,0.1424,0.2451,0.3092
2023-12-31,0.0767,0.1352,0.1534,0.2491,0.3057
2023-09-30,0.0677,0.127,0.1392,0.2302,0.2894
2023-06-30,0.065,0.1264,0.1411,0.232,0.2819
2023-03-31,0.065,0.1226,0.1403,0.2245,0.2674
2022-12-31,0.0682,0.121,0.1525,0.2194,0.2604
2022-09-30,0.0767,0.1239,0.1718,0.252,0.2533
2022-06-30,0.0723,0.1249,0.1715,0.24,0.2465
2022-03-31,0.0718,0.1198,0.1629,0.213,0.2414
2021-12-31,0.0763,0.1204,0.1695,0.2031,0.2428
2021-09-30,0.0863,0.1324,0.1966,0.2299,0.2654
2021-06-30,0.0853,0.1321,0.1983,0.2356,0.2683
2021-03-31,0.0831,0.1319,0.1743,0.2105,0.268
2020-12-31,0.0793,0.1307,0.1709,0.1946,0.2614
2020-09-30,0.0579,0.0957,0.1309,0.15,0.2207
2020-06-30,0.0616,0.1009,0.1454,0.1668,0.2298
2020-03-31,0.0769,0.1148,0.1726,0.1974,0.2574
2019-12-31,0.093,0.1238,0.2121,0.2425,0.2758
2019-09-30,0.1014,0.1324,0.2432,0.2873,0.3023
2019-06-30,0.1088,0.1323,,0.3146,0.307
2019-03-31,0.1099,0.1317,,0.3168,0.3018
2018-12-31,0.1132,0.1319,0.2705,0.3307,0.3023
2018-09-30,0.1205,0.1501,,0.3818,0.3158
2018-06-30,0.1222,0.1505,,0.3888,0.3172
2018-03-31,0.1155,0.1505,,0.3672,0.3207
2017-12-31,0.1133,0.15,,0.3697,0.3286
2017-09-30,0.0982,0.1428,,0.3572,0.3077
2017-06-30,0.0987,0.1429,,0.3733,0.3114
2017-03-31,0.0883,0.1424,,0.296,0.3302
2016-12-31,0.0902,0.141,,0.3,0.327
2016-09-30,0.079,0.1381,,0.2872,0.3412
2016-06-30,0.0792,0.1343,,0.3019,0.3636
