date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,46573000000,0.0142,0.52,17861000000
2025-12-31,173964000000,0.0188,1.52,50017000000
2025-09-30,132280000000,0.0188,1.28,38819000000
2025-06-30,90559000000,0.0262,0.99,29737000000
2025-03-31,45922000000,0.0131,0.57,17598000000
2024-12-31,170748000000,-0.0155,1.36,45257000000
2024-09-30,129839000000,-0.0224,1.13,35223000000
2024-06-30,88248000000,-0.0327,0.89,26988000000
2024-03-31,45328000000,-0.0572,0.57,17421000000
2023-12-31,173434000000,-0.0805,1.07,36702000000
2023-09-30,132815000000,-0.0756,0.88,27986000000
2023-06-30,91230000000,-0.0752,0.76,23138000000
2023-03-31,48079000000,-0.0385,0.51,15831000000
2022-12-31,188622000000,-0.0124,1.56,51171000000
2022-09-30,143680000000,0.0014,1.31,40462000000
2022-06-30,98644000000,0.0131,1,30174000000
2022-03-31,50002000000,0.0097,0.64,19388000000
2021-12-31,190982000000,-0.0275,1.62,53003000000
2021-09-30,143484000000,-0.0353,1.34,41536000000
2021-06-30,97365000000,-0.0399,0.99,29838000000
2021-03-31,49522000000,-0.1065,0.61,18697000000
2020-12-31,196384000000,0.0299,1.88,58325000000
2020-09-30,148731000000,0.016,1.45,44742000000
2020-06-30,101407000000,0.039,0.96,28955000000
2020-03-31,55424000000,0.1066,0.56,17361000000
2019-12-31,190688000000,0.116,1.95,58911000000
2019-09-30,146386000000,0.154,1.62,48350000000
2019-06-30,97599000000,0.1899,1.07,32106000000
2019-03-31,50084000000,0.2702,0.53,16459000000
2018-12-31,171542000000,0.0173,1.85,55914000000
2018-09-30,127109000000,0.0131,1.44,43207000000
2018-06-30,82256000000,-0.0213,0.95,28569000000
2018-03-31,39629000000,-0.0772,0.46,14305000000
2017-12-31,168619000000,0.0488,1.84,54258000000
2017-09-30,124768000000,0.0318,1.45,41892000000
2017-06-30,83354000000,0.0144,0.97,28165000000
2017-03-31,42360000000,0.004,0.63,14462000000
2016-12-31,160792000000,0.0972,2.404,53099000000
2016-09-30,120928000000,0.1132,1.873,40682000000
2016-06-30,82172000000,0.1622,1.229,26770000000
