date,资产负债率
2026-03-31,0.9184
2025-12-31,0.9182
2025-09-30,0.915
2025-06-30,0.9169
2025-03-31,0.9209
2024-12-31,0.9213
2024-09-30,0.9224
2024-06-30,0.9185
2024-03-31,0.917
2023-12-31,0.9186
2023-09-30,0.9178
2023-06-30,0.9193
2023-03-31,0.9186
2022-12-31,0.9188
2022-09-30,0.9168
2022-06-30,0.9184
2022-03-31,0.9174
2021-12-31,0.9166
2021-09-30,0.9168
2021-06-30,0.9187
2021-03-31,0.9178
2020-12-31,0.9188
2020-09-30,0.9244
2020-06-30,0.9239
2020-03-31,0.9202
2019-12-31,0.9199
2019-09-30,0.9194
2019-06-30,0.925
2019-03-31,0.9243
2018-12-31,0.9239
2018-09-30,0.9241
2018-06-30,0.9266
2018-03-31,0.9291
2017-12-31,0.9298
2017-09-30,0.9303
2017-06-30,0.9337
2017-03-31,0.9346
2016-12-31,0.9363
2016-09-30,0.9345
2016-06-30,0.9348
