date,总资产收益率(ROA),净利润率,净资产收益率(ROE),资本回报率(ROIC),毛利率(GM)
2026-03-31,0.0023,0.0095,0.0084,0.0069,0.1225
2025-12-31,0.004,0.0163,0.0149,0.0109,0.1275
2025-09-30,0.003,0.0133,0.0116,0.0094,0.1241
2025-06-30,0.0042,0.0194,0.0163,0.0118,0.1321
2025-03-31,0.0066,0.0289,0.0265,0.0178,0.1356
2024-12-31,0.007,0.0312,0.0287,0.0192,0.1393
2024-09-30,0.0094,0.0392,0.0389,0.0254,0.1404
2024-06-30,0.0096,0.0388,0.0402,0.0262,0.1395
2024-03-31,0.0125,0.0502,0.0539,0.0321,0.1572
2023-12-31,0.0123,0.0516,0.0543,0.0324,0.1601
2023-09-30,0.0174,0.0789,0.0766,0.043,0.1917
2023-06-30,0.019,0.0883,0.0834,0.0457,0.2039
2023-03-31,0.0188,0.0943,0.0857,0.0457,0.2128
2022-12-31,0.0188,0.0961,0.0864,0.0463,0.2199
2022-09-30,0.0257,0.121,0.1166,0.0606,0.2422
2022-06-30,0.0266,0.1224,0.1196,0.0622,0.2465
2022-03-31,0.0271,0.1268,0.1257,0.0644,0.2617
2021-12-31,0.0281,0.1305,0.1306,0.0684,0.2678
2021-09-30,0.0323,0.1557,0.1464,0.0748,0.3047
2021-06-30,0.0334,0.1596,0.1509,0.0766,0.3163
2021-03-31,0.034,0.1648,0.156,0.0785,0.3214
2020-12-31,0.0351,0.1647,0.1614,0.0838,0.3256
2020-09-30,0.0361,0.1586,0.1697,0.0745,0.3406
2020-06-30,0.0374,0.1589,0.1731,0.0753,0.3376
2020-03-31,0.0386,0.1594,0.1777,0.0749,0.3498
2019-12-31,0.04,0.1591,0.1805,0.0791,0.3496
2019-09-30,0.033,0.1429,0.1629,,0.3418
2019-06-30,0.0341,0.1446,0.1648,,0.3415
2019-03-31,0.0321,0.1353,0.1506,,0.3257
2018-12-31,0.0339,0.1344,0.1517,0.0725,0.3248
2018-09-30,0.0309,0.1389,0.1537,,0.3146
2018-06-30,0.0313,0.1442,0.1497,,0.3285
2018-03-31,0.0314,0.1346,0.1404,,0.3136
2017-12-31,0.0338,0.1345,0.1424,,0.3105
2017-09-30,0.032,0.1195,0.1436,,0.3
2017-06-30,0.0339,0.1119,0.1485,,0.2834
2017-03-31,0.0366,0.1112,0.1553,,0.2868
2016-12-31,0.0392,0.1103,0.1586,,0.29
2016-09-30,0.0453,0.1283,0.1896,,0.3056
2016-06-30,0.044,0.1315,0.1841,,0.3199
