date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-08,63084236812.86,0.2106,0.0000,0.8517,0.7108,0.3454,0.3252,0.0000,1.4086,1.1796,0.5822,0.0066,-156192.4019,0.9508,12.3254,8.4635,6.7257
2026-06-05,64161576720.48,0.2142,0.0000,0.8517,0.7108,0.3455,0.3307,0.0000,1.4086,1.1796,0.5823,0.0065,-158859.8243,0.9508,12.2856,8.4632,6.7257
2026-06-04,64400985588.84,0.2150,0.0000,0.8517,0.7108,0.3459,0.3320,0.0000,1.4086,1.1800,0.5848,0.0065,-159452.5848,0.9508,12.2760,8.4616,6.7257
2026-06-03,65837438799.0,0.2197,0.0008,0.8517,0.7108,0.3460,0.3394,0.0000,1.4086,1.1804,0.5848,0.0064,-163009.1481,0.9508,12.2419,8.4601,6.7257
2026-06-02,67034483140.8,0.2237,0.0021,0.8517,0.7108,0.3467,0.3455,0.0008,1.4086,1.1804,0.5858,0.0063,-165972.9508,0.9508,12.2332,8.4594,6.7257
2026-06-01,68710345219.32,0.2293,0.0050,0.8517,0.7108,0.3472,0.3542,0.0033,1.4086,1.1806,0.5872,0.0061,-170122.2745,0.9500,12.1633,8.4590,6.7257
2026-05-29,69069458521.86,0.2305,0.0058,0.8517,0.7108,0.3481,0.3560,0.0037,1.4086,1.1814,0.5883,0.0061,-171011.4153,0.9500,12.0935,8.4552,6.7257
2026-05-28,67154187574.98,0.2241,0.0021,0.8517,0.7108,0.3483,0.3461,0.0012,1.4086,1.1817,0.5884,0.0062,-166269.3310,0.9508,12.0149,8.4549,6.7257
2026-05-27,67872414180.06,0.2265,0.0033,0.8517,0.7108,0.3487,0.3498,0.0017,1.4086,1.1820,0.5890,0.0062,-168047.6127,0.9508,11.9712,8.4547,6.7257
2026-05-26,70027093995.3,0.2337,0.0079,0.8517,0.7108,0.3494,0.3610,0.0041,1.4086,1.1821,0.5920,0.0060,-173382.4575,0.9504,11.9537,8.4544,6.7257
2026-05-25,70266502863.66,0.2345,0.0083,0.8517,0.7108,0.3497,0.3622,0.0045,1.4086,1.1821,0.5921,0.0060,-173975.2180,0.9500,11.9188,8.4504,6.7257
2026-05-22,69667980692.76,0.2325,0.0062,0.8517,0.7108,0.3498,0.3591,0.0033,1.4086,1.1829,0.5926,0.0060,-172493.3167,0.9508,11.9101,8.4467,6.7257
2026-05-21,70266502863.66,0.2345,0.0079,0.8517,0.7108,0.3502,0.3622,0.0041,1.4086,1.1830,0.5927,0.0060,-173975.2180,0.9508,11.8926,8.4452,6.7257
2026-05-20,72780295981.44,0.2429,0.0120,0.8521,0.7111,0.3502,0.3751,0.0108,1.4086,1.1838,0.5927,0.0058,-180199.2037,0.9499,11.8926,8.4450,6.7250
2026-05-19,73857635889.06,0.2465,0.0141,0.8521,0.7111,0.3504,0.3807,0.0128,1.4086,1.1848,0.5927,0.0057,-182866.6261,0.9491,11.8315,8.4440,6.7250
2026-05-18,72421182678.9,0.2417,0.0116,0.8521,0.7111,0.3505,0.3733,0.0103,1.4086,1.1855,0.5940,0.0058,-179310.0629,0.9504,11.8140,8.4428,6.7250
2026-05-15,74336453625.78,0.2481,0.0165,0.8517,0.7113,0.3515,0.3832,0.0128,1.4086,1.1874,0.5953,0.0056,-184052.1472,0.9496,11.7529,8.4387,6.7257
2026-05-14,75653202401.76,0.2525,0.0211,0.8517,0.7113,0.3517,0.3899,0.0178,1.4086,1.1887,0.5958,0.0055,-187312.3302,0.9495,11.6705,8.4361,6.7257
2026-05-13,77927586651.18,0.2601,0.0331,0.8521,0.7113,0.3517,0.4017,0.0265,1.4086,1.1888,0.5958,0.0054,-192943.5553,0.9483,11.6705,8.4350,6.7250
2026-05-12,79244335427.16,0.2645,0.0393,0.8521,0.7115,0.3528,0.4085,0.0314,1.4086,1.1892,0.5959,0.0053,-196203.7382,0.9483,11.6219,8.4336,6.7250
2026-05-11,79483744295.52,0.2653,0.0393,0.8521,0.7119,0.3536,0.4097,0.0331,1.4086,1.1894,0.5964,0.0053,-196796.4988,0.9483,11.5878,8.4325,6.7250
2026-05-08,76969951177.74,0.2569,0.0281,0.8517,0.7129,0.3539,0.3967,0.0236,1.4086,1.1905,0.5989,0.0054,-190572.5131,0.9487,11.5608,8.4304,6.7257
2026-05-07,76610837875.2,0.2557,0.0252,0.8517,0.7130,0.3540,0.3949,0.0211,1.4086,1.1910,0.5989,0.0055,-189683.3723,0.9491,11.4636,8.4289,6.7257
2026-05-06,76610837875.2,0.2557,0.0252,0.8521,0.7133,0.3540,0.3949,0.0211,1.4086,1.1916,0.5989,0.0055,-189683.3723,0.9495,11.4636,8.4289,6.7250
2026-04-30,73498522586.52,0.2453,0.0124,0.8517,0.7138,0.3548,0.3788,0.0116,1.4086,1.1932,0.5989,0.0057,-181977.4853,0.9500,11.4211,8.4225,6.7257
2026-04-29,73498522586.52,0.2453,0.0124,0.8517,0.7139,0.3551,0.3788,0.0116,1.4086,1.1934,0.6013,0.0057,-181977.4853,0.9504,11.4211,8.4217,6.7257
2026-04-28,72181773810.54,0.2409,0.0107,0.8517,0.7142,0.3551,0.3721,0.0091,1.4086,1.1940,0.6018,0.0058,-178717.3023,0.9508,11.3862,8.4205,6.7257
2026-04-27,69189162956.04,0.2245,0.0021,0.8517,0.7150,0.3558,0.3607,0.0033,1.4086,1.1953,0.6019,0.0061,66.8689,0.9347,11.3774,8.4190,6.7257
2026-04-24,68710345219.32,0.2230,0.0017,0.8517,0.7157,0.3562,0.3582,0.0029,1.4086,1.1964,0.6020,0.0061,66.4062,0.9347,11.2877,8.4149,6.7257
2026-04-23,70266502863.66,0.2280,0.0029,0.8517,0.7159,0.3562,0.3663,0.0050,1.4086,1.1966,0.6027,0.0060,67.9102,0.9351,11.2727,8.4142,6.7257
2026-04-22,70984729468.74,0.2304,0.0033,0.8517,0.7159,0.3562,0.3700,0.0062,1.4086,1.1970,0.6038,0.0059,68.6043,0.9355,11.2203,8.4137,6.7257
