日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=12.0100,=12.0100,=12.0100,=12.0100,=60503347475.0,=45664217842.0,=5651246638.99,,=1.3961,,,,
2026-07-02,=11.7700,=11.7700,=11.7700,=11.7700,=59294288075.0,=44751693922.0,=5538315815.23,,=1.3682,,,,
2026-07-01,=11.6200,=11.6200,=11.6200,=11.6200,=58538625950.0,=44181366472.0,=5467734050.38,,=1.3507,,,,
2026-06-30,=11.5700,=11.5700,=11.5700,=11.5700,=58286738575.0,=43991257322.0,=5444206795.43,,=1.3449,,,,
2026-06-29,=11.8600,=11.8600,=11.8600,=11.8600,=59747685350.0,=45093890392.0,=5580664874.14,,=1.3786,,,,
2026-06-26,=11.7500,=11.7500,=11.7500,=11.7500,=59193533125.0,=44675650262.0,=5528904913.25,,=1.3659,,,,
2026-06-25,=11.8300,=11.8300,=11.8300,=11.8300,=59596552925.0,=44979824902.0,=5566548521.17,,=1.3752,,,,
2026-06-24,=11.8200,=11.8200,=11.8200,=11.8200,=59546175450.0,=44941803072.0,=5561843070.18,,=1.3740,,,,
2026-06-23,=12.0000,=12.0000,=12.0000,=12.0000,=60452970000.0,=45626196012.0,=5646541188.0,,=1.3949,,,,
2026-06-22,=11.9300,=11.9300,=11.9300,=11.9300,=60100327675.0,=45360043202.0,=5613603031.07,,=1.3868,,,,
2026-06-18,=12.0600,=12.0600,=12.0600,=12.0600,=60755234850.0,=45854326992.0,=5674773893.94,,=1.4019,,,,
2026-06-17,=12.1500,=12.1500,=12.1500,=12.1500,=61208632125.0,=46196523462.0,=5717122952.85,,=1.4124,,,,
2026-06-16,=12.0500,=12.0500,=12.0500,=12.0500,=60704857375.0,=45816305162.0,=5670068442.95,,=1.4007,,,,
2026-06-15,=12.1200,=12.1200,=12.1200,=12.1200,=61057499700.0,=46082457972.0,=5703006599.88,,=1.4089,,,,
2026-06-12,=12.5400,=12.5400,=12.5400,=12.5400,=63173353650.0,=47679374833.0,=5900635541.46,,=1.4577,,,,
2026-06-11,=12.3700,=12.3700,=12.3700,=12.3700,=62316936575.0,=47033003722.0,=5820642874.63,,=1.4379,,,,
2026-06-10,=12.7500,=12.7500,=12.7500,=12.7500,=64231280625.0,=48477833263.0,=5999450012.25,,=1.4821,,,,
2026-06-09,=12.7700,=12.7700,=12.7700,=12.7700,=64332035575.0,=48553876923.0,=6008860914.23,,=1.4844,,,,
2026-06-08,=12.6300,=12.6300,=12.6300,=12.6300,=63626750925.0,=48021571303.0,=5942984600.37,,=1.4681,,,,
2026-06-05,=12.6800,=12.6800,=12.6800,=12.6800,=63878638300.0,=48211680453.0,=5966511855.32,,=1.4740,,,,
