date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,133281091253.5,0.0600,12.1371,,,,,2.9603,,,,,12.1425,,,,,2.9603,,,,,3.5907,,,,
2026-07-02,133183494115.74,0.0601,12.1282,,,,,2.9581,,,,,12.1336,,,,,2.9581,,,,,3.5880,,,,
2026-07-01,135245233650.92,0.0592,12.3160,,,,,3.0039,,,,,12.3214,,,,,3.0039,,,,,3.6436,,,,
2026-06-30,133427486960.14,0.0600,12.1504,,,,,2.9635,,,,,12.1558,,,,,2.9635,,,,,3.5946,,,,
2026-06-29,133281091253.5,0.0600,12.1371,,,,,2.9603,,,,,12.1425,,,,,2.9603,,,,,3.5907,,,,
2026-06-26,131878132398.2,0.0607,12.0093,,,,,2.9291,,,,,12.0147,,,,,2.9291,,,,,3.5529,,,,
2026-06-25,134342460126.64,0.0596,12.2337,,,,,2.9839,,,,,12.2392,,,,,2.9839,,,,,3.6193,,,,
2026-06-24,128962417907.62,0.0621,11.7438,,,,,2.8644,,,,,11.7490,,,,,2.8644,,,,,3.4743,,,,
2026-06-23,133195693757.96,0.0601,12.1293,,,,,2.9584,,,,,12.1347,,,,,2.9584,,,,,3.5884,,,,
2026-06-22,138600135261.42,0.0577,12.6215,,,,,3.0784,,,,,12.6271,,,,,3.0784,,,,,3.7340,,,,
2026-06-18,138197547068.16,0.0579,12.5848,,,,,3.0695,,,,,12.5904,,,,,3.0695,,,,,3.7231,,,,
2026-06-17,143589788929.4,0.0557,13.0758,,,,,3.1892,,,,,13.0817,,,,,3.1892,,,,,3.8684,,,,
2026-06-16,143162801451.7,0.0559,13.0370,,,,,3.1798,,,,,13.0428,,,,,3.1798,,,,,3.8569,,,,
2026-06-15,145517332400.16,0.0550,13.2514,,,,,3.2321,,,,,13.2573,,,,,3.2321,,,,,3.9203,,,,
2026-06-12,144614558875.88,0.0553,13.1692,,,,,3.2120,,,,,13.1750,,,,,3.2120,,,,,3.8960,,,,
2026-06-11,145907720951.2,0.0548,13.2869,,,,,3.2407,,,,,13.2928,,,,,3.2407,,,,,3.9308,,,,
2026-06-10,144919549931.38,0.0552,13.1969,,,,,3.2188,,,,,13.2028,,,,,3.2188,,,,,3.9042,,,,
2026-06-09,142552819340.7,0.0561,12.9814,,,,,3.1662,,,,,12.9872,,,,,3.1662,,,,,3.8404,,,,
2026-06-08,143919179269.34,0.0556,13.1058,,,,,3.1966,,,,,13.1117,,,,,3.1966,,,,,3.8773,,,,
2026-06-05,148872234010.66,0.0538,13.5569,,,,,3.3066,,,,,13.5629,,,,,3.3066,,,,,4.0107,,,,
2026-06-04,148957631506.2,0.0537,13.5647,,,,,3.3085,,,,,13.5707,,,,,3.3085,,,,,4.0130,,,,
2026-06-03,150665581417.0,0.0531,13.7202,,,,,3.3464,,,,,13.7263,,,,,3.3464,,,,,4.0590,,,,
2026-06-02,153349502705.4,0.0522,13.9646,,,,,3.4060,,,,,13.9708,,,,,3.4060,,,,,4.1313,,,,
2026-06-01,156314015764.86,0.0512,14.2346,,,,,3.4719,,,,,14.2409,,,,,3.4719,,,,,4.2112,,,,
2026-05-29,156521409682.6,0.0511,14.2534,,,,,3.4765,,,,,14.2598,,,,,3.4765,,,,,4.2168,,,,
2026-05-28,153922885889.74,0.0520,14.0168,,,,,3.4188,,,,,14.0231,,,,,3.4188,,,,,4.1468,,,,
2026-05-27,156887398949.2,0.0510,14.2868,,,,,3.4846,,,,,14.2931,,,,,3.4846,,,,,4.2266,,,,
2026-05-26,154545067642.96,0.0518,14.0735,,,,,3.4326,,,,,14.0797,,,,,3.4326,,,,,4.1635,,,,
2026-05-25,156923997875.86,0.0510,14.2901,,,,,3.4854,,,,,14.2965,,,,,3.4854,,,,,4.2276,,,,
2026-05-22,156460411471.5,0.0512,14.2479,,,,,3.4751,,,,,14.2542,,,,,3.4751,,,,,4.2151,,,,
2026-05-21,160266699844.14,0.0499,14.5945,,,,,3.5597,,,,,14.6010,,,,,3.5597,,,,,4.3177,,,,
2026-05-20,160376496624.12,0.0499,14.6045,,,,,3.5621,,,,,14.6110,,,,,3.5621,,,,,4.3206,,,,
2026-05-19,158326956731.16,0.0505,14.4179,,,,,3.5166,,,,,14.4243,,,,,3.5166,,,,,4.2654,,,,
2026-05-18,158400154584.48,0.0505,14.4245,,,,,3.5182,,,,,14.4310,,,,,3.5182,,,,,4.2674,,,,
2026-05-15,160315498413.02,0.0499,14.5989,,,,,3.5607,,,,,14.6055,,,,,3.5607,,,,,4.3190,,,,
2026-05-14,163536203959.1,0.0489,14.8922,,,,,3.6323,,,,,14.8989,,,,,3.6323,,,,,4.4057,,,,
2026-05-13,163231212903.6,0.0490,14.8645,,,,,3.6255,,,,,14.8711,,,,,3.6255,,,,,4.3975,,,,
2026-05-12,167147298056.22,0.0479,15.2211,,,,,3.7125,,,,,15.2279,,,,,3.7125,,,,,4.5030,,,,
2026-05-11,171246377842.14,0.0467,15.5944,,,,,3.8035,,,,,15.6013,,,,,3.8035,,,,,4.6135,,,,
2026-05-08,172746933835.2,0.0463,15.7310,,,,,3.8369,,,,,15.7380,,,,,3.8369,,,,,4.6539,,,,
2026-05-07,175369856912.5,0.0456,15.9699,,,,,3.8951,,,,,15.9770,,,,,3.8951,,,,,4.7246,,,,
2026-05-06,171917358164.24,0.0466,15.6555,,,,,3.8184,,,,,15.6624,,,,,3.8184,,,,,4.6315,,,,
2026-04-30,174881871223.7,0.0458,15.9254,,,,,3.8843,,,,,15.9325,,,,,3.8843,,,,,4.7114,,,,
2026-04-29,174625678737.08,0.0458,14.2594,,,,,4.4061,,,,,14.2516,,,,,4.4061,,,,,4.5102,,,,
2026-04-28,169233436875.84,0.0473,13.8191,,,,,4.2700,,,,,13.8115,,,,,4.2700,,,,,4.3709,,,,
