date,metric,value
2026-03-31,流动负债合计,7903656836
2026-03-31,资本回报率(ROIC),0.261
2026-03-31,资产合计,64384066373
2026-03-31,应收账款,93685
2026-03-31,流动比率,2.8672
2026-03-31,归属于母公司普通股股东的净利润,5382557651
2026-03-31,资产负债率,0.2926
2026-03-31,基本每股收益,4.41
2026-03-31,长期负债合计,0
2026-03-31,货币资金,174528081599.32
2026-03-31,营业收入,14923228703
2026-03-31,毛利率(GM),0.7317
2026-03-31,所有者权益合计,45547310510
2026-03-31,速动比率,2.1296
2026-03-31,负债合计,18836755864
2026-03-31,总资产收益率(ROA),0.1833
2026-03-31,经营活动产生的现金流量净额对净利润的比率,0.9272
2026-03-31,净资产收益率(ROE),0.2617
2026-03-31,有息负债率,0.0004
2026-03-31,流动资产合计,0
2026-03-31,自由现金流量,9133829907
2026-03-31,经营活动产生的现金流量净额,8253609930
2026-03-31,净利润率,0.2975
