代码,名称,股价,PE,PB,PS,股息率(%),ROE(%),ROA(%)
300142,沃森生物,28.50,35.20,4.50,2.80,0.00,8.50,4.20
603259,药明康德,92.30,28.10,3.20,2.50,0.20,10.50,5.80
688363,华熙生物,52.80,42.50,5.20,3.80,0.00,6.20,3.50
