日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=63.5200,=63.5200,=63.5200,=63.5200,=198153600032.0,=132467106877.0,=46417000212.0,,=5.7315,,,,
2026-07-02,=63.4800,=63.4800,=63.4800,=63.4800,=198028818168.0,=132383689303.0,=46387770363.0,,=5.7278,,,,
2026-07-01,=65.3800,=65.3800,=65.3800,=65.3800,=203955956708.0,=136346024049.0,=47776188190.5,,=5.8993,,,,
2026-06-30,=59.6600,=59.6600,=59.6600,=59.6600,=186112150156.0,=124417311024.0,=43596319783.5,,=5.3832,,,,
2026-06-29,=60.4900,=60.4900,=60.4900,=60.4900,=188701373834.0,=126148225677.0,=44202839150.25,,=5.4581,,,,
2026-06-26,=59.6000,=59.6000,=59.6000,=59.6000,=185924977360.0,=124292184664.0,=43552475010.0,,=5.3778,,,,
2026-06-25,=63.4400,=63.4400,=63.4400,=63.4400,=197904036304.0,=132300271730.0,=46358540514.0,,=5.7242,,,,
2026-06-24,=61.8500,=61.8500,=61.8500,=61.8500,=192943957210.0,=128984423179.0,=45196654016.25,,=5.5808,,,,
2026-06-23,=62.3200,=62.3200,=62.3200,=62.3200,=194410144112.0,=129964579669.0,=45540104742.0,,=5.6232,,,,
2026-06-22,=63.3100,=63.3100,=63.3100,=63.3100,=197498495246.0,=132029164615.0,=46263543504.75,,=5.7125,,,,
2026-06-18,=57.5500,=57.5500,=57.5500,=57.5500,=179529906830.0,=120017034017.0,=42054445248.75,,=5.1928,,,,
2026-06-17,=61.7500,=61.7500,=61.7500,=61.7500,=192632002550.0,=128775879245.0,=45123579393.75,,=5.5717,,,,
2026-06-16,=61.9800,=61.9800,=61.9800,=61.9800,=193349498268.0,=129255530293.0,=45291651025.5,,=5.5925,,,,
2026-06-15,=63.2000,=63.2000,=63.2000,=63.2000,=197155345120.0,=131799766288.0,=46183161420.0,,=5.7026,,,,
2026-06-12,=61.4600,=61.4600,=61.4600,=61.4600,=191727334036.0,=128171101836.0,=44911662988.5,,=5.5456,,,,
2026-06-11,=59.2200,=59.2200,=59.2200,=59.2200,=184739549652.0,=123499717715.0,=43274791444.5,,=5.3435,,,,
2026-06-10,=58.0300,=58.0300,=58.0300,=58.0300,=181027289198.0,=121018044900.0,=42405203436.75,,=5.2361,,,,
2026-06-09,=55.8700,=55.8700,=55.8700,=55.8700,=174289068542.0,=116513495926.0,=40826791590.75,,=5.0412,,,,
2026-06-08,=55.4300,=55.4300,=55.4300,=55.4300,=172916468038.0,=115595902616.0,=40505263251.75,,=5.0015,,,,
2026-06-05,=56.3500,=56.3500,=56.3500,=56.3500,=175786450910.0,=117514506809.0,=41177549778.75,,=5.0845,,,,
