日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=63.5200,=63.5200,=63.5200,=63.5200,=198153600032.0,=132467106877.0,=46417000212.0,,=1.3528,,,,
2026-07-02,=63.4800,=63.4800,=63.4800,=63.4800,=198028818168.0,=132383689303.0,=46387770363.0,,=1.3520,,,,
2026-07-01,=65.3800,=65.3800,=65.3800,=65.3800,=203955956708.0,=136346024049.0,=47776188190.5,,=1.3924,,,,
2026-06-30,=59.6600,=59.6600,=59.6600,=59.6600,=186112150156.0,=124417311024.0,=43596319783.5,,=1.2706,,,,
2026-06-29,=60.4900,=60.4900,=60.4900,=60.4900,=188701373834.0,=126148225677.0,=44202839150.25,,=1.2883,,,,
2026-06-26,=59.6000,=59.6000,=59.6000,=59.6000,=185924977360.0,=124292184664.0,=43552475010.0,,=1.2693,,,,
2026-06-25,=63.4400,=63.4400,=63.4400,=63.4400,=197904036304.0,=132300271730.0,=46358540514.0,,=1.3511,,,,
2026-06-24,=61.8500,=61.8500,=61.8500,=61.8500,=192943957210.0,=128984423179.0,=45196654016.25,,=1.3172,,,,
2026-06-23,=62.3200,=62.3200,=62.3200,=62.3200,=194410144112.0,=129964579669.0,=45540104742.0,,=1.3272,,,,
2026-06-22,=63.3100,=63.3100,=63.3100,=63.3100,=197498495246.0,=132029164615.0,=46263543504.75,,=1.3483,,,,
2026-06-18,=57.5500,=57.5500,=57.5500,=57.5500,=179529906830.0,=120017034017.0,=42054445248.75,,=1.2257,,,,
2026-06-17,=61.7500,=61.7500,=61.7500,=61.7500,=192632002550.0,=128775879245.0,=45123579393.75,,=1.3151,,,,
2026-06-16,=61.9800,=61.9800,=61.9800,=61.9800,=193349498268.0,=129255530293.0,=45291651025.5,,=1.3200,,,,
2026-06-15,=63.2000,=63.2000,=63.2000,=63.2000,=197155345120.0,=131799766288.0,=46183161420.0,,=1.3460,,,,
2026-06-12,=61.4600,=61.4600,=61.4600,=61.4600,=191727334036.0,=128171101836.0,=44911662988.5,,=1.3089,,,,
2026-06-11,=59.2200,=59.2200,=59.2200,=59.2200,=184739549652.0,=123499717715.0,=43274791444.5,,=1.2612,,,,
2026-06-10,=58.0300,=58.0300,=58.0300,=58.0300,=181027289198.0,=121018044900.0,=42405203436.75,,=1.2359,,,,
2026-06-09,=55.8700,=55.8700,=55.8700,=55.8700,=174289068542.0,=116513495926.0,=40826791590.75,,=1.1899,,,,
2026-06-08,=55.4300,=55.4300,=55.4300,=55.4300,=172916468038.0,=115595902616.0,=40505263251.75,,=1.1805,,,,
2026-06-05,=56.3500,=56.3500,=56.3500,=56.3500,=175786450910.0,=117514506809.0,=41177549778.75,,=1.2001,,,,
