date,资产负债率
2026-03-31,0.92
2025-12-31,0.9192
2025-09-30,0.9194
2025-06-30,0.9193
2025-03-31,0.9203
2024-12-31,0.9176
2024-09-30,0.9183
2024-06-30,0.9192
2024-03-31,0.9179
2023-12-31,0.9172
2023-09-30,0.9182
2023-06-30,0.9227
2023-03-31,0.9198
2022-12-31,0.9168
2022-09-30,0.918
2022-06-30,0.9204
2022-03-31,0.9157
2021-12-31,0.9136
2021-09-30,0.9154
2021-06-30,0.9175
2021-03-31,0.9159
2020-12-31,0.9151
2020-09-30,0.9171
2020-06-30,0.9168
2020-03-31,0.9139
2019-12-31,0.9121
2019-09-30,0.9122
2019-06-30,0.915
2019-03-31,0.9145
2018-12-31,0.9142
2018-09-30,0.917
2018-06-30,0.9182
2018-03-31,0.9189
2017-12-31,0.9188
2017-09-30,0.9225
2017-06-30,0.9242
2017-03-31,0.9239
2016-12-31,0.9242
2016-09-30,0.9233
2016-06-30,0.9238
