date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,2482587620045.91,0.6998,,,,,0.7003,,,,,7.2623,,,,,7.2660,,,,,0.0410,3.1737,,,,
2026-07-02,2511363662006.4,0.7080,,,,,0.7084,,,,,7.3465,,,,,7.3502,,,,,0.0405,3.2105,,,,
2026-07-01,2503515650562.63,0.7057,,,,,0.7062,,,,,7.3235,,,,,7.3273,,,,,0.0406,3.2005,,,,
2026-06-30,2519211673450.1704,0.7102,,,,,0.7106,,,,,7.3694,,,,,7.3732,,,,,0.0404,3.2205,,,,
2026-06-29,2571531749741.97,0.7249,,,,,0.7254,,,,,7.5225,,,,,7.5263,,,,,0.0395,3.2874,,,,
2026-06-26,2558451730669.02,0.7212,,,,,0.7217,,,,,7.4842,,,,,7.4881,,,,,0.0397,3.2707,,,,
2026-06-25,2566299742112.79,0.7234,,,,,0.7239,,,,,7.5072,,,,,7.5110,,,,,0.0396,3.2807,,,,
2026-06-24,2595075784073.28,0.7316,,,,,0.7320,,,,,7.5914,,,,,7.5952,,,,,0.0392,3.3175,,,,
2026-06-23,2634315841292.13,0.7426,,,,,0.7431,,,,,7.7061,,,,,7.7101,,,,,0.0386,3.3677,,,,
2026-06-22,2600307791702.46,0.7330,,,,,0.7335,,,,,7.6067,,,,,7.6106,,,,,0.0391,3.3242,,,,
2026-06-18,2595075784073.28,0.7316,,,,,0.7320,,,,,7.5914,,,,,7.5952,,,,,0.0392,3.3175,,,,
2026-06-17,2650011864179.6704,0.7470,,,,,0.7475,,,,,7.7521,,,,,7.7560,,,,,0.0384,3.3877,,,,
2026-06-16,2660475879438.03,0.7500,,,,,0.7505,,,,,7.7827,,,,,7.7867,,,,,0.0382,3.4011,,,,
2026-06-15,2718027963359.0103,0.7662,,,,,0.7667,,,,,7.9510,,,,,7.9551,,,,,0.0374,3.4747,,,,
2026-06-12,2799124081611.3,0.7891,,,,,0.7896,,,,,8.1883,,,,,8.1925,,,,,0.0363,3.5784,,,,
2026-06-11,2772964043465.4,0.7817,,,,,0.7822,,,,,8.1117,,,,,8.1159,,,,,0.0367,3.5449,,,,
2026-06-10,2744188001504.91,0.7736,,,,,0.7741,,,,,8.0276,,,,,8.0317,,,,,0.0371,3.5081,,,,
2026-06-09,2710179951915.2397,0.7640,,,,,0.7645,,,,,7.9281,,,,,7.9321,,,,,0.0375,3.4647,,,,
2026-06-08,2702331940471.47,0.7618,,,,,0.7623,,,,,7.9051,,,,,7.9092,,,,,0.0376,3.4546,,,,
